Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,25,20,3,2,63,61,14,47,1
Liverpool_21_22,25,17,6,2,57,64,20,44,2
Chelsea_21_22,25,14,8,3,50,49,18,31,3
Arsenal_21_22,25,15,3,7,48,41,29,12,4
Manchester Utd_21_22,25,12,7,6,43,40,32,8,5
Tottenham_21_22,25,13,3,9,42,35,32,3,6
West Ham_21_22,25,12,5,8,41,44,33,11,7
Wolves_21_22,25,12,4,9,40,24,20,4,8
Brighton_21_22,25,7,12,6,33,25,28,-3,9
Leicester City_21_22,25,9,6,10,33,40,43,-3,10
Southampton_21_22,25,7,11,7,32,32,37,-5,11
Aston Villa_21_22,25,9,3,13,30,33,37,-4,12
Crystal Palace_21_22,25,5,11,9,26,32,36,-4,13
Newcastle Utd_21_22,25,5,10,10,25,28,45,-17,14
Brentford_21_22,25,6,6,13,24,26,40,-14,15
Leeds United_21_22,25,5,8,12,23,29,56,-27,16
Everton_21_22,25,6,4,15,22,28,46,-18,17
Burnley_21_22,25,3,12,10,21,22,32,-10,18
Watford_21_22,25,5,3,17,18,25,47,-22,19
Norwich City_21_22,25,4,5,16,17,15,53,-38,20
