Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,15,11,2,2,35,32,9,23,1
Liverpool_21_22,15,10,4,1,34,44,12,32,2
Chelsea_21_22,15,10,3,2,33,35,9,26,3
West Ham_21_22,15,8,3,4,27,28,19,9,4
Tottenham_21_22,15,8,2,5,26,18,19,-1,5
Manchester Utd_21_22,15,7,3,5,24,25,24,1,6
Arsenal_21_22,15,7,2,6,23,18,22,-4,7
Wolves_21_22,15,6,3,6,21,12,13,-1,8
Brighton_21_22,15,4,8,3,20,14,16,-2,9
Aston Villa_21_22,15,6,1,8,19,21,24,-3,10
Leicester City_21_22,15,5,4,6,19,23,27,-4,11
Everton_21_22,15,5,3,7,18,19,25,-6,12
Brentford_21_22,15,4,5,6,17,19,21,-2,13
Crystal Palace_21_22,15,3,7,5,16,19,21,-2,14
Leeds United_21_22,15,3,7,5,16,15,22,-7,15
Southampton_21_22,15,3,7,5,16,14,21,-7,16
Watford_21_22,15,4,1,10,13,20,29,-9,17
Burnley_21_22,15,1,8,6,11,14,21,-7,18
Newcastle Utd_21_22,15,1,7,7,10,17,30,-13,19
Norwich City_21_22,15,2,4,9,10,8,31,-23,20
