Team,MP,W,D,L,Pts,GF,GA,GD,rank
Tottenham_21_22,3,3,0,0,9,3,0,3,1
Chelsea_21_22,3,2,1,0,7,6,1,5,2
Liverpool_21_22,3,2,1,0,7,6,1,5,3
Manchester Utd_21_22,3,2,1,0,7,7,2,5,4
West Ham_21_22,3,2,1,0,7,10,5,5,5
Everton_21_22,3,2,1,0,7,7,3,4,6
Manchester City_21_22,3,2,0,1,6,10,1,9,7
Brighton_21_22,3,2,0,1,6,4,3,1,8
Leicester City_21_22,3,2,0,1,6,4,5,-1,9
Brentford_21_22,3,1,2,0,5,3,1,2,10
Aston Villa_21_22,3,1,1,1,4,5,4,1,11
Watford_21_22,3,1,0,2,3,3,5,-2,12
Southampton_21_22,3,0,2,1,2,4,6,-2,13
Crystal Palace_21_22,3,0,2,1,2,2,5,-3,14
Leeds United_21_22,3,0,2,1,2,4,8,-4,15
Burnley_21_22,3,0,1,2,1,2,5,-3,16
Newcastle Utd_21_22,3,0,1,2,1,4,8,-4,17
Wolves_21_22,3,0,0,3,0,0,3,-3,18
Arsenal_21_22,3,0,0,3,0,0,9,-9,19
Norwich City_21_22,3,0,0,3,0,1,10,-9,20
