Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester Utd_21_22,1,1,0,0,3,5,1,4,1
Chelsea_21_22,1,1,0,0,3,3,0,3,2
Liverpool_21_22,1,1,0,0,3,3,0,3,3
Brentford_21_22,1,1,0,0,3,2,0,2,4
Everton_21_22,1,1,0,0,3,3,1,2,5
West Ham_21_22,1,1,0,0,3,4,2,2,6
Brighton_21_22,1,1,0,0,3,2,1,1,7
Leicester City_21_22,1,1,0,0,3,1,0,1,8
Tottenham_21_22,1,1,0,0,3,1,0,1,9
Watford_21_22,1,1,0,0,3,3,2,1,10
Aston Villa_21_22,1,0,0,1,0,2,3,-1,11
Burnley_21_22,1,0,0,1,0,1,2,-1,12
Manchester City_21_22,1,0,0,1,0,0,1,-1,13
Wolves_21_22,1,0,0,1,0,0,1,-1,14
Arsenal_21_22,1,0,0,1,0,0,2,-2,15
Newcastle Utd_21_22,1,0,0,1,0,2,4,-2,16
Southampton_21_22,1,0,0,1,0,1,3,-2,17
Crystal Palace_21_22,1,0,0,1,0,0,3,-3,18
Norwich City_21_22,1,0,0,1,0,0,3,-3,19
Leeds United_21_22,1,0,0,1,0,1,5,-4,20
