,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,35,23,1,11,70,65,35,30,3,4
1,Sheffield Utd_20_21,35,5,2,28,17,18,62,-44,20,20
2,Manchester City_18_19,35,29,2,4,89,89,22,67,1,1
3,Manchester City_19_20,35,23,3,9,72,91,34,57,2,2
4,Chelsea_16_17,35,27,3,5,84,75,29,46,1,1
5,Liverpool_19_20,35,30,3,2,93,76,27,49,1,1
6,Manchester City_17_18,35,30,3,2,93,102,26,76,1,1
7,Cardiff City_18_19,35,9,4,22,31,30,65,-35,18,18
8,Huddersfield_18_19,35,3,5,27,14,20,69,-49,20,20
9,Fulham_18_19,35,6,5,24,23,33,76,-43,19,19
