,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,22,16,0,6,48,46,22,24,3,4
1,Chelsea_16_17,22,18,1,3,55,47,15,32,1,1
2,Liverpool_19_20,22,21,1,0,64,52,14,38,1,1
3,Sheffield Utd_20_21,22,3,2,17,11,14,35,-21,20,20
4,Burnley_16_17,22,8,2,12,26,24,33,-9,13,16
5,Leeds United_20_21,22,10,2,10,32,38,38,0,10,9
6,Manchester City_19_20,22,15,2,5,47,62,25,37,2,2
7,Manchester City_18_19,22,17,2,3,53,59,17,42,2,1
8,Manchester City_17_18,22,20,2,0,62,64,13,51,1,1
9,Sunderland_16_17,22,4,3,15,15,20,42,-22,20,20
