,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,24,18,0,6,54,50,24,26,3,4
1,Liverpool_19_20,24,23,1,0,70,56,15,41,1,1
2,Sheffield Utd_20_21,24,3,2,19,11,15,40,-25,20,20
3,Burnley_16_17,24,9,2,13,29,26,35,-9,12,16
4,Leeds United_20_21,24,10,2,12,32,40,43,-3,11,9
5,Manchester City_18_19,24,18,2,4,56,63,19,44,2,1
6,Chelsea_16_17,24,19,2,3,59,51,17,34,1,1
7,Manchester City_17_18,24,21,2,1,65,70,18,52,1,1
8,Swansea City_16_17,24,6,3,15,21,29,54,-25,17,15
9,Burnley_19_20,24,9,3,12,30,28,38,-10,13,10
