,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,15,11,0,4,33,28,16,12,3,4
1,Leicester City_20_21,15,9,1,5,28,28,19,9,5,5
2,Arsenal_17_18,15,9,1,5,28,29,19,10,5,6
3,Chelsea_16_17,15,12,1,2,37,33,11,22,1,1
4,Liverpool_19_20,15,14,1,0,43,37,14,23,1,1
5,Manchester City_17_18,15,14,1,0,43,46,10,36,1,1
6,Sheffield Utd_20_21,15,0,2,13,2,8,26,-18,20,20
7,Cardiff City_18_19,15,3,2,10,11,14,30,-16,16,18
8,Norwich City_19_20,15,3,2,10,11,16,32,-16,19,20
9,Sunderland_16_17,15,3,2,10,11,14,27,-13,20,20
