,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,29,20,1,8,61,56,30,26,3,4
1,Liverpool_19_20,29,27,1,1,82,66,21,45,1,1
2,Sheffield Utd_20_21,29,4,2,23,14,16,50,-34,20,20
3,Manchester City_18_19,29,23,2,4,71,76,20,56,1,1
4,Swansea City_16_17,29,8,3,18,27,36,63,-27,17,15
5,Leeds United_20_21,29,12,3,14,39,45,47,-2,11,9
6,Manchester City_19_20,29,19,3,7,60,71,31,40,2,2
7,Chelsea_16_17,29,22,3,4,69,60,23,37,1,1
8,Manchester City_17_18,29,25,3,1,78,83,20,63,1,1
9,Cardiff City_18_19,29,7,4,18,25,25,57,-32,18,18
