,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,25,19,0,6,57,51,24,27,3,4
1,Liverpool_19_20,25,24,1,0,73,60,15,45,1,1
2,Sheffield Utd_20_21,25,3,2,20,11,15,41,-26,20,20
3,Leeds United_20_21,25,11,2,12,35,43,43,0,10,9
4,Manchester City_18_19,25,19,2,4,59,66,20,46,2,1
5,Manchester City_17_18,25,22,2,1,68,73,18,55,1,1
6,Swansea City_16_17,25,7,3,15,24,31,54,-23,15,15
7,Burnley_16_17,25,9,3,13,30,27,36,-9,12,16
8,Bournemouth_18_19,25,10,3,12,33,37,44,-7,10,14
9,Aston Villa_20_21,25,12,3,10,39,38,27,11,9,11
