,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,34,22,1,11,67,64,35,29,3,4
1,Sheffield Utd_20_21,34,5,2,27,17,18,60,-42,20,20
2,Manchester City_18_19,34,28,2,4,86,87,22,65,1,1
3,Liverpool_19_20,34,30,2,2,92,75,26,49,1,1
4,Manchester City_19_20,34,22,3,9,69,86,34,52,2,2
5,Chelsea_16_17,34,26,3,5,81,72,29,43,1,1
6,Manchester City_17_18,34,29,3,2,90,98,25,73,1,1
7,Cardiff City_18_19,34,9,4,21,31,30,63,-33,18,18
8,Swansea City_16_17,34,9,4,21,31,39,68,-29,18,15
9,Huddersfield_18_19,34,3,5,26,14,19,67,-48,20,20
