,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Leicester City_20_21,13,8,0,5,24,24,17,7,5,5
1,Tottenham_18_19,13,10,0,3,30,23,11,12,3,4
2,Sheffield Utd_20_21,13,0,1,12,1,7,24,-17,20,20
3,Norwich City_19_20,13,3,1,9,10,13,28,-15,18,20
4,Arsenal_17_18,13,8,1,4,25,23,16,7,4,6
5,Aston Villa_20_21,13,8,1,4,25,27,13,14,3,11
6,Manchester City_19_20,13,9,1,3,28,37,14,23,3,2
7,Chelsea_16_17,13,10,1,2,31,29,10,19,1,1
8,Liverpool_19_20,13,12,1,0,37,30,11,19,1,1
9,Manchester City_17_18,13,12,1,0,37,42,8,34,1,1
