,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,30,20,1,9,61,57,32,25,3,4
1,Sheffield Utd_20_21,30,4,2,24,14,17,52,-35,20,20
2,Manchester City_18_19,30,24,2,4,74,79,21,58,1,1
3,Liverpool_19_20,30,27,2,1,83,66,21,45,1,1
4,Leeds United_20_21,30,13,3,14,42,47,48,-1,11,9
5,Manchester City_19_20,30,20,3,7,63,76,31,45,2,2
6,Chelsea_16_17,30,23,3,4,72,62,24,38,1,1
7,Manchester City_17_18,30,26,3,1,81,85,20,65,1,1
8,Cardiff City_18_19,30,8,4,18,28,27,57,-30,18,18
9,Swansea City_16_17,30,8,4,18,28,36,63,-27,17,15
