,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Tottenham_18_19,28,20,0,8,60,55,29,26,3,4
1,Liverpool_19_20,28,26,1,1,79,64,20,44,1,1
2,Sheffield Utd_20_21,28,4,2,22,14,16,45,-29,20,20
3,Manchester City_18_19,28,22,2,4,68,75,20,55,2,1
4,Swansea City_16_17,28,8,3,17,27,36,61,-25,17,15
5,Leeds United_20_21,28,11,3,14,36,43,46,-3,11,9
6,Manchester City_19_20,28,18,3,7,57,68,31,37,2,2
7,Chelsea_16_17,28,22,3,3,69,59,21,38,1,1
8,Manchester City_17_18,28,24,3,1,75,82,20,62,1,1
9,Cardiff City_18_19,28,7,4,17,25,25,55,-30,18,18
