,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,14,2,2,10,8,14,35,-21,20,19
1,Southampton_19_20,14,3,3,8,12,15,32,-17,18,11
2,Swansea City_16_17,14,2,3,9,9,16,31,-15,20,15
3,West Ham_17_18,14,2,4,8,10,12,30,-18,18,13
4,Norwich City_19_20,14,3,2,9,11,15,30,-15,19,20
5,Leeds United_20_21,14,5,2,7,17,24,30,-6,14,9
6,Burnley_18_19,14,2,3,9,9,13,29,-16,19,15
7,Hull City_16_17,14,3,2,9,11,11,29,-18,19,18
8,West Ham_16_17,14,3,3,8,12,15,29,-14,17,11
9,Stoke City_17_18,14,3,4,7,13,16,29,-13,16,19
