,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,38,7,5,26,26,34,81,-47,19,19
1,Hull City_16_17,38,9,7,22,34,37,80,-43,18,18
2,Huddersfield_18_19,38,3,7,28,16,22,76,-54,20,20
3,West Brom_20_21,38,5,11,22,26,35,76,-41,19,19
4,Norwich City_19_20,38,5,6,27,21,26,75,-49,20,20
5,Swansea City_16_17,38,12,5,21,41,45,70,-25,15,15
6,Bournemouth_18_19,38,13,6,19,45,56,70,-14,14,14
7,Sunderland_16_17,38,6,6,26,24,29,69,-40,20,20
8,Cardiff City_18_19,38,10,4,24,34,34,69,-35,18,18
9,Southampton_20_21,38,12,7,19,43,47,68,-21,15,15
