,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,26,4,5,17,17,25,58,-33,19,19
1,Swansea City_16_17,26,7,3,16,24,32,57,-25,16,15
2,West Brom_20_21,26,3,8,15,17,20,55,-35,19,19
3,Stoke City_17_18,26,6,6,14,24,26,52,-26,18,19
4,Bournemouth_16_17,26,7,5,14,26,36,51,-15,14,9
5,Hull City_16_17,26,5,6,15,21,23,50,-27,19,18
6,Aston Villa_19_20,26,7,4,15,25,34,50,-16,17,17
7,Norwich City_19_20,26,4,6,16,18,24,48,-24,20,20
8,Sunderland_16_17,26,5,4,17,19,24,48,-24,20,20
9,Southampton_19_20,26,9,4,13,31,32,48,-16,13,11
