,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,25,2,8,15,14,19,55,-36,19,19
1,Fulham_18_19,25,4,5,16,17,25,55,-30,19,19
2,Swansea City_16_17,25,7,3,15,24,31,54,-23,15,15
3,Stoke City_17_18,25,6,6,13,24,25,50,-25,17,19
4,Hull City_16_17,25,5,5,15,20,22,49,-27,18,18
5,Bournemouth_16_17,25,7,5,13,26,35,49,-14,14,9
6,Norwich City_19_20,25,4,6,15,18,24,47,-23,20,20
7,Aston Villa_19_20,25,7,4,14,25,32,47,-15,17,17
8,Burnley_18_19,25,6,6,13,24,26,46,-20,17,15
9,Southampton_19_20,25,9,4,12,31,31,46,-15,13,11
