,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,33,4,5,24,17,30,76,-46,19,19
1,Swansea City_16_17,33,8,4,21,28,37,68,-31,18,15
2,Hull City_16_17,33,8,6,19,30,34,67,-33,17,18
3,West Brom_20_21,33,5,10,18,25,30,64,-34,19,19
4,Huddersfield_18_19,33,3,5,25,14,19,63,-44,20,20
5,Stoke City_17_18,33,6,9,18,27,30,63,-33,19,19
6,Cardiff City_18_19,33,8,4,21,28,28,63,-35,18,18
7,Bournemouth_16_17,33,9,8,16,35,45,63,-18,16,9
8,Aston Villa_19_20,33,7,6,20,27,36,62,-26,18,17
9,Bournemouth_18_19,33,11,5,17,38,44,61,-17,13,14
