,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,22,2,6,14,12,18,52,-34,19,19
1,Swansea City_16_17,22,5,3,14,18,26,51,-25,17,15
2,Fulham_18_19,22,3,5,14,14,20,49,-29,19,19
3,Hull City_16_17,22,4,4,14,16,20,47,-27,19,18
4,Stoke City_17_18,22,5,5,12,20,23,47,-24,18,19
5,Norwich City_19_20,22,3,5,14,14,22,45,-23,20,20
6,Burnley_18_19,22,6,3,13,21,23,43,-20,15,15
7,Aston Villa_19_20,22,6,3,13,21,28,43,-15,18,17
8,Sunderland_16_17,22,4,3,15,15,20,42,-22,20,20
9,Bournemouth_18_19,22,8,3,11,27,31,42,-11,12,14
