,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Fulham_18_19,30,4,5,21,17,28,68,-40,19,19
1,Swansea City_16_17,30,8,4,18,28,36,63,-27,17,15
2,West Brom_20_21,30,4,9,17,21,25,59,-34,19,19
3,Hull City_16_17,30,7,6,17,27,28,59,-31,18,18
4,Aston Villa_19_20,30,7,5,18,26,35,58,-23,19,17
5,Cardiff City_18_19,30,8,4,18,28,27,57,-30,18,18
6,Burnley_18_19,30,8,6,16,30,34,57,-23,17,15
7,West Ham_17_18,30,7,9,14,30,36,57,-21,16,13
8,Stoke City_17_18,30,6,9,15,27,28,56,-28,19,19
9,Norwich City_19_20,30,5,6,19,21,25,55,-30,20,20
