,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,21,2,6,13,12,17,50,-33,19,19
1,Swansea City_16_17,21,4,3,14,15,23,49,-26,20,15
2,Fulham_18_19,21,3,5,13,14,19,47,-28,19,19
3,Stoke City_17_18,21,5,5,11,20,23,46,-23,16,19
4,Hull City_16_17,21,4,4,13,16,20,45,-25,18,18
5,Burnley_18_19,21,5,3,13,18,21,42,-21,16,15
6,Norwich City_19_20,21,3,5,13,14,22,41,-19,20,20
7,Cardiff City_18_19,21,5,3,13,18,19,41,-22,17,18
8,Crystal Palace_16_17,21,4,4,13,16,30,40,-10,17,14
9,Bournemouth_18_19,21,8,3,10,27,31,40,-9,12,14
