,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,West Brom_20_21,20,2,5,13,11,15,48,-33,19,19
1,Swansea City_16_17,20,4,3,13,15,23,45,-22,19,15
2,Hull City_16_17,20,3,4,13,13,17,44,-27,20,18
3,Fulham_18_19,20,3,5,12,14,18,43,-25,19,19
4,Burnley_18_19,20,4,3,13,15,19,41,-22,18,15
5,Stoke City_17_18,20,5,5,10,20,23,41,-18,13,19
6,Norwich City_19_20,20,3,4,13,13,21,40,-19,20,20
7,Cardiff City_18_19,20,5,3,12,18,19,38,-19,16,18
8,West Ham_17_18,20,4,6,10,18,22,38,-16,17,13
9,Southampton_19_20,20,6,4,10,22,24,38,-14,16,11
