,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,33,29,2,2,89,72,25,47,1,1
1,Manchester City_17_18,33,28,3,2,87,93,25,68,1,1
2,Manchester City_18_19,33,27,2,4,83,86,22,64,1,1
3,Liverpool_18_19,33,25,7,1,82,75,20,55,2,2
4,Chelsea_16_17,33,25,3,5,78,69,29,40,1,1
5,Manchester City_20_21,33,24,5,4,77,69,24,45,1,1
6,Tottenham_16_17,33,22,8,3,74,69,22,47,2,2
7,Manchester Utd_17_18,33,22,5,6,71,63,26,37,2,2
8,Liverpool_17_18,33,19,10,4,67,75,35,40,3,4
9,Tottenham_17_18,33,20,7,6,67,65,30,35,4,3
