,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Liverpool_19_20,23,22,1,0,67,54,15,39,1,1
1,Manchester City_17_18,23,20,2,1,62,67,17,50,1,1
2,Liverpool_18_19,23,19,3,1,60,54,13,41,1,2
3,Manchester City_18_19,23,18,2,3,56,62,17,45,2,1
4,Chelsea_16_17,23,18,2,3,56,48,16,32,1,1
5,Manchester City_20_21,23,16,5,2,53,46,14,32,1,1
6,Tottenham_18_19,23,17,0,6,51,48,23,25,3,4
7,Manchester Utd_17_18,23,15,5,3,50,48,16,32,2,2
8,Manchester City_19_20,23,15,3,5,48,64,27,37,2,2
9,Tottenham_16_17,23,13,8,2,47,45,16,29,2,2
