,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,16,15,1,0,46,48,11,37,1,1
1,Manchester City_18_19,16,13,2,1,41,45,9,36,2,1
2,Manchester City_19_20,16,10,2,4,32,44,19,25,3,2
3,Liverpool_19_20,16,15,1,0,46,40,14,26,1,1
4,Liverpool_16_17,16,10,4,2,34,40,20,20,3,4
5,Leicester City_19_20,16,12,2,2,38,39,10,29,2,5
6,Arsenal_16_17,16,10,4,2,34,37,17,20,2,5
7,Liverpool_20_21,16,9,6,1,33,37,20,17,1,3
8,Manchester Utd_17_18,16,11,2,3,35,36,11,25,2,2
9,Arsenal_18_19,16,10,4,2,34,35,20,15,5,5
