,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,24,21,2,1,65,70,18,52,1,1
1,Manchester City_19_20,24,16,3,5,51,65,27,38,2,2
2,Manchester City_18_19,24,18,2,4,56,63,19,44,2,1
3,Liverpool_19_20,24,23,1,0,70,56,15,41,1,1
4,Liverpool_18_19,24,19,4,1,61,55,14,41,1,2
5,Liverpool_17_18,24,13,8,3,47,54,29,25,4,4
6,Leicester City_19_20,24,15,3,6,48,52,24,28,3,5
7,Arsenal_16_17,24,14,5,5,47,52,28,24,4,5
8,Liverpool_16_17,24,13,7,4,46,52,30,22,5,4
9,Chelsea_16_17,24,19,2,3,59,51,17,34,1,1
