,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,31,27,3,1,84,88,21,67,1,1
1,Manchester City_18_19,31,25,2,4,77,81,21,60,1,1
2,Manchester City_19_20,31,20,3,8,63,77,33,44,2,2
3,Liverpool_17_18,31,18,9,4,63,73,34,39,4,4
4,Liverpool_19_20,31,28,2,1,86,70,21,49,1,1
5,Liverpool_18_19,31,23,7,1,76,70,18,52,2,2
6,Manchester City_20_21,31,23,5,3,74,66,21,45,1,1
7,Liverpool_16_17,31,17,9,5,60,66,39,27,4,4
8,Chelsea_16_17,31,24,3,4,75,65,25,40,1,1
9,Arsenal_18_19,31,19,6,6,63,65,39,26,3,5
