,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,21,19,2,0,59,61,12,49,1,1
1,Manchester City_18_19,21,16,2,3,50,56,17,39,2,1
2,Manchester City_19_20,21,14,2,5,44,56,24,32,3,2
3,Liverpool_19_20,21,20,1,0,61,50,14,36,1,1
4,Liverpool_18_19,21,17,3,1,54,49,10,39,1,2
5,Liverpool_16_17,21,13,6,2,45,49,24,25,3,4
6,Arsenal_16_17,21,13,5,3,44,48,22,26,4,5
7,Liverpool_17_18,21,11,8,2,41,48,24,24,4,4
8,Tottenham_18_19,21,16,0,5,48,46,21,25,3,4
9,Leicester City_19_20,21,14,3,4,45,46,19,27,2,5
