,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,30,26,3,1,81,85,20,65,1,1
1,Manchester City_18_19,30,24,2,4,74,79,21,58,1,1
2,Manchester City_19_20,30,20,3,7,63,76,31,45,2,2
3,Liverpool_18_19,30,22,7,1,73,68,17,51,2,2
4,Liverpool_17_18,30,17,9,4,60,68,34,34,4,4
5,Liverpool_19_20,30,27,2,1,83,66,21,45,1,1
6,Manchester City_20_21,30,22,5,3,71,64,21,43,1,1
7,Liverpool_16_17,30,17,8,5,59,64,37,27,3,4
8,Arsenal_18_19,30,18,6,6,60,63,39,24,4,5
9,Chelsea_16_17,30,23,3,4,72,62,24,38,1,1
