,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,20,19,1,0,58,61,12,49,1,1
1,Manchester City_18_19,20,15,2,3,47,54,16,38,2,1
2,Manchester City_19_20,20,13,2,5,41,54,23,31,3,2
3,Liverpool_19_20,20,19,1,0,58,49,14,35,1,1
4,Liverpool_18_19,20,17,3,0,54,48,8,40,1,2
5,Liverpool_16_17,20,13,5,2,44,48,23,25,2,4
6,Liverpool_17_18,20,10,8,2,38,46,23,23,4,4
7,Arsenal_16_17,20,12,5,3,41,44,22,22,5,5
8,Tottenham_18_19,20,15,0,5,45,43,21,22,3,4
9,Manchester Utd_17_18,20,13,4,3,43,43,16,27,2,2
