,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Manchester City_17_18,25,22,2,1,68,73,18,55,1,1
1,Manchester City_18_19,25,19,2,4,59,66,20,46,2,1
2,Manchester City_19_20,25,16,3,6,51,65,29,36,2,2
3,Liverpool_19_20,25,24,1,0,73,60,15,45,1,1
4,Liverpool_17_18,25,14,8,3,50,57,29,28,3,4
5,Liverpool_18_19,25,19,5,1,62,56,15,41,1,2
6,Arsenal_16_17,25,15,5,5,50,54,28,26,4,5
7,Leicester City_19_20,25,15,4,6,49,54,26,28,3,5
8,Liverpool_16_17,25,14,7,4,49,54,30,24,5,4
9,Manchester Utd_20_21,25,14,7,4,49,53,32,21,2,2
