,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,25,2,5,18,11,13,46,-33,20,20
1,Sheffield Utd_20_21,25,3,2,20,11,15,41,-26,20,20
2,West Brom_20_21,25,2,8,15,14,19,55,-36,19,19
3,Fulham_18_19,25,4,5,16,17,25,55,-30,19,19
4,Norwich City_19_20,25,4,6,15,18,24,47,-23,20,20
5,Sunderland_16_17,25,5,4,16,19,24,46,-22,20,20
6,Crystal Palace_16_17,25,5,4,16,19,32,46,-14,19,14
7,Hull City_16_17,25,5,5,15,20,22,49,-27,18,18
8,West Brom_17_18,25,3,11,11,20,19,34,-15,20,20
9,Leicester City_16_17,25,5,6,14,21,24,43,-19,17,12
