,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,11,0,1,10,1,5,18,-13,20,20
1,Crystal Palace_17_18,11,1,1,9,4,4,22,-18,20,11
2,Fulham_18_19,11,1,2,8,5,11,29,-18,20,19
3,Watford_19_20,11,0,5,6,5,6,23,-17,20,19
4,Cardiff City_18_19,11,1,2,8,5,9,24,-15,19,18
5,Sunderland_16_17,11,1,2,8,5,9,21,-12,20,20
6,Swansea City_16_17,11,1,2,8,5,10,21,-11,19,15
7,Huddersfield_18_19,11,1,3,7,6,5,21,-16,18,20
8,West Brom_20_21,11,1,3,7,6,8,23,-15,19,19
9,Newcastle Utd_18_19,11,1,3,7,6,7,14,-7,17,13
