,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,28,3,5,20,14,15,50,-35,20,20
1,Sheffield Utd_20_21,28,4,2,22,14,16,45,-29,20,20
2,Fulham_18_19,28,4,5,19,17,26,63,-37,19,19
3,West Brom_20_21,28,3,9,16,18,20,56,-36,19,19
4,Sunderland_16_17,28,5,5,18,20,24,50,-26,20,20
5,West Brom_17_18,28,3,11,14,20,22,42,-20,20,20
6,Norwich City_19_20,28,5,6,17,21,25,51,-26,20,20
7,Middlesbrough_16_17,28,4,10,14,22,20,33,-13,19,19
8,Hull City_16_17,28,6,6,16,24,26,54,-28,18,18
9,Cardiff City_18_19,28,7,4,17,25,25,55,-30,18,18
