,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,35,3,5,27,14,20,69,-49,20,20
1,Sheffield Utd_20_21,35,5,2,28,17,18,62,-44,20,20
2,Norwich City_19_20,35,5,6,24,21,26,67,-41,20,20
3,Fulham_18_19,35,6,5,24,23,33,76,-43,19,19
4,Sunderland_16_17,35,6,6,23,24,28,60,-32,20,20
5,West Brom_17_18,35,4,13,18,25,29,54,-25,20,20
6,West Brom_20_21,35,5,11,19,26,32,68,-36,19,19
7,Fulham_20_21,35,5,12,18,27,25,47,-22,18,18
8,Middlesbrough_16_17,35,5,13,17,28,26,45,-19,19,19
9,Stoke City_17_18,35,6,11,18,29,32,65,-33,19,19
