Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Southampton_21_22,Aston Villa_21_22,Crystal Palace_21_22,Newcastle Utd_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Chelsea_16_17,10.295630140987,12.529964086141668,10.44030650891055,19.6468827043885,25.079872407968907,28.442925306655784,25.495097567963924,34.46737587922817,39.4715087119811,38.704004960727254,39.30648801406709,40.27406113120453,43.3589667773576,50.299105359837164,49.558046773455466,57.810033731178535,52.952809179494906,51.15662224971465,57.7408001330082,66.65583245298194
Manchester City_16_17,21.118712081942874,16.583123951777,11.357816691600547,10.770329614269007,14.52583904633395,19.1049731745428,13.638181696985855,30.886890422961002,32.218007387174026,26.038433132583073,28.722813232690143,29.5296461204668,32.95451410656816,38.91015291668744,39.11521443121589,45.32107677449864,41.44876355212541,42.555845661906424,46.4327470649756,55.65069631190611
Tottenham_16_17,20.248456731316587,19.4164878389476,3.0,12.24744871391589,16.76305461424021,19.519221295943137,17.60681686165901,24.24871130596428,28.809720581775867,30.822070014844883,29.68164415931166,30.495901363953813,33.1058907144937,40.963398296528084,39.496835316262995,49.61854492022111,43.497126341863094,40.162171256046406,48.02082881417188,57.227615711297986
Arsenal_16_17,20.346989949375804,14.594519519326424,11.180339887498949,13.19090595827292,16.15549442140351,21.0,14.352700094407323,32.61901286060018,33.61547262794322,26.645825188948457,29.816103031751148,30.364452901377952,33.52610922848042,39.87480407475377,40.049968789001575,46.238512086787566,42.23742416388575,43.37049688440288,47.18050444834179,56.87706040223949
Liverpool_16_17,22.38302928559939,16.24807680927192,13.038404810405298,13.076696830622021,15.362291495737216,20.346989949375804,13.152946437965905,32.87856444554719,33.18132004607411,24.919871588754223,28.6705423736629,29.171904291629644,32.38826948140329,38.43175770115127,38.84584919911006,44.46346815083142,40.755367744629666,42.567593307585526,45.727453460694704,55.44366510251645
Manchester Utd_16_17,28.337254630609507,27.53179979587241,11.575836902790225,8.54400374531753,12.24744871391589,12.884098726725126,15.132745950421556,16.15549442140351,21.047565179849187,26.70205984563738,23.40939982143925,24.596747752497688,27.294688127912362,34.713109915419565,32.87856444554719,43.94314508543966,37.429934544425805,33.25657829663178,41.773197148410844,50.1398045468867
Everton_16_17,33.075670817082454,29.68164415931166,15.588457268119896,7.3484692283495345,5.385164807134504,7.14142842854285,7.211102550927978,17.4928556845359,17.029386365926403,17.88854381999832,15.652475842498529,16.431676725154983,19.235384061671343,26.90724809414742,25.573423705088842,35.86084215408221,29.427877939124322,27.367864366808018,33.97057550292606,43.32435804486894
West Brom_16_17,41.15823125451335,37.69615364994153,23.727621035409346,13.19090595827292,8.54400374531753,5.196152422706632,10.954451150103322,15.165750888103101,10.295630140987,14.0,8.06225774829855,9.273618495495704,12.24744871391589,19.390719429665317,17.72004514666935,29.086079144497972,22.045407685048602,20.024984394500787,26.419689627245813,35.2845575287547
Stoke City_16_17,49.05099387372289,45.13313638558703,31.76476034853718,20.639767440550294,15.394804318340652,11.874342087037917,16.911534525287763,18.867962264113206,9.486832980505138,12.24744871391589,2.23606797749979,3.7416573867739413,6.324555320336759,11.575836902790225,9.797958971132712,21.95449840010015,14.2828568570857,14.177446878757825,18.49324200890693,27.184554438136374
West Ham_16_17,50.309044912421065,45.32107677449864,34.26368339802363,22.38302928559939,16.673332000533065,14.89966442575134,16.76305461424021,26.324893162176366,17.52141546793523,6.082762530298219,6.324555320336759,6.4031242374328485,9.433981132056603,9.433981132056603,11.704699910719626,16.583123951777,12.041594578792296,19.6468827043885,17.11724276862369,26.19160170741759
