Team,Manchester Utd_21_22,Chelsea_21_22,Liverpool_21_22,Brentford_21_22,Everton_21_22,West Ham_21_22,Brighton_21_22,Leicester City_21_22,Tottenham_21_22,Watford_21_22,Aston Villa_21_22,Burnley_21_22,Manchester City_21_22,Wolves_21_22,Arsenal_21_22,Newcastle Utd_21_22,Southampton_21_22,Crystal Palace_21_22,Norwich City_21_22,Leeds United_21_22
Manchester Utd_16_17,2.0,1.0,1.0,1.4142135623730951,0.0,1.4142135623730951,1.0,2.23606797749979,2.23606797749979,1.0,3.7416573867739413,3.7416573867739413,4.242640687119285,4.242640687119285,4.358898943540674,4.358898943540674,4.123105625617661,4.69041575982343,4.69041575982343,5.385164807134504
Chelsea_16_17,3.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,3.3166247903554,3.605551275463989,3.605551275463989,3.7416573867739413,4.242640687119285,3.7416573867739413,4.123105625617661,4.123105625617661,5.0990195135927845
Hull City_16_17,3.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,3.3166247903554,3.605551275463989,3.605551275463989,3.7416573867739413,4.242640687119285,3.7416573867739413,4.123105625617661,4.123105625617661,5.0990195135927845
Liverpool_16_17,2.23606797749979,3.1622776601683795,3.1622776601683795,3.605551275463989,2.23606797749979,1.0,2.8284271247461903,4.242640687119285,4.242640687119285,1.4142135623730951,3.605551275463989,4.358898943540674,5.385164807134504,5.385164807134504,5.0990195135927845,3.7416573867739413,4.242640687119285,5.0,5.0,4.69041575982343
Manchester City_16_17,3.0,1.4142135623730951,1.4142135623730951,1.0,1.0,2.23606797749979,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.605551275463989,3.3166247903554,3.605551275463989,3.605551275463989,3.7416573867739413,4.242640687119285,3.7416573867739413,4.123105625617661,4.123105625617661,5.0990195135927845
Swansea City_16_17,4.123105625617661,2.0,2.0,1.0,2.23606797749979,3.605551275463989,1.4142135623730951,0.0,0.0,2.8284271247461903,4.358898943540674,3.605551275463989,3.3166247903554,3.3166247903554,3.7416573867739413,5.0990195135927845,4.242640687119285,4.358898943540674,4.358898943540674,5.830951894845301
West Brom_16_17,4.123105625617661,2.0,2.0,1.0,2.23606797749979,3.605551275463989,1.4142135623730951,0.0,0.0,2.8284271247461903,4.358898943540674,3.605551275463989,3.3166247903554,3.3166247903554,3.7416573867739413,5.0990195135927845,4.242640687119285,4.358898943540674,4.358898943540674,5.830951894845301
Everton_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Middlesbrough_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Southampton_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Stoke City_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Tottenham_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Watford_16_17,4.47213595499958,3.0,3.0,2.449489742783178,2.8284271247461903,3.7416573867739413,2.23606797749979,2.23606797749979,2.23606797749979,3.0,2.449489742783178,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.7320508075688772,3.3166247903554,2.23606797749979,2.449489742783178,2.449489742783178,4.123105625617661
Arsenal_16_17,4.69041575982343,5.0,5.0,5.0990195135927845,4.242640687119285,3.7416573867739413,4.358898943540674,5.385164807134504,5.385164807134504,3.605551275463989,1.4142135623730951,2.8284271247461903,4.242640687119285,4.242640687119285,3.605551275463989,1.0,2.23606797749979,3.1622776601683795,3.1622776601683795,2.23606797749979
Burnley_16_17,5.830951894845301,4.358898943540674,4.358898943540674,3.7416573867739413,4.242640687119285,5.0990195135927845,3.605551275463989,3.3166247903554,3.3166247903554,4.358898943540674,2.8284271247461903,1.4142135623730951,0.0,0.0,1.0,3.605551275463989,2.23606797749979,2.0,2.0,4.123105625617661
Crystal Palace_16_17,5.830951894845301,4.358898943540674,4.358898943540674,3.7416573867739413,4.242640687119285,5.0990195135927845,3.605551275463989,3.3166247903554,3.3166247903554,4.358898943540674,2.8284271247461903,1.4142135623730951,0.0,0.0,1.0,3.605551275463989,2.23606797749979,2.0,2.0,4.123105625617661
Leicester City_16_17,5.0990195135927845,4.123105625617661,4.123105625617661,3.7416573867739413,3.7416573867739413,4.242640687119285,3.3166247903554,3.605551275463989,3.605551275463989,3.605551275463989,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,3.0
Sunderland_16_17,5.0990195135927845,4.123105625617661,4.123105625617661,3.7416573867739413,3.7416573867739413,4.242640687119285,3.3166247903554,3.605551275463989,3.605551275463989,3.605551275463989,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,3.0
West Ham_16_17,5.0990195135927845,4.123105625617661,4.123105625617661,3.7416573867739413,3.7416573867739413,4.242640687119285,3.3166247903554,3.605551275463989,3.605551275463989,3.605551275463989,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,3.0
Bournemouth_16_17,5.385164807134504,4.69041575982343,4.69041575982343,4.358898943540674,4.123105625617661,4.358898943540674,3.7416573867739413,4.242640687119285,4.242640687119285,3.7416573867739413,1.0,1.0,2.23606797749979,2.23606797749979,1.4142135623730951,1.4142135623730951,0.0,1.0,1.0,2.0
Manchester Utd_17_18,1.4142135623730951,1.0,1.0,2.0,1.4142135623730951,2.0,2.23606797749979,3.0,3.0,2.23606797749979,4.69041575982343,4.69041575982343,5.0990195135927845,5.0990195135927845,5.385164807134504,5.385164807134504,5.196152422706632,5.830951894845301,5.830951894845301,6.557438524302
Huddersfield_17_18,2.23606797749979,0.0,0.0,1.0,1.0,2.23606797749979,1.4142135623730951,2.0,2.0,2.0,4.358898943540674,4.123105625617661,4.358898943540674,4.358898943540674,4.69041575982343,5.0990195135927845,4.69041575982343,5.196152422706632,5.196152422706632,6.164414002968976
Manchester City_17_18,3.1622776601683795,1.0,1.0,0.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0,2.23606797749979,4.242640687119285,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.123105625617661,5.0,4.358898943540674,4.69041575982343,4.69041575982343,5.916079783099616
Tottenham_17_18,3.1622776601683795,1.0,1.0,0.0,1.4142135623730951,2.8284271247461903,1.0,1.0,1.0,2.23606797749979,4.242640687119285,3.7416573867739413,3.7416573867739413,3.7416573867739413,4.123105625617661,5.0,4.358898943540674,4.69041575982343,4.69041575982343,5.916079783099616
Arsenal_17_18,2.23606797749979,3.1622776601683795,3.1622776601683795,3.605551275463989,2.23606797749979,1.0,2.8284271247461903,4.242640687119285,4.242640687119285,1.4142135623730951,3.605551275463989,4.358898943540674,5.385164807134504,5.385164807134504,5.0990195135927845,3.7416573867739413,4.242640687119285,5.0,5.0,4.69041575982343
Burnley_17_18,2.23606797749979,2.0,2.0,2.23606797749979,1.0,1.0,1.4142135623730951,2.8284271247461903,2.8284271247461903,0.0,3.3166247903554,3.605551275463989,4.358898943540674,4.358898943540674,4.242640687119285,3.7416573867739413,3.7416573867739413,4.358898943540674,4.358898943540674,4.69041575982343
Everton_17_18,4.123105625617661,2.0,2.0,1.0,2.23606797749979,3.605551275463989,1.4142135623730951,0.0,0.0,2.8284271247461903,4.358898943540674,3.605551275463989,3.3166247903554,3.3166247903554,3.7416573867739413,5.0990195135927845,4.242640687119285,4.358898943540674,4.358898943540674,5.830951894845301
West Brom_17_18,4.123105625617661,2.0,2.0,1.0,2.23606797749979,3.605551275463989,1.4142135623730951,0.0,0.0,2.8284271247461903,4.358898943540674,3.605551275463989,3.3166247903554,3.3166247903554,3.7416573867739413,5.0990195135927845,4.242640687119285,4.358898943540674,4.358898943540674,5.830951894845301
Liverpool_17_18,3.4641016151377544,3.605551275463989,3.605551275463989,3.7416573867739413,2.8284271247461903,2.449489742783178,3.0,4.123105625617661,4.123105625617661,2.23606797749979,1.4142135623730951,2.449489742783178,3.7416573867739413,3.7416573867739413,3.3166247903554,1.7320508075688772,2.23606797749979,3.1622776601683795,3.1622776601683795,3.0
Southampton_17_18,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Swansea City_17_18,5.477225575051661,3.605551275463989,3.605551275463989,2.8284271247461903,3.7416573867739413,4.898979485566356,3.0,2.23606797749979,2.23606797749979,4.123105625617661,3.7416573867739413,2.449489742783178,1.4142135623730951,1.4142135623730951,2.23606797749979,4.58257569495584,3.3166247903554,3.1622776601683795,3.1622776601683795,5.196152422706632
Watford_17_18,3.4641016151377544,3.605551275463989,3.605551275463989,3.7416573867739413,2.8284271247461903,2.449489742783178,3.0,4.123105625617661,4.123105625617661,2.23606797749979,1.4142135623730951,2.449489742783178,3.7416573867739413,3.7416573867739413,3.3166247903554,1.7320508075688772,2.23606797749979,3.1622776601683795,3.1622776601683795,3.0
Bournemouth_17_18,5.830951894845301,4.358898943540674,4.358898943540674,3.7416573867739413,4.242640687119285,5.0990195135927845,3.605551275463989,3.3166247903554,3.3166247903554,4.358898943540674,2.8284271247461903,1.4142135623730951,0.0,0.0,1.0,3.605551275463989,2.23606797749979,2.0,2.0,4.123105625617661
Chelsea_17_18,4.69041575982343,4.358898943540674,4.358898943540674,4.242640687119285,3.7416573867739413,3.7416573867739413,3.605551275463989,4.358898943540674,4.358898943540674,3.3166247903554,0.0,1.4142135623730951,2.8284271247461903,2.8284271247461903,2.23606797749979,1.0,1.0,2.0,2.0,2.23606797749979
