Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,West Ham_21_22,Arsenal_21_22,Wolves_21_22,Tottenham_21_22,Manchester Utd_21_22,Brighton_21_22,Crystal Palace_21_22,Everton_21_22,Leicester City_21_22,Southampton_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
Wolves_18_19,23.958297101421877,17.832554500127006,24.779023386727733,13.076696830622021,5.744562646538029,3.1622776601683795,5.0990195135927845,11.357816691600547,1.4142135623730951,7.211102550927978,7.280109889280518,9.0,2.449489742783178,6.4031242374328485,8.602325267042627,8.602325267042627,8.602325267042627,10.099504938362077,16.881943016134134,17.46424919657298
Brighton_18_19,26.645825188948457,20.784609690826528,25.573423705088842,14.035668847618199,6.082762530298219,7.874007874011811,5.477225575051661,8.18535277187245,5.0990195135927845,5.477225575051661,3.3166247903554,4.358898943540674,4.47213595499958,3.3166247903554,3.7416573867739413,3.7416573867739413,3.7416573867739413,5.477225575051661,12.36931687685298,12.206555615733702
West Ham_18_19,27.2213151776324,21.470910553583888,25.67099530598687,14.7648230602334,8.12403840463596,9.433981132056603,7.681145747868608,8.366600265340756,6.708203932499369,5.744562646538029,3.7416573867739413,4.69041575982343,5.385164807134504,2.449489742783178,3.0,3.0,3.0,3.605551275463989,12.083045973594572,10.862780491200215
Newcastle Utd_18_19,31.016124838541646,25.019992006393608,30.789608636681304,19.82422760159901,11.874342087037917,10.862780491200215,10.392304845413264,14.866068747318506,8.602325267042627,11.575836902790225,10.04987562112089,11.0,5.477225575051661,8.306623862918075,9.486832980505138,9.486832980505138,6.164414002968976,7.0710678118654755,12.206555615733702,13.74772708486752
Burnley_18_19,34.132096331752024,28.61817604250837,31.32091952673165,20.92844953645635,13.638181696985855,16.401219466856727,12.84523257866513,12.0,13.601470508735444,12.206555615733702,9.38083151964686,8.246211251235321,12.12435565298214,9.797958971132712,7.54983443527075,7.54983443527075,5.385164807134504,5.385164807134504,5.477225575051661,4.69041575982343
Crystal Palace_18_19,33.075670817082454,27.09243436828813,32.46536616149585,21.42428528562855,13.0,12.727922061357855,11.40175425099138,15.524174696260024,10.295630140987,12.806248474865697,10.816653826391969,11.357816691600547,7.3484692283495345,9.433981132056603,9.899494936611665,9.899494936611665,5.830951894845301,6.782329983125268,10.04987562112089,12.36931687685298
Southampton_18_19,34.84250278036869,28.948229652260256,33.436506994600975,22.338307903688676,13.601470508735444,14.7648230602334,12.083045973594572,15.0,12.083045973594572,13.416407864998739,10.816653826391969,10.63014581273465,9.695359714832659,10.246950765959598,9.486832980505138,9.486832980505138,5.0990195135927845,6.164414002968976,6.082762530298219,9.433981132056603
Cardiff City_18_19,35.25620512760839,29.68164415931166,32.57299494980466,22.135943621178654,14.560219778561036,17.05872210923198,13.601470508735444,13.341664064126334,14.247806848775006,13.30413469565007,10.488088481701515,9.486832980505138,12.529964086141668,10.677078252031311,8.660254037844387,8.660254037844387,5.916079783099616,5.916079783099616,4.47213595499958,4.898979485566356
Huddersfield_18_19,37.20215047547655,31.272991542223778,35.86084215408221,24.677925358506133,15.588457268119896,16.73320053068151,13.92838827718412,17.233687939614086,14.142135623730951,15.811388300841896,13.152946437965905,12.84523257866513,11.74734012447073,12.68857754044952,11.832159566199232,11.832159566199232,7.483314773547883,8.48528137423857,5.196152422706632,10.344080432788601
Fulham_18_19,40.8166632639171,35.52463933666322,37.094473981982816,27.51363298439521,20.615528128088304,23.62202362203543,19.79898987322333,18.027756377319946,20.83266665599966,19.131126469708992,16.401219466856727,15.0,19.235384061671343,16.881943016134134,14.491376746189438,14.491376746189438,12.569805089976535,12.083045973594572,6.4031242374328485,5.744562646538029
Liverpool_19_20,8.06225774829855,9.433981132056603,11.445523142259598,12.727922061357855,21.6794833886788,22.02271554554524,23.727621035409346,21.77154105707724,23.68543856465402,21.748563170931547,24.20743687382041,25.019992006393608,26.551836094703507,25.179356624028344,26.1725046566048,26.1725046566048,29.748949561287034,30.347981810987037,37.49666651850535,35.24202037341219
Leicester City_19_20,5.0990195135927845,4.47213595499958,6.782329983125268,9.0,19.313207915827967,18.81488772222678,21.307275752662516,18.193405398660254,20.149441679609886,17.378147196982766,20.273134932713294,21.42428528562855,22.44994432064365,20.46948949045872,21.95449840010015,21.95449840010015,25.65151067676132,25.65151067676132,34.19064199455752,30.93541659651604
Chelsea_19_20,13.674794331177344,11.180339887498949,10.04987562112089,5.830951894845301,15.231546211727817,17.291616465790582,17.46424919657298,12.083045973594572,17.74823934929885,13.45362404707371,15.684387141358123,16.06237840420901,20.223748416156685,17.029386365926403,17.291616465790582,17.291616465790582,21.42428528562855,21.61018278497431,28.705400188814647,25.37715508089904
Manchester City_19_20,11.045361017187261,12.24744871391589,2.0,12.206555615733702,22.912878474779202,23.790754506740637,25.059928172283335,18.788294228055936,24.372115213907882,19.6468827043885,22.293496809607955,22.912878474779202,26.419689627245813,22.825424421026653,23.53720459187964,23.53720459187964,27.820855486487112,27.313000567495326,35.62302626111375,30.93541659651604
Sheffield Utd_19_20,21.400934559032695,15.297058540778355,23.49468024894146,12.68857754044952,8.54400374531753,3.7416573867739413,8.48528137423857,13.892443989449804,5.0990195135927845,9.486832980505138,10.63014581273465,12.529964086141668,6.164414002968976,9.433981132056603,12.083045973594572,12.083045973594572,12.569805089976535,13.638181696985855,21.0,21.18962010041709
Arsenal_19_20,22.561028345356956,16.822603841260722,21.470910553583888,9.695359714832659,4.242640687119285,6.708203932499369,5.385164807134504,5.656854249492381,5.0,2.23606797749979,2.8284271247461903,4.47213595499958,6.557438524302,4.0,5.0,5.0,7.810249675906654,8.774964387392123,16.186414056238647,14.89966442575134
Manchester Utd_19_20,20.71231517720798,14.730919862656235,21.047565179849187,10.099504938362077,7.0710678118654755,5.0,7.681145747868608,9.899494936611665,4.58257569495584,5.385164807134504,7.0710678118654755,9.055385138137417,5.744562646538029,5.830951894845301,8.54400374531753,8.54400374531753,10.246950765959598,10.816653826391969,19.235384061671343,18.05547008526779
