Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Southampton_21_22,Crystal Palace_21_22,Aston Villa_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Burnley_21_22,Watford_21_22,Newcastle Utd_21_22,Norwich City_21_22
Manchester Utd_18_19,26.92582403567252,19.131126469708992,19.4164878389476,17.029386365926403,10.63014581273465,6.48074069840786,9.9498743710662,29.68164415931166,23.874672772626646,12.449899597988733,20.346989949375804,17.08800749063506,18.439088914585774,20.904544960366874,22.516660498395403,23.53720459187964,32.14031735997639,28.792360097775937,33.03028912982749,43.104524124504614
Wolves_18_19,36.68787265568828,32.17141588429082,25.495097567963924,7.681145747868608,11.832159566199232,15.394804318340652,11.224972160321824,10.198039027185569,3.0,18.05547008526779,8.660254037844387,11.0,11.532562594670797,9.273618495495704,17.4928556845359,15.652475842498529,16.911534525287763,22.67156809750927,26.419689627245813,32.046840717924134
Leicester City_18_19,36.52396473549935,31.701734968294716,25.25866188063018,8.306623862918075,11.575836902790225,14.866068747318506,10.770329614269007,11.045361017187261,3.605551275463989,17.320508075688775,8.06225774829855,9.9498743710662,10.723805294763608,8.602325267042627,17.08800749063506,15.0,16.431676725154983,22.045407685048602,25.92296279363144,31.953090617340916
Watford_18_19,36.27671429443411,30.347981810987037,25.45584412271571,9.0,9.695359714832659,11.704699910719626,6.48074069840786,16.673332000533065,9.219544457292887,11.575836902790225,5.385164807134504,5.744562646538029,6.4031242374328485,6.164414002968976,12.884098726725126,11.789826122551595,17.204650534085253,18.867962264113206,23.021728866442675,30.675723300355934
Everton_18_19,35.397740040855716,28.460498941515414,25.0,11.916375287812984,9.643650760992955,9.695359714832659,5.196152422706632,20.904544960366874,13.490737563232042,7.681145747868608,7.615773105863909,4.47213595499958,6.0,8.06225774829855,12.449899597988733,11.74734012447073,19.209372712298546,18.24828759089466,22.693611435820433,31.843366656181317
West Ham_18_19,37.8021163428716,31.52776554086889,27.147743920996454,10.862780491200215,11.180339887498949,12.569805089976535,7.14142842854285,18.466185312619388,10.862780491200215,9.9498743710662,4.242640687119285,4.47213595499958,4.47213595499958,5.0,10.723805294763608,9.899494936611665,16.522711641858304,16.881943016134134,21.047565179849187,29.086079144497972
Bournemouth_18_19,41.593268686170845,34.539832078341085,31.78049716414141,16.522711641858304,15.811388300841896,15.652475842498529,10.770329614269007,25.099800796022265,17.578395831246947,6.0,8.306623862918075,7.681145747868608,5.916079783099616,8.602325267042627,6.0,8.306623862918075,18.601075237738275,13.341664064126334,17.204650534085253,26.551836094703507
Brighton_18_19,41.12177038990418,35.63705936241092,29.9833287011299,12.083045973594572,15.0,17.4928556845359,12.36931687685298,14.317821063276353,6.782329983125268,15.652475842498529,3.7416573867739413,7.874007874011811,7.3484692283495345,4.123105625617661,12.529964086141668,10.198039027185569,12.12435565298214,17.05872210923198,20.71231517720798,26.645825188948457
Crystal Palace_18_19,48.093658625644196,42.638011210655684,36.72873534441391,19.339079605813716,22.64950330581225,25.019992006393608,20.074859899884732,16.278820596099706,11.045361017187261,21.42428528562855,9.486832980505138,13.2664991614216,12.328828005937952,9.0,15.066519173319364,11.40175425099138,5.385164807134504,16.0312195418814,18.627936010197157,22.045407685048602
Newcastle Utd_18_19,50.44799302251776,45.01110973970759,39.102429592034305,21.307275752662516,24.839484696748443,27.202941017470888,22.11334438749598,17.804493814764857,13.114877048604,22.912878474779202,11.224972160321824,15.165750888103101,13.92838827718412,10.723805294763608,15.524174696260024,12.083045973594572,4.58257569495584,15.7797338380595,17.804493814764857,20.049937655763422
Cardiff City_18_19,52.191953402799555,45.44227107000705,41.569219381653056,23.853720883753127,25.573423705088842,26.476404589747453,21.118712081942874,26.49528259898354,19.82422760159901,17.029386365926403,11.180339887498949,13.74772708486752,11.180339887498949,10.677078252031311,6.48074069840786,5.916079783099616,10.954451150103322,6.0,7.874007874011811,14.866068747318506
Southampton_18_19,52.92447448959697,45.71651780264984,42.2965719651132,25.729360660537214,26.70205984563738,27.16615541441225,22.15851980616034,28.30194339616981,21.400934559032695,17.05872210923198,12.409673645990857,13.856406460551018,11.661903789690601,11.704699910719626,7.681145747868608,5.830951894845301,10.816653826391969,3.0,5.916079783099616,15.165750888103101
Burnley_18_19,55.58776843874919,48.4458460551573,45.09988913511872,27.910571473905726,29.189039038652847,29.68164415931166,24.535688292770594,30.59411708155671,23.93741840717165,19.026297590440446,15.066519173319364,16.881943016134134,14.45683229480096,14.491376746189438,8.831760866327848,8.774964387392123,13.19090595827292,4.242640687119285,3.7416573867739413,12.449899597988733
Fulham_18_19,57.844619455918284,50.6458290484024,47.43416490252569,30.14962686336267,31.464265445104548,31.89043743820395,26.758176320519304,32.77193921634788,26.248809496813376,20.8806130178211,17.46424919657298,19.261360284258224,16.822603841260722,16.911534525287763,10.770329614269007,11.180339887498949,15.033296378372908,5.830951894845301,2.8284271247461903,10.816653826391969
Huddersfield_18_19,60.41522986797286,53.97221507405454,49.25444142409901,31.51190251317746,34.14674215792775,35.566838487557476,30.331501776206203,29.427877939124322,24.515301344262525,27.27636339397171,19.1049731745428,21.97726097583591,20.074859899884732,18.384776310850235,17.435595774162696,15.0,9.486832980505138,12.727922061357855,11.489125293076057,9.848857801796104
Liverpool_19_20,8.48528137423857,16.76305461424021,17.08800749063506,33.36165463522455,30.099833886584822,29.816103031751148,34.49637662132068,41.88078318274385,41.6293165929973,42.16633728461603,45.13313638558703,43.37049688440288,45.088801270381985,45.89117562233506,50.457903246171455,50.86255990411808,56.178287620752556,57.3410847473258,61.62791575252241,69.8927750200262
Leicester City_19_20,13.30413469565007,9.055385138137417,5.0,18.708286933869708,13.601470508735444,12.806248474865697,17.916472867168917,28.513154858766505,26.153393661244042,25.709920264364882,28.39013913315678,26.038433132583073,28.035691537752374,29.03446228191595,34.07345007480164,33.85262175962151,39.25557285278104,40.311288741492746,44.77722635447622,53.60970061472084
