Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,West Ham_21_22,Arsenal_21_22,Tottenham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Southampton_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Watford_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Swansea City_17_18,57.706152185014034,52.92447448959697,44.82186966202994,33.793490497431605,29.13760456866693,25.495097567963924,29.13760456866693,24.819347291981714,18.708286933869708,18.027756377319946,24.289915602982237,18.81488772222678,14.45683229480096,13.076696830622021,14.866068747318506,13.74772708486752,12.84523257866513,13.638181696985855,5.385164807134504,13.674794331177344
Liverpool_18_19,5.0990195135927845,13.45362404707371,13.152946437965905,26.038433132583073,28.372521918222215,32.46536616149585,30.93541659651604,36.55133376499413,38.704004960727254,41.340053217188775,43.01162633521314,41.255302689472536,44.77722635447622,45.98912915026767,50.48762224545735,50.84289527554464,55.65069631190611,58.25804665451803,54.63515351859094,66.53570470055908
Manchester City_18_19,5.830951894845301,5.196152422706632,13.076696830622021,23.62202362203543,28.089143810376278,32.863353450309965,28.89636655359978,40.32369030731191,40.27406113120453,39.81205847478876,39.293765408777,39.344631145812,43.508619835614184,44.82186966202994,48.342527861087284,48.61069841094653,53.319789947073126,55.910642993977454,54.415071441651165,65.33758489567853
Tottenham_18_19,11.74734012447073,9.9498743710662,7.14142842854285,14.352700094407323,18.138357147217054,22.44994432064365,19.261360284258224,30.822070014844883,30.62678566222711,30.479501308256342,30.854497241083024,30.528675044947494,34.07345007480164,35.397740040855716,39.0,39.63584236521283,44.48595283907045,46.88283267892417,45.39823785126467,55.65069631190611
Chelsea_18_19,17.74823934929885,17.146428199482248,7.0710678118654755,13.076696830622021,13.038404810405298,16.881943016134134,16.911534525287763,21.470910553583888,22.737634001804146,26.076809620810597,29.478805945967352,26.248809496813376,29.29163703175362,30.430248109405877,35.4400902933387,35.749125863438955,40.52159917870962,43.116122274620196,38.8587184554509,50.85272854036448
Arsenal_18_19,22.737634001804146,16.30950643030009,15.165750888103101,9.0,15.165750888103101,19.1049731745428,12.569805089976535,31.670175244226233,28.30194339616981,23.452078799117146,20.808652046684813,23.345235059857504,27.09243436828813,28.495613697550013,30.430248109405877,31.20897306865447,35.86084215408221,38.01315561749642,39.67366884975475,47.70744176750625
Manchester Utd_18_19,26.19160170741759,19.72308292331602,16.881943016134134,6.48074069840786,12.36931687685298,15.937377450509228,8.774964387392123,29.120439557122072,24.939927826679853,19.209372712298546,16.55294535724685,19.131126469708992,22.825424421026653,24.228082879171435,26.095976701399778,26.851443164195103,31.51190251317746,33.67491648096547,35.510561809129406,43.393547907494266
Leicester City_18_19,36.98648401781386,33.481338085566414,24.351591323771842,15.748015748023622,9.643650760992955,7.0710678118654755,12.84523257866513,9.695359714832659,3.7416573867739413,10.723805294763608,19.026297590440446,11.74734012447073,12.206555615733702,12.84523257866513,19.261360284258224,19.209372712298546,23.430749027719962,25.92296279363144,19.72308292331602,32.14031735997639
Watford_18_19,37.8021163428716,32.4037034920393,25.41653005427767,12.68857754044952,9.695359714832659,8.306623862918075,7.874007874011811,19.261360284258224,12.041594578792296,3.7416573867739413,9.433981132056603,5.0,7.3484692283495345,8.717797887081348,12.884098726725126,13.19090595827292,18.05547008526779,20.518284528683193,19.949937343260004,29.189039038652847
Wolves_18_19,40.24922359499622,36.45545226711637,27.586228448267445,18.0,12.206555615733702,8.831760866327848,14.317821063276353,11.045361017187261,3.1622776601683795,9.1104335791443,18.05547008526779,10.488088481701515,9.643650760992955,10.04987562112089,16.583123951777,16.522711641858304,20.518284528683193,22.891046284519195,16.64331697709324,28.722813232690143
West Ham_18_19,39.52214569073901,34.07345007480164,27.147743920996454,14.352700094407323,11.357816691600547,9.486832980505138,9.433981132056603,19.79898987322333,12.24744871391589,2.23606797749979,8.831760866327848,4.242640687119285,5.744562646538029,7.14142842854285,11.180339887498949,11.532562594670797,16.401219466856727,18.81488772222678,18.681541692269406,27.477263328068172
Everton_18_19,38.52272056851645,32.69556544854363,26.019223662515376,13.416407864998739,11.0,10.295630140987,9.0,20.445048300260872,12.884098726725126,3.3166247903554,8.602325267042627,3.1622776601683795,7.0,8.306623862918075,12.449899597988733,12.206555615733702,17.0,19.697715603592208,19.209372712298546,28.861739379323623
Bournemouth_18_19,43.46262762420146,37.20215047547655,32.0624390837628,18.24828759089466,17.60681686165901,16.09347693943108,13.416407864998739,27.730849247724095,20.223748416156685,8.602325267042627,3.3166247903554,9.539392014169456,9.695359714832659,10.677078252031311,8.602325267042627,10.198039027185569,14.422205101855956,15.905973720586866,22.045407685048602,25.729360660537214
Brighton_18_19,42.731721238442994,37.986839826445156,29.9833287011299,18.708286933869708,14.035668847618199,10.954451150103322,14.247806848775006,16.06237840420901,7.874007874011811,5.0,14.142135623730951,6.6332495807108,4.58257569495584,5.0,11.704699910719626,11.445523142259598,15.588457268119896,18.05547008526779,13.892443989449804,24.919871588754223
Crystal Palace_18_19,47.81213235152768,43.46262762420146,34.88552708502482,25.019992006393608,19.82422760159901,16.673332000533065,21.0,15.620499351813308,8.602325267042627,11.532562594670797,20.248456731316587,12.24744871391589,9.433981132056603,8.660254037844387,14.866068747318506,13.74772708486752,16.15549442140351,18.49324200890693,8.774964387392123,22.869193252058544
Newcastle Utd_18_19,54.08326913195984,49.49747468305833,41.15823125451335,30.675723300355934,25.768197453450252,22.293496809607955,26.267851073127396,21.0,14.798648586948742,15.556349186104045,22.912878474779202,16.278820596099706,12.328828005937952,11.045361017187261,14.7648230602334,13.490737563232042,13.92838827718412,15.524174696260024,4.47213595499958,17.4928556845359
Burnley_18_19,55.58776843874919,49.60846701924985,43.32435804486894,30.166206257996713,27.51363298439521,24.454038521274967,25.079872407968907,30.59411708155671,22.847319317591726,14.594519519326424,15.556349186104045,15.427248620541512,11.532562594670797,10.723805294763608,5.385164807134504,5.744562646538029,4.123105625617661,3.1622776601683795,14.177446878757825,12.449899597988733
