Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,West Ham_21_22,Tottenham_21_22,Wolves_21_22,Aston Villa_21_22,Leicester City_21_22,Southampton_21_22,Brighton_21_22,Newcastle Utd_21_22,Crystal Palace_21_22,Everton_21_22,Brentford_21_22,Leeds United_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Newcastle Utd_17_18,57.67148342118486,59.9749947894954,45.09988913511872,29.631064780058107,26.94438717061496,27.09243436828813,24.06241883103193,17.72004514666935,17.029386365926403,21.283796653792763,12.449899597988733,6.48074069840786,13.379088160259652,12.328828005937952,12.083045973594572,9.16515138991168,25.80697580112788,7.874007874011811,16.76305461424021,26.19160170741759
Brighton_17_18,59.74110812497538,62.30569797378086,47.21228653645151,31.54362059117501,29.13760456866693,29.478805945967352,26.267851073127396,17.804493814764857,19.72308292331602,23.748684174075834,14.7648230602334,7.54983443527075,15.165750888103101,15.264337522473747,13.379088160259652,10.246950765959598,26.43860813280457,7.280109889280518,17.378147196982766,25.317977802344327
Crystal Palace_17_18,60.55575942881073,62.41794613730894,48.28043081829324,31.953090617340916,28.722813232690143,28.792360097775937,25.729360660537214,23.043437243605826,18.193405398660254,19.6468827043885,12.083045973594572,11.704699910719626,9.486832980505138,13.0,6.708203932499369,4.123105625617661,19.82422760159901,7.810249675906654,11.489125293076057,20.904544960366874
Swansea City_17_18,62.10475022089695,64.69930447848725,49.60846701924985,33.77869150810907,31.38470965295043,31.76476034853718,28.495613697550013,19.519221295943137,21.93171219946131,25.41653005427767,16.61324772583615,9.848857801796104,16.1245154965971,17.291616465790582,13.601470508735444,10.344080432788601,25.942243542145693,6.4031242374328485,16.792855623746664,23.600847442411894
Huddersfield_17_18,64.04685784642366,65.79513659838392,52.09606511052442,35.09985754956849,31.78049716414141,31.96873472629156,28.792360097775937,27.313000567495326,21.6794833886788,21.047565179849187,14.866068747318506,16.431676725154983,9.848857801796104,16.911534525287763,6.324555320336759,5.830951894845301,15.748015748023622,10.862780491200215,9.433981132056603,16.431676725154983
Southampton_17_18,58.52349955359813,60.149812967290266,46.09772228646444,30.512292604784715,27.073972741361768,26.851443164195103,24.124676163629637,22.38302928559939,15.905973720586866,18.2208671582886,10.862780491200215,10.816653826391969,9.486832980505138,10.04987562112089,7.14142842854285,4.58257569495584,21.236760581595302,8.06225774829855,12.24744871391589,23.430749027719962
Stoke City_17_18,65.92419889539804,66.85057965343307,54.38749856354859,37.62977544445356,33.67491648096547,33.49626844888845,30.805843601498726,33.67491648096547,23.366642891095847,19.87460691435179,17.11724276862369,22.494443758403985,9.848857801796104,18.708286933869708,6.324555320336759,9.055385138137417,8.48528137423857,16.30950643030009,6.708203932499369,14.491376746189438
West Brom_17_18,67.03730304837748,68.9129886160802,54.42425929675111,39.06404996924922,35.9722114972099,35.86084215408221,33.03028912982749,26.419689627245813,25.019992006393608,27.073972741361768,19.87460691435179,16.06237840420901,17.05872210923198,18.973665961010276,11.74734012447073,8.246211251235321,22.67156809750927,2.449489742783178,11.704699910719626,18.920887928424502
Liverpool_18_19,5.385164807134504,13.341664064126334,11.180339887498949,27.147743920996454,30.773365106858236,31.160872901765764,33.61547262794322,44.328320518603,41.773197148410844,46.36809247747852,47.56048780237646,49.66890375275057,54.57105459856901,48.05205510693585,60.0416522091123,60.241181927316134,69.74955196988724,62.63385665915839,66.76825593049439,78.09609465267773
Manchester City_18_19,10.488088481701515,3.605551275463989,20.149441679609886,35.749125863438955,37.68288736283355,37.14835124201342,40.607881008493905,55.98214000911362,47.81213235152768,50.40833264451424,54.230987451824994,58.92367945062494,60.40695324215582,54.01851534427802,65.98484674529449,66.82813778641449,73.95944834840239,70.45565981523414,72.2841614740048,84.33267456923205
Tottenham_18_19,14.730919862656235,17.72004514666935,9.0,15.524174696260024,18.411952639521967,18.841443681416774,21.400934559032695,37.107950630558946,30.01666203960727,33.25657829663178,35.52463933666322,39.93745109543172,42.07136793592526,36.6742416417845,47.968739820845826,48.67237409455183,56.57738063926254,52.25897052181568,54.71745608121781,65.81033353509159
Arsenal_18_19,25.495097567963924,25.39685019840059,18.275666882497067,13.564659966250536,12.884098726725126,12.409673645990857,15.394804318340652,36.41428291206625,22.67156809750927,23.2163735324878,27.94637722496424,35.58089374931439,33.36165463522455,29.223278392404914,39.496835316262995,40.91454509095757,46.389654018972806,45.9782557302906,45.92385001282014,57.07889277132134
Chelsea_18_19,24.535688292770594,27.51363298439521,13.784048752090222,4.898979485566356,8.366600265340756,9.486832980505138,11.180339887498949,27.09243436828813,20.049937655763422,24.55605831561735,25.238858928247925,29.154759474226502,32.14031735997639,26.645825188948457,37.841775856849004,38.28837943815329,47.41307836451879,41.593268686170845,44.68780594300866,55.65968020030299
Manchester Utd_18_19,25.768197453450252,26.589471600616662,16.97056274847714,9.899494936611665,9.486832980505138,9.273618495495704,12.206555615733702,32.7414110874898,20.09975124224178,21.840329667841555,25.475478405713993,32.341923257592455,31.38470965295043,26.795522013948524,37.44329045369811,38.600518131237564,45.232731511594565,43.243496620879306,44.034077712607996,55.226805085936306
Watford_18_19,40.311288741492746,42.16633728461603,28.30194339616981,12.36931687685298,8.660254037844387,8.660254037844387,5.830951894845301,19.209372712298546,4.58257569495584,12.083045973594572,9.273618495495704,15.066519173319364,16.55294535724685,10.63014581273465,21.656407827707714,21.93171219946131,32.63433774416144,25.67099530598687,28.460498941515414,39.83716857408418
Wolves_18_19,42.49705872175156,44.955533585978046,30.364452901377952,13.92838827718412,11.40175425099138,12.083045973594572,8.660254037844387,15.556349186104045,7.0710678118654755,14.45683229480096,8.660254037844387,11.575836902790225,16.09347693943108,10.954451150103322,20.73644135332772,20.493901531919196,32.46536616149585,23.366642891095847,27.586228448267445,38.28837943815329
West Ham_18_19,47.644516998286385,49.24428900898052,35.805027579936315,19.235384061671343,15.427248620541512,15.427248620541512,12.449899597988733,20.639767440550294,5.830951894845301,9.219544457292887,1.7320508075688772,12.409673645990857,9.1104335791443,6.6332495807108,14.352700094407323,14.966629547095765,25.41653005427767,19.949937343260004,21.283796653792763,32.341923257592455
