Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,West Ham_21_22,Tottenham_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Southampton_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22,Watford_21_22
Chelsea_16_17,7.3484692283495345,13.638181696985855,12.328828005937952,22.912878474779202,25.199206336708304,24.186773244895647,30.298514815086232,35.05709628591621,35.566838487557476,37.94733192202055,39.761790704142086,41.255302689472536,39.72404813208241,44.14748010928823,46.98936049788292,44.48595283907045,52.3354564325181,48.67237409455183,59.80802621722272,53.40411969127476
Arsenal_16_17,14.035668847618199,9.0,8.774964387392123,18.0,18.05547008526779,15.165750888103101,25.317977802344327,34.14674215792775,31.906112267087632,30.083217912982647,30.331501776206203,34.36568055487916,31.796226191169293,37.013511046643494,38.79432948254165,36.52396473549935,44.24929377967517,42.8485705712571,53.04714883949938,45.574115460423364
Tottenham_16_17,13.784048752090222,13.490737563232042,3.1622776601683795,15.84297951775486,18.466185312619388,17.11724276862369,23.62202362203543,28.653097563788805,28.089143810376278,30.298514815086232,32.66496594212215,33.555923471125034,31.68595903550972,36.45545226711637,39.774363602702685,36.72873534441391,44.82186966202994,40.43513323831146,52.583267300539625,45.4972526643093
Liverpool_16_17,18.05547008526779,11.045361017187261,11.832159566199232,18.138357147217054,16.822603841260722,13.152946437965905,24.779023386727733,35.2845575287547,32.01562118716424,28.071337695236398,27.294688127912362,32.77193921634788,29.832867780352597,35.22782990761707,36.27671429443411,34.336569426778794,41.79712908801273,41.82104733265297,51.07837115648854,43.3589667773576
Manchester City_16_17,22.693611435820433,18.193405398660254,11.180339887498949,10.295630140987,8.831760866327848,6.6332495807108,16.583123951777,27.892651361962706,24.372115213907882,21.18962010041709,21.77154105707724,25.475478405713993,23.259406699226016,28.071337695236398,29.68164415931166,27.676705006196094,35.24202037341219,34.72751070837067,43.79497688091638,36.78314831549904
Manchester Utd_16_17,27.018512172212592,26.038433132583073,12.806248474865697,4.58257569495584,9.9498743710662,12.68857754044952,10.677078252031311,16.15549442140351,15.0,19.8997487421324,24.596747752497688,21.77154105707724,21.494185260204677,24.758836806279895,29.0516780926679,25.98076211353316,33.74907406137241,28.442925306655784,40.01249804748511,34.292856398964496
Everton_16_17,30.675723300355934,28.0178514522438,15.132745950421556,3.7416573867739413,7.874007874011811,10.677078252031311,7.810249675906654,15.362291495737216,11.661903789690601,15.132745950421556,20.346989949375804,17.05872210923198,16.401219466856727,20.049937655763422,24.596747752497688,21.118712081942874,29.086079144497972,23.790754506740637,35.832945734337834,29.410882339705484
West Brom_16_17,37.107950630558946,33.481338085566414,21.61018278497431,8.602325267042627,8.717797887081348,12.24744871391589,4.58257569495584,15.684387141358123,8.831760866327848,8.660254037844387,15.165750888103101,10.04987562112089,10.04987562112089,13.038404810405298,17.74823934929885,14.2828568570857,22.090722034374522,18.05547008526779,28.879058156387302,22.516660498395403
Stoke City_16_17,43.60045871318328,39.05124837953327,28.337254630609507,15.427248620541512,13.416407864998739,16.30950643030009,9.433981132056603,20.149441679609886,12.24744871391589,3.3166247903554,10.677078252031311,3.605551275463989,5.0,6.164414002968976,10.344080432788601,7.211102550927978,14.696938456699069,14.491376746189438,22.135943621178654,15.588457268119896
West Ham_16_17,44.02272140611028,39.11521443121589,29.017236257093817,16.34013463836819,13.601470508735444,16.15549442140351,10.677078252031311,22.293496809607955,14.45683229480096,2.449489742783178,8.660254037844387,4.69041575982343,4.898979485566356,6.4031242374328485,8.831760866327848,6.4031242374328485,13.74772708486752,15.84297951775486,21.93171219946131,15.165750888103101
Southampton_16_17,45.09988913511872,42.261093218230876,29.427877939124322,17.0,18.24828759089466,21.840329667841555,11.224972160321824,11.789826122551595,4.358898943540674,12.727922061357855,20.518284528683193,9.16515138991168,12.409673645990857,11.180339887498949,18.16590212458495,14.317821063276353,20.223748416156685,10.63014581273465,23.727621035409346,19.235384061671343
Bournemouth_16_17,45.387222871640866,39.496835316262995,30.692018506445613,19.209372712298546,15.524174696260024,16.822603841260722,14.696938456699069,26.77685567799177,18.788294228055936,4.242640687119285,4.58257569495584,7.874007874011811,5.477225575051661,8.18535277187245,7.0710678118654755,5.744562646538029,12.36931687685298,18.027756377319946,22.293496809607955,14.352700094407323
Burnley_16_17,46.90415759823429,42.8485705712571,31.400636936215164,18.24828759089466,17.233687939614086,20.46948949045872,11.489125293076057,18.57417562100671,10.816653826391969,7.3484692283495345,14.45683229480096,2.449489742783178,7.3484692283495345,4.358898943540674,10.862780491200215,7.54983443527075,13.601470508735444,10.63014581273465,19.1049731745428,13.638181696985855
Watford_16_17,49.8998997994986,45.01110973970759,34.66987164671943,21.79449471770337,19.519221295943137,22.11334438749598,15.297058540778355,24.020824298928627,16.278820596099706,7.3484692283495345,11.789826122551595,4.242640687119285,7.211102550927978,2.23606797749979,5.477225575051661,3.605551275463989,8.54400374531753,12.449899597988733,16.0312195418814,9.695359714832659
Leicester City_16_17,51.97114584074513,47.0,36.40054944640259,23.83275057562597,21.95449840010015,24.372115213907882,17.46424919657298,24.372115213907882,16.673332000533065,9.433981132056603,14.0,5.385164807134504,8.18535277187245,2.449489742783178,7.0,4.242640687119285,7.615773105863909,9.797958971132712,14.491376746189438,7.280109889280518
Middlesbrough_16_17,52.306787322488084,49.193495504995376,36.359317925395686,24.839484696748443,25.942243542145693,29.03446228191595,19.28730152198591,16.15549442140351,11.357816691600547,17.832554500127006,25.079872407968907,13.038404810405298,16.30950643030009,13.379088160259652,20.346989949375804,16.522711641858304,20.024984394500787,5.385164807134504,21.0,17.4928556845359
Swansea City_16_17,60.597029630172464,54.29548784199291,46.281745861624536,34.36568055487916,30.675723300355934,32.046840717924134,28.495613697550013,38.22302970723278,30.610455730027933,19.026297590440446,16.76305461424021,18.384776310850235,18.708286933869708,15.84297951775486,9.486832980505138,13.74772708486752,7.280109889280518,22.825424421026653,14.45683229480096,10.862780491200215
Crystal Palace_16_17,54.405882034941776,47.8748368143433,39.11521443121589,28.30194339616981,25.317977802344327,26.13426869074396,23.40939982143925,31.953090617340916,23.853720883753127,12.569805089976535,12.529964086141668,12.083045973594572,10.677078252031311,9.9498743710662,7.874007874011811,7.0,7.0,15.652475842498529,17.46424919657298,7.0710678118654755
Hull City_16_17,62.545983084447556,57.02630971753301,47.47630988187688,34.77067730142742,32.07802986469088,34.219877264537345,28.071337695236398,35.0,27.94637722496424,19.6468827043885,20.322401432901575,16.911534525287763,18.81488772222678,13.96424004376894,10.677078252031311,13.45362404707371,5.385164807134504,18.027756377319946,7.280109889280518,6.782329983125268
Sunderland_16_17,60.64651680022522,55.33534132902769,45.09988913511872,32.57299494980466,30.479501308256342,32.69556544854363,25.96150997149434,31.416556144810016,24.392621835300936,17.72004514666935,20.024984394500787,14.142135623730951,16.30950643030009,11.180339887498949,10.677078252031311,11.357816691600547,5.385164807134504,13.152946437965905,7.681145747868608,3.1622776601683795
Manchester City_17_18,11.661903789690601,16.3707055437449,27.16615541441225,39.66106403010388,40.607881008493905,37.986839826445156,47.20169488482379,53.150729063673246,52.96225070746144,52.896124621752776,52.848841046895245,57.043842787806646,54.53439281774392,59.75784467331465,61.56297588648554,59.33801479658719,67.05967491719595,64.93843238021688,75.76938695805846,68.36665854054884
Manchester Utd_17_18,13.076696830622021,13.379088160259652,4.123105625617661,16.30950643030009,18.920887928424502,17.663521732655695,24.06241883103193,29.086079144497972,28.6705423736629,30.93541659651604,33.25657829663178,34.19064199455752,32.38826948140329,37.094473981982816,40.36087214122113,37.389838191679836,45.45327270945405,41.15823125451335,53.16013544000805,46.184412955021955
Chelsea_17_18,16.673332000533065,17.378147196982766,5.0990195135927845,13.379088160259652,16.881943016134134,16.64331697709324,20.92844953645635,25.079872407968907,25.079872407968907,28.6705423736629,31.796226191169293,31.464265445104548,30.133038346638727,34.42382895611701,38.13135192987524,35.05709628591621,43.09292285283048,38.09199390948182,50.24937810560445,43.70354676682432
Liverpool_17_18,17.435595774162696,10.770329614269007,9.486832980505138,16.76305461424021,16.0312195418814,12.449899597988733,23.748684174075834,33.54101966249684,30.479501308256342,27.386127875258307,27.2213151776324,31.906112267087632,29.017236257093817,34.45286635390443,35.9722114972099,33.71943060017473,41.38840417314975,40.55859958134649,50.52722038663912,42.731721238442994
Tottenham_17_18,20.808652046684813,17.578395831246947,5.385164807134504,9.16515138991168,11.224972160321824,9.899494936611665,16.881943016134134,24.372115213907882,22.045407685048602,22.64950330581225,25.13961017995307,26.095976701399778,24.06241883103193,28.948229652260256,32.14031735997639,29.086079144497972,37.17526059088221,33.52610922848042,45.18849411078001,37.907782842049734
Arsenal_17_18,26.645825188948457,22.045407685048602,12.727922061357855,6.708203932499369,4.58257569495584,3.0,12.409673645990857,24.228082879171435,19.87460691435179,16.55294535724685,18.138357147217054,20.688160865577203,18.49324200890693,23.345235059857504,25.495097567963924,23.08679276123039,30.870698080866262,29.748949561287034,39.331920878594275,32.155870381627054
Burnley_17_18,41.773197148410844,41.43669871020132,27.586228448267445,16.911534525287763,20.639767440550294,24.779023386727733,13.601470508735444,2.0,6.928203230275509,21.18962010041709,28.6705423736629,18.841443681416774,21.656407827707714,21.118712081942874,27.586228448267445,24.20743687382041,30.099833886584822,19.748417658131498,32.18695387886216,29.34280150224242
Leicester City_17_18,37.907782842049734,32.69556544854363,22.693611435820433,11.40175425099138,8.48528137423857,10.099504938362077,9.0,21.587033144922902,14.212670403551895,5.196152422706632,9.695359714832659,9.643650760992955,7.0,12.083045973594572,14.798648586948742,11.661903789690601,19.697715603592208,19.339079605813716,28.39013913315678,20.663978319771825
Everton_17_18,46.07602413403309,41.892720131306824,30.740852297878796,17.4928556845359,16.06237840420901,19.28730152198591,10.723805294763608,19.339079605813716,11.575836902790225,6.082762530298219,13.038404810405298,2.23606797749979,6.708203932499369,4.47213595499958,10.04987562112089,7.0710678118654755,13.490737563232042,12.24744871391589,19.6468827043885,14.035668847618199
Watford_17_18,47.10626285325551,41.2189276910499,32.38826948140329,20.73644135332772,17.146428199482248,18.547236990991408,15.84297951775486,27.459060435491963,19.44222209522358,5.385164807134504,5.477225575051661,7.810249675906654,6.082762530298219,7.483314773547883,5.385164807134504,4.69041575982343,10.677078252031311,17.4928556845359,20.73644135332772,12.84523257866513
Huddersfield_17_18,52.952809179494906,49.31531202375181,37.603191353926334,24.1039415863879,23.345235059857504,26.888659319497503,16.73320053068151,20.615528128088304,14.317821063276353,13.341664064126334,19.209372712298546,8.12403840463596,13.038404810405298,7.14142842854285,12.083045973594572,10.63014581273465,12.36931687685298,9.433981132056603,13.74772708486752,11.916375287812984
Brighton_17_18,51.51698748956503,48.68264577855234,35.832945734337834,23.430749027719962,24.392621835300936,27.94637722496424,17.146428199482248,15.0,10.04987562112089,16.61324772583615,23.93741840717165,11.575836902790225,15.684387141358123,12.041594578792296,18.867962264113206,15.588457268119896,19.05255888325765,7.0,19.72308292331602,17.204650534085253
Newcastle Utd_17_18,51.0,47.3392015141785,35.14256678161116,22.58317958127243,22.627416997969522,25.80697580112788,16.15549442140351,17.72004514666935,11.045361017187261,13.076696830622021,20.049937655763422,7.810249675906654,11.874342087037917,7.874007874011811,14.798648586948742,11.313708498984761,15.0996688705415,5.0990195135927845,17.60681686165901,13.379088160259652
Crystal Palace_17_18,52.076866265166146,48.12483766206386,36.359317925395686,23.430749027719962,22.825424421026653,25.98076211353316,16.61324772583615,20.024984394500787,13.152946437965905,12.24744871391589,18.57417562100671,6.782329983125268,11.224972160321824,5.916079783099616,12.24744871391589,9.433981132056603,12.36931687685298,6.4031242374328485,15.132745950421556,11.045361017187261
West Ham_17_18,52.21110992882645,46.968074263269514,37.013511046643494,24.392621835300936,21.840329667841555,24.1039415863879,18.05547008526779,26.627053911388696,18.894443627691185,9.273618495495704,12.12435565298214,6.782329983125268,8.717797887081348,4.123105625617661,3.7416573867739413,3.605551275463989,5.744562646538029,13.076696830622021,14.317821063276353,7.3484692283495345
Bournemouth_17_18,51.86520991955976,47.43416490252569,36.08323710533743,23.430749027719962,22.38302928559939,25.15949125081825,16.911534525287763,21.61018278497431,14.247806848775006,10.862780491200215,16.76305461424021,5.656854249492381,9.486832980505138,4.123105625617661,10.488088481701515,7.280109889280518,10.63014581273465,6.708203932499369,15.066519173319364,9.273618495495704
Southampton_17_18,52.40229002629561,48.187135212627034,36.46916505762094,24.06241883103193,23.515952032609693,26.324893162176366,17.72004514666935,20.615528128088304,13.601470508735444,12.569805089976535,18.841443681416774,7.3484692283495345,10.954451150103322,6.4031242374328485,12.884098726725126,9.433981132056603,12.529964086141668,4.358898943540674,15.7797338380595,10.488088481701515
Stoke City_17_18,58.42088667591412,52.848841046895245,43.73785545725808,31.080540535840107,27.964262908219126,30.033314835362415,24.596747752497688,33.34666400106613,26.0,16.0312195418814,15.937377450509228,14.247806848775006,15.7797338380595,11.575836902790225,6.4031242374328485,10.488088481701515,3.7416573867739413,18.49324200890693,10.954451150103322,7.810249675906654
West Brom_17_18,57.73214009544424,53.9351462406472,41.701318923986086,29.631064780058107,29.732137494637012,32.64965543462902,23.345235059857504,22.40535650240808,17.146428199482248,19.261360284258224,25.337718918639855,14.035668847618199,17.46424919657298,12.884098726725126,18.411952639521967,15.620499351813308,16.24807680927192,4.242640687119285,15.297058540778355,13.076696830622021
Swansea City_17_18,61.00819617067857,57.21887800367987,45.18849411078001,32.41913015489465,32.07802986469088,35.22782990761707,25.495097567963924,25.475478405713993,20.42057785666214,21.118712081942874,26.43860813280457,15.811388300841896,19.697715603592208,14.035668847618199,18.05547008526779,16.64331697709324,15.0,8.660254037844387,11.0,12.24744871391589
Liverpool_18_19,5.0990195135927845,15.033296378372908,16.431676725154983,28.372521918222215,30.93541659651604,29.68164415931166,35.86084215408221,39.230090491866065,40.33608806019741,43.42810150121693,45.35416188179427,46.647615158762406,45.01110973970759,49.56813492557492,52.66877632905477,49.92995093127971,57.905094767213704,53.48831648126533,65.3834841531101,58.770741019660456
Manchester City_18_19,7.0710678118654755,5.477225575051661,17.204650534085253,29.748949561287034,30.380915061926625,27.367864366808018,37.33630940518894,44.28317965096906,43.139309220245984,42.23742416388575,42.20189569201838,46.49731175025068,43.749285708454714,49.16299421312742,50.99019513592785,48.61069841094653,56.382621436041795,54.415071441651165,65.33758489567853,57.584720195551874
