Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,West Ham_21_22,Arsenal_21_22,Tottenham_21_22,Wolves_21_22,Manchester Utd_21_22,Brighton_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Everton_21_22,Southampton_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
Chelsea_16_17,5.477225575051661,4.123105625617661,10.488088481701515,11.180339887498949,17.578395831246947,19.6468827043885,20.346989949375804,19.4164878389476,21.77154105707724,20.46948949045872,20.445048300260872,20.149441679609886,21.61018278497431,22.912878474779202,26.019223662515376,25.317977802344327,27.386127875258307,27.676705006196094,35.45419580247167,34.38022687534217
Liverpool_16_17,9.055385138137417,8.660254037844387,7.874007874011811,10.816653826391969,18.627936010197157,20.83266665599966,22.44994432064365,18.138357147217054,23.323807579381203,19.209372712298546,20.73644135332772,19.748417658131498,21.0,22.737634001804146,26.70205984563738,24.186773244895647,27.568097504180443,27.568097504180443,35.14256678161116,33.015148038438355
Manchester City_16_17,7.280109889280518,5.477225575051661,10.246950765959598,9.486832980505138,16.431676725154983,18.57417562100671,19.72308292331602,17.549928774784245,20.904544960366874,18.601075237738275,19.1049731745428,18.57417562100671,19.949937343260004,21.400934559032695,24.819347291981714,23.53720459187964,26.019223662515376,26.248809496813376,33.91164991562634,32.57299494980466
Arsenal_16_17,8.774964387392123,6.164414002968976,11.180339887498949,7.0710678118654755,14.491376746189438,16.64331697709324,17.916472867168917,15.165750888103101,18.894443627691185,16.24807680927192,16.76305461424021,16.15549442140351,17.549928774784245,19.026297590440446,22.58317958127243,21.118712081942874,23.68543856465402,23.853720883753127,31.591137997862628,30.14962686336267
Tottenham_16_17,14.317821063276353,9.899494936611665,20.42057785666214,7.874007874011811,8.12403840463596,9.433981132056603,8.306623862918075,13.564659966250536,10.04987562112089,14.352700094407323,10.816653826391969,12.041594578792296,13.638181696985855,13.784048752090222,15.0996688705415,17.832554500127006,17.11724276862369,17.916472867168917,25.65151067676132,26.476404589747453
Manchester Utd_16_17,19.209372712298546,15.033296378372908,22.825424421026653,6.782329983125268,4.69041575982343,5.744562646538029,6.708203932499369,7.874007874011811,6.4031242374328485,8.48528137423857,4.58257569495584,5.744562646538029,7.211102550927978,7.3484692283495345,9.695359714832659,11.40175425099138,11.180339887498949,11.874342087037917,19.6468827043885,20.024984394500787
Everton_16_17,21.118712081942874,16.881943016134134,25.019992006393608,9.0,4.58257569495584,4.69041575982343,5.0990195135927845,8.660254037844387,4.242640687119285,9.0,3.7416573867739413,5.830951894845301,7.0,6.4031242374328485,7.681145747868608,11.0,9.486832980505138,10.488088481701515,18.027756377319946,19.131126469708992
Watford_16_17,24.413111231467404,20.42057785666214,26.153393661244042,9.9498743710662,6.708203932499369,6.928203230275509,10.488088481701515,4.123105625617661,8.602325267042627,3.605551275463989,4.47213595499958,3.4641016151377544,2.23606797749979,3.3166247903554,7.810249675906654,5.916079783099616,7.874007874011811,8.602325267042627,14.730919862656235,14.560219778561036
Southampton_16_17,23.280893453645632,19.1049731745428,28.24889378365107,13.152946437965905,8.06225774829855,7.0710678118654755,3.1622776601683795,12.84523257866513,2.449489742783178,13.076696830622021,6.48074069840786,9.273618495495704,10.344080432788601,8.774964387392123,7.0,13.601470508735444,9.486832980505138,10.677078252031311,18.027756377319946,20.346989949375804
West Brom_16_17,22.045407685048602,18.027756377319946,25.099800796022265,9.219544457292887,6.4031242374328485,6.48074069840786,7.0710678118654755,7.280109889280518,5.477225575051661,7.681145747868608,1.4142135623730951,3.7416573867739413,5.196152422706632,4.58257569495584,7.0,9.0,8.12403840463596,8.602325267042627,16.881943016134134,17.146428199482248
Stoke City_16_17,26.095976701399778,21.95449840010015,28.861739379323623,12.569805089976535,7.3484692283495345,6.4031242374328485,8.306623862918075,7.874007874011811,5.744562646538029,7.483314773547883,3.605551275463989,5.0,4.47213595499958,2.449489742783178,3.7416573867739413,7.0710678118654755,4.58257569495584,6.082762530298219,12.727922061357855,14.177446878757825
Bournemouth_16_17,26.019223662515376,22.0,28.442925306655784,12.409673645990857,8.246211251235321,7.54983443527075,9.1104335791443,7.3484692283495345,6.557438524302,7.0710678118654755,3.0,4.123105625617661,3.7416573867739413,1.4142135623730951,4.242640687119285,6.164414002968976,4.358898943540674,5.196152422706632,12.806248474865697,13.45362404707371
Burnley_16_17,29.546573405388315,25.41653005427767,32.01562118716424,15.811388300841896,10.295630140987,9.0,10.816653826391969,9.899494936611665,8.06225774829855,9.16515138991168,6.708203932499369,7.54983443527075,6.324555320336759,4.242640687119285,3.1622776601683795,6.782329983125268,2.23606797749979,4.58257569495584,9.273618495495704,11.704699910719626
Leicester City_16_17,28.337254630609507,24.535688292770594,29.58039891549808,14.142135623730951,11.224972160321824,10.723805294763608,12.84523257866513,7.0710678118654755,10.246950765959598,6.48074069840786,5.916079783099616,5.196152422706632,3.7416573867739413,2.8284271247461903,6.48074069840786,2.8284271247461903,4.58257569495584,4.123105625617661,11.045361017187261,9.9498743710662
Middlesbrough_16_17,28.0178514522438,24.041630560342615,31.63858403911275,16.30950643030009,11.575836902790225,10.246950765959598,8.54400374531753,12.884098726725126,6.082762530298219,12.806248474865697,6.708203932499369,9.0,9.38083151964686,7.0710678118654755,3.7416573867739413,10.862780491200215,5.0,5.744562646538029,13.341664064126334,15.524174696260024
