Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Tottenham_21_22,Brighton_21_22,Leicester City_21_22,Southampton_21_22,Aston Villa_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Crystal Palace_18_19,53.094255809833136,50.25932749251625,37.107950630558946,26.758176320519304,24.839484696748443,22.045407685048602,22.693611435820433,17.4928556845359,12.84523257866513,19.339079605813716,9.38083151964686,9.0,8.774964387392123,7.280109889280518,17.72004514666935,9.0,12.206555615733702,4.123105625617661,11.180339887498949,20.615528128088304
Southampton_18_19,55.308227236099334,51.67204273105525,39.8622628559895,28.705400188814647,25.39685019840059,22.67156809750927,28.75760768909681,19.026297590440446,18.894443627691185,14.89966442575134,8.246211251235321,7.54983443527075,9.0,1.0,9.486832980505138,2.23606797749979,4.123105625617661,11.874342087037917,5.744562646538029,16.15549442140351
Burnley_18_19,57.91372894228103,54.15717865620402,42.82522621072771,31.25699921617557,27.820855486487112,25.03996805109783,31.96873472629156,21.470910553583888,22.360679774997898,15.7797338380595,11.180339887498949,10.770329614269007,12.569805089976535,5.0990195135927845,6.4031242374328485,5.0990195135927845,1.4142135623730951,15.427248620541512,5.477225575051661,13.490737563232042
Cardiff City_18_19,63.82789358893179,60.29096117993144,48.49742261192856,36.89173349139343,33.91164991562634,31.0,35.12833614050059,26.77685567799177,25.729360660537214,22.15851980616034,16.76305461424021,16.30950643030009,17.72004514666935,9.38083151964686,10.63014581273465,9.899494936611665,6.782329983125268,16.24807680927192,5.0990195135927845,7.483314773547883
Fulham_18_19,66.2872536767062,61.814237842102365,51.51698748956503,40.36087214122113,36.08323710533743,33.74907406137241,41.92851058647326,31.0,32.2490309931942,21.563858652847824,20.615528128088304,19.79898987322333,21.307275752662516,14.352700094407323,7.810249675906654,13.341664064126334,9.486832980505138,23.53720459187964,10.099504938362077,11.40175425099138
Huddersfield_18_19,71.17583859709698,68.09552114493287,55.226805085936306,44.46346815083142,42.21374183841087,39.331920878594275,38.34057902536163,34.48187929913333,29.732137494637012,32.264531609803356,25.079872407968907,24.413111231467404,24.939927826679853,17.72004514666935,21.93171219946131,18.601075237738275,17.4928556845359,17.378147196982766,13.19090595827292,10.862780491200215
Liverpool_19_20,10.099504938362077,17.233687939614086,24.535688292770594,33.06055050963308,36.76955262170047,38.897300677553446,44.69899327725402,43.30127018922193,49.29503017546495,51.70106381884226,53.301031884945715,54.38749856354859,53.96295025292817,61.106464469808756,64.52131430775415,61.35144660071187,64.06246951218786,61.497967446087195,67.17142249498666,76.14459928320589
Manchester City_19_20,17.72004514666935,9.433981132056603,19.6468827043885,27.65863337187866,25.80697580112788,29.58039891549808,44.339598554790726,36.40054944640259,43.9089968002003,37.05401462729781,42.532340636273474,42.80186911806539,42.16633728461603,49.73932046178355,51.07837115648854,49.05099387372289,51.82663407939975,52.51666402200353,55.00909015790027,65.46754921333164
Leicester City_19_20,16.401219466856727,11.916375287812984,7.280109889280518,14.628738838327793,14.594519519326424,18.0,30.675723300355934,24.20743687382041,30.903074280724887,29.223278392404914,31.843366656181317,32.41913015489465,31.701734968294716,39.45883931389772,42.77849927241488,39.25557285278104,42.34383071948026,40.80441152620633,45.221676218380054,55.50675634551167
Chelsea_19_20,31.304951684997057,27.65863337187866,17.146428199482248,7.681145747868608,1.4142135623730951,3.0,22.80350850198276,10.04987562112089,18.81488772222678,15.0,16.34013463836819,17.146428199482248,16.911534525287763,24.041630560342615,27.51363298439521,23.958297101421877,26.795522013948524,26.94438717061496,29.899832775452108,39.774363602702685
Manchester Utd_19_20,36.6333181680284,33.54101966249684,20.83266665599966,11.357816691600547,8.717797887081348,7.0,18.05547008526779,7.681145747868608,11.74734012447073,14.866068747318506,11.180339887498949,11.74734012447073,10.770329614269007,18.49324200890693,24.71841418861655,18.76166303929372,22.360679774997898,19.131126469708992,24.413111231467404,34.84250278036869
Tottenham_19_20,36.89173349139343,33.13608305156178,21.563858652847824,12.083045973594572,7.280109889280518,6.0,21.37755832643195,8.602325267042627,14.798648586948742,11.74734012447073,10.677078252031311,11.090536506409418,10.44030650891055,18.138357147217054,22.93468988235943,18.027756377319946,21.37755832643195,20.71231517720798,23.93741840717165,34.48187929913333
Wolves_19_20,38.52272056851645,35.2845575287547,23.108440016582687,12.449899597988733,9.273618495495704,6.708203932499369,19.390719429665317,6.4031242374328485,12.24744871391589,12.36931687685298,8.660254037844387,9.486832980505138,9.055385138137417,16.30950643030009,21.93171219946131,16.55294535724685,19.849433241279208,18.49324200890693,22.315913604421397,32.46536616149585
Sheffield Utd_19_20,42.82522621072771,41.86884283091664,27.386127875258307,18.138357147217054,20.049937655763422,17.291616465790582,8.831760866327848,12.36931687685298,2.0,24.596747752497688,15.394804318340652,16.3707055437449,15.556349186104045,19.748417658131498,29.068883707497267,21.307275752662516,24.61706725018234,14.212670403551895,25.019992006393608,33.25657829663178
Southampton_19_20,47.968739820845826,44.24929377967517,33.481338085566414,21.6794833886788,17.97220075561143,15.165750888103101,26.851443164195103,12.806248474865697,18.138357147217054,8.12403840463596,5.477225575051661,6.4031242374328485,8.660254037844387,9.643650760992955,11.489125293076057,9.539392014169456,10.723805294763608,18.027756377319946,14.798648586948742,23.430749027719962
Arsenal_19_20,43.87482193696061,40.52159917870962,28.30194339616981,17.60681686165901,14.45683229480096,11.832159566199232,20.904544960366874,9.273618495495704,11.789826122551595,11.40175425099138,3.7416573867739413,4.358898943540674,4.123105625617661,11.0,17.72004514666935,11.357816691600547,14.866068747318506,14.035668847618199,17.0,27.367864366808018
Crystal Palace_19_20,48.176757881783615,46.66904755831214,32.63433774416144,21.95449840010015,22.561028345356956,19.28730152198591,14.177446878757825,13.341664064126334,5.196152422706632,22.67156809750927,12.083045973594572,13.076696830622021,12.84523257866513,14.45683229480096,24.124676163629637,16.401219466856727,19.209372712298546,9.219544457292887,19.313207915827967,26.77685567799177
