Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Southampton_21_22,Aston Villa_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Newcastle Utd_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Burnley_21_22,Watford_21_22,Norwich City_21_22
Chelsea_16_17,8.246211251235321,15.329709716755891,10.246950765959598,19.697715603592208,25.199206336708304,26.795522013948524,27.676705006196094,38.65229618017538,39.35733730830886,39.344631145812,43.829214001622255,42.43819034784589,42.906875905849866,50.78385570237849,53.23532661682466,62.90468980926621,56.515484603779164,56.05354582896607,60.166435825965294,70.79548008171143
Manchester City_16_17,17.549928774784245,19.87460691435179,11.180339887498949,10.770329614269007,13.674794331177344,16.673332000533065,16.06237840420901,33.61547262794322,28.722813232690143,28.35489375751565,35.62302626111375,30.14962686336267,32.07802986469088,39.331920878594275,42.49705872175156,50.60632371551998,45.14421336118285,46.54030511288038,49.03060268852505,59.6992462263972
Tottenham_16_17,16.431676725154983,21.283796653792763,3.0,13.19090595827292,18.466185312619388,18.973665961010276,20.049937655763422,29.223278392404914,30.675723300355934,30.495901363953813,34.19064199455752,35.05709628591621,33.66006535941367,42.532340636273474,44.11349000022555,55.72252686302013,47.81213235152768,46.17358552246078,51.20546845796843,62.369864518050704
Arsenal_16_17,20.71231517720798,21.118712081942874,13.490737563232042,12.206555615733702,12.083045973594572,15.84297951775486,13.152946437965905,34.07345007480164,26.49528259898354,25.475478405713993,34.49637662132068,26.645825188948457,28.948229652260256,36.52396473549935,39.761790704142086,47.391982444291145,42.05948168962618,44.21538193886829,46.010868281309364,57.14017850864661
Liverpool_16_17,22.715633383201094,22.693611435820433,15.652475842498529,12.806248474865697,11.445523142259598,15.556349186104045,12.24744871391589,34.438350715445125,25.553864678361276,24.413111231467404,34.132096331752024,25.0,27.874719729532707,35.14256678161116,38.600518131237564,45.617978911828175,40.66939881532551,43.382023926967726,44.67661580737735,55.749439459065414
Manchester Utd_16_17,28.231188426986208,32.95451410656816,15.0996688705415,8.306623862918075,13.341664064126334,10.816653826391969,15.132745950421556,17.52141546793523,21.118712081942874,22.02271554554524,22.715633383201094,28.035691537752374,25.179356624028344,33.13608305156178,34.19064199455752,47.11687595755899,38.40572873934304,35.62302626111375,41.48493702538308,51.85556864985669
Everton_16_17,30.033314835362415,33.0,16.822603841260722,7.3484692283495345,7.54983443527075,5.477225575051661,7.874007874011811,19.390719429665317,15.652475842498529,15.684387141358123,20.46948949045872,21.18962010041709,19.0,27.586228448267445,29.154759474226502,41.2189276910499,32.863353450309965,31.78049716414141,36.24913792078372,47.34976240700686
West Brom_16_17,38.50973902793941,41.23105625617661,25.573423705088842,13.379088160259652,10.198039027185569,6.4031242374328485,9.433981132056603,16.278820596099706,7.3484692283495345,8.660254037844387,13.19090595827292,15.297058540778355,12.083045973594572,19.390719429665317,20.904544960366874,33.49626844888845,24.758836806279895,23.93741840717165,28.053520278211074,38.71692136521188
Southampton_16_17,46.36809247747852,48.67237409455183,33.12099032335839,21.6794833886788,17.69180601295413,14.560219778561036,15.811388300841896,16.792855623746664,4.123105625617661,5.830951894845301,8.06225774829855,13.601470508735444,6.4031242374328485,13.152946437965905,13.038404810405298,28.0178514522438,17.4928556845359,15.748015748023622,20.346989949375804,31.400636936215164
West Ham_16_17,49.122296363260546,50.299105359837164,37.416573867739416,24.758836806279895,18.708286933869708,17.69180601295413,16.76305461424021,26.43860813280457,7.3484692283495345,7.280109889280518,17.204650534085253,5.0990195135927845,8.12403840463596,7.3484692283495345,12.206555615733702,19.79898987322333,13.379088160259652,19.4164878389476,17.46424919657298,27.874719729532707
Stoke City_16_17,50.78385570237849,52.76362383309168,38.13135192987524,25.514701644346147,20.688160865577203,18.24828759089466,19.0,21.470910553583888,5.830951894845301,7.681145747868608,11.224972160321824,11.224972160321824,7.3484692283495345,7.211102550927978,8.774964387392123,21.95449840010015,12.36931687685298,14.177446878757825,15.588457268119896,25.98076211353316
Burnley_16_17,51.468436929831086,53.79591062525106,38.34057902536163,26.248809496813376,22.135943621178654,19.1049731745428,20.46948949045872,18.788294228055936,7.211102550927978,9.219544457292887,7.874007874011811,14.560219778561036,8.246211251235321,9.695359714832659,8.660254037844387,24.372115213907882,13.45362404707371,11.704699910719626,15.905973720586866,26.248809496813376
Watford_16_17,52.81098370604357,54.49770637375485,40.47221268969612,27.65863337187866,22.40535650240808,20.42057785666214,20.663978319771825,24.515301344262525,8.246211251235321,9.433981132056603,14.071247279470288,10.392304845413264,8.717797887081348,4.242640687119285,7.681145747868608,18.81488772222678,10.04987562112089,14.594519519326424,13.601470508735444,23.769728648009426
Bournemouth_16_17,57.043842787806646,57.21013896155121,45.902069670114,34.02939905434711,27.440845468024488,27.16615541441225,25.019992006393608,35.21363372331802,16.76305461424021,15.684387141358123,24.71841418861655,10.04987562112089,14.317821063276353,8.06225774829855,12.884098726725126,11.789826122551595,9.797958971132712,21.118712081942874,13.638181696985855,23.194827009486403
Leicester City_16_17,59.54829972383762,61.0,46.82947789587238,34.785054261852174,29.546573405388315,27.459060435491963,27.349588662354687,28.178005607210743,14.798648586948742,15.165750888103101,16.76305461424021,15.84297951775486,12.449899597988733,5.385164807134504,2.0,16.15549442140351,3.7416573867739413,9.899494936611665,6.164414002968976,17.72004514666935
Swansea City_16_17,63.89053137985315,64.10148204214939,52.94336596779619,40.422765862815474,34.0147027033899,33.61547262794322,31.96873472629156,40.19950248448356,22.912878474779202,22.494443758403985,29.30870177950569,17.0,21.0,11.874342087037917,15.811388300841896,4.358898943540674,10.954451150103322,23.452078799117146,13.19090595827292,18.49324200890693
Middlesbrough_16_17,61.13918547053109,64.10148204214939,47.085029467974216,37.656340767525464,35.17101079013795,31.400636936215164,33.34666400106613,19.949937343260004,21.79449471770337,22.93468988235943,12.68857754044952,29.171904291629644,20.46948949045872,21.93171219946131,16.24807680927192,33.54101966249684,21.02379604162864,8.602325267042627,20.149441679609886,27.748873851023216
Crystal Palace_16_17,58.497863208838666,59.06775770248944,46.314144707637645,35.07135583350036,29.0,27.820855486487112,26.229754097208,32.09361307176243,15.84297951775486,14.7648230602334,21.0,13.076696830622021,11.789826122551595,6.708203932499369,7.483314773547883,14.594519519326424,5.0990195135927845,14.89966442575134,8.602325267042627,20.73644135332772
Hull City_16_17,66.73080248281148,68.044103344816,54.29548784199291,41.72529209005013,36.359317925395686,34.48187929913333,34.36568055487916,34.68429039204925,22.045407685048602,22.561028345356956,23.40939982143925,21.400934559032695,20.049937655763422,10.677078252031311,9.433981132056603,11.832159566199232,5.916079783099616,14.035668847618199,4.123105625617661,10.246950765959598
Sunderland_16_17,66.46803743153546,67.68308503607086,53.823786563191554,41.78516483155236,36.40054944640259,34.46737587922817,34.14674215792775,34.20526275297414,21.840329667841555,22.045407685048602,22.825424421026653,21.470910553583888,19.1049731745428,11.0,8.366600265340756,13.601470508735444,5.0990195135927845,12.328828005937952,1.4142135623730951,11.575836902790225
Manchester City_17_18,12.68857754044952,9.899494936611665,26.419689627245813,37.21558813185679,40.66939881532551,43.60045871318328,42.36744032862972,57.83597496368502,55.49774770204643,54.67174773134658,61.78996682310163,55.92852581643825,58.034472514187634,65.92419889539804,69.01449123191448,76.30203142774116,71.47726911403373,72.78049189171504,75.39893898457723,86.49277426467485
Manchester Utd_17_18,13.92838827718412,19.519221295943137,3.605551275463989,14.491376746189438,20.12461179749811,20.92844953645635,22.090722034374522,31.52776554086889,33.03028912982749,32.95451410656816,36.72873534441391,37.134889255254286,36.26292872893749,44.82186966202994,46.647615158762406,57.766772456144714,50.25932749251625,48.88762624632127,53.72150407425317,64.69930447848725
Liverpool_17_18,18.867962264113206,17.97220075561143,14.45683229480096,16.1245154965971,16.09347693943108,19.949937343260004,16.911534525287763,38.02630668366309,30.28200785945344,29.0516780926679,38.48376280978771,29.68164415931166,32.38826948140329,39.93745109543172,43.289721643826724,50.24937810560445,45.36518488885502,47.89572005931219,49.35585071701227,60.56401571890688
Chelsea_17_18,22.22611077089287,26.1725046566048,9.1104335791443,6.782329983125268,11.874342087037917,11.916375287812984,13.638181696985855,24.24871130596428,23.769728648009426,23.790754506740637,27.910571473905726,28.442925306655784,27.147743920996454,35.62302626111375,37.389838191679836,48.85693400122443,41.036569057366385,39.824615503479755,44.474711915874174,55.44366510251645
Tottenham_17_18,19.72308292331602,22.315913604421397,7.483314773547883,9.643650760992955,12.569805089976535,14.177446878757825,13.601470508735444,28.61817604250837,25.573423705088842,24.919871588754223,31.11269837220809,28.600699292150182,28.178005607210743,36.959437225152655,39.05124837953327,49.558046773455466,42.2729227756965,42.05948168962618,45.880278987817846,57.28001396647874
