Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Aston Villa_21_22,Southampton_21_22,Everton_21_22,Leeds United_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Liverpool_20_21,20.92844953645635,15.937377450509228,12.449899597988733,11.180339887498949,5.196152422706632,5.196152422706632,9.1104335791443,25.079872407968907,18.49324200890693,17.11724276862369,15.684387141358123,18.24828759089466,18.76166303929372,22.516660498395403,23.194827009486403,26.570660511172846,28.653097563788805,30.116440692751194,35.397740040855716,42.62628297189423
Tottenham_20_21,22.715633383201094,18.33030277982336,13.30413469565007,8.774964387392123,4.123105625617661,5.385164807134504,8.306623862918075,21.470910553583888,15.231546211727817,17.916472867168917,14.071247279470288,16.0312195418814,17.378147196982766,20.518284528683193,22.181073012818835,25.573423705088842,27.76688675382964,27.80287754891569,34.539832078341085,41.09744517606904
Everton_20_21,27.94637722496424,23.853720883753127,18.81488772222678,4.69041575982343,3.7416573867739413,5.477225575051661,3.7416573867739413,18.708286933869708,11.532562594670797,14.966629547095765,10.63014581273465,11.832159566199232,13.152946437965905,15.811388300841896,17.916472867168917,20.71231517720798,23.790754506740637,24.041630560342615,30.133038346638727,35.9722114972099
Aston Villa_20_21,23.706539182259394,19.026297590440446,14.45683229480096,9.0,4.123105625617661,4.123105625617661,7.280109889280518,21.563858652847824,14.89966442575134,16.583123951777,12.884098726725126,15.066519173319364,16.186414056238647,19.519221295943137,20.92844953645635,24.372115213907882,26.476404589747453,26.851443164195103,33.27160951922825,40.01249804748511
West Ham_20_21,29.223278392404914,25.41653005427767,19.672315572906,4.123105625617661,5.916079783099616,7.681145747868608,5.916079783099616,15.7797338380595,8.831760866327848,16.76305461424021,10.295630140987,10.63014581273465,12.96148139681572,14.798648586948742,17.944358444926362,20.73644135332772,23.769728648009426,22.516660498395403,30.083217912982647,35.2845575287547
Chelsea_20_21,27.09243436828813,21.95449840010015,18.027756377319946,9.9498743710662,6.082762530298219,3.0,5.385164807134504,21.047565179849187,13.490737563232042,13.601470508735444,9.38083151964686,12.041594578792296,12.727922061357855,16.401219466856727,17.378147196982766,20.97617696340303,22.825424421026653,23.68543856465402,29.68164415931166,36.701498607005135
Southampton_20_21,31.575306807693888,27.147743920996454,22.135943621178654,7.3484692283495345,7.874007874011811,7.3484692283495345,4.69041575982343,16.431676725154983,8.306623862918075,14.0,6.708203932499369,7.483314773547883,9.433981132056603,11.74734012447073,14.45683229480096,17.46424919657298,20.248456731316587,19.6468827043885,26.68332812825267,32.341923257592455
Arsenal_20_21,34.322004603461025,30.56141357987225,24.351591323771842,9.9498743710662,12.68857754044952,13.152946437965905,11.357816691600547,10.344080432788601,3.1622776601683795,19.82422760159901,9.797958971132712,8.06225774829855,12.24744871391589,12.041594578792296,17.029386365926403,19.79898987322333,22.20360331117452,17.578395831246947,28.30194339616981,32.29551052391029
Leeds United_20_21,35.9722114972099,30.166206257996713,28.442925306655784,17.46424919657298,15.0,11.357816691600547,9.643650760992955,27.730849247724095,19.235384061671343,1.7320508075688772,9.899494936611665,13.076696830622021,9.486832980505138,14.317821063276353,10.677078252031311,13.19090595827292,15.132745950421556,22.11334438749598,21.047565179849187,29.68164415931166
Crystal Palace_20_21,42.43819034784589,37.376463182061514,33.52610922848042,17.4928556845359,18.547236990991408,16.492422502470642,12.806248474865697,21.213203435596427,13.74772708486752,11.575836902790225,7.810249675906654,7.0710678118654755,4.358898943540674,4.898979485566356,4.58257569495584,5.744562646538029,9.899494936611665,13.114877048604,15.297058540778355,21.118712081942874
Wolves_20_21,41.892720131306824,37.027017163147235,32.526911934581186,16.431676725154983,18.05547008526779,16.30950643030009,12.884098726725126,17.60681686165901,10.344080432788601,14.212670403551895,6.4031242374328485,3.7416573867739413,4.123105625617661,1.4142135623730951,6.557438524302,8.54400374531753,11.489125293076057,10.488088481701515,17.146428199482248,21.95449840010015
Burnley_20_21,46.238512086787566,42.35563716909474,36.373066958946424,19.209372712298546,23.043437243605826,22.869193252058544,19.467922333931785,11.704699910719626,9.486832980505138,23.515952032609693,14.352700094407323,10.246950765959598,13.416407864998739,8.660254037844387,15.165750888103101,15.556349186104045,18.24828759089466,9.9498743710662,21.93171219946131,22.20360331117452
Newcastle Utd_20_21,46.98936049788292,42.0,37.69615364994153,21.283796653792763,23.08679276123039,21.18962010041709,17.69180601295413,20.518284528683193,14.560219778561036,16.64331697709324,11.045361017187261,8.774964387392123,7.874007874011811,4.123105625617661,6.324555320336759,5.830951894845301,8.660254037844387,8.06225774829855,12.84523257866513,16.76305461424021
Brighton_20_21,44.41846462902562,39.102429592034305,35.09985754956849,20.639767440550294,21.447610589527216,18.867962264113206,16.24807680927192,20.248456731316587,13.601470508735444,15.297058540778355,8.06225774829855,6.782329983125268,5.916079783099616,4.47213595499958,5.744562646538029,8.306623862918075,8.602325267042627,7.483314773547883,14.628738838327793,20.346989949375804
Fulham_20_21,51.048996072400875,46.151923036857305,41.340053217188775,25.98076211353316,28.089143810376278,26.248809496813376,23.430749027719962,19.87460691435179,16.431676725154983,23.430749027719962,15.620499351813308,12.84523257866513,13.784048752090222,9.643650760992955,12.884098726725126,13.114877048604,12.84523257866513,1.0,15.652475842498529,16.822603841260722
West Brom_20_21,59.00847396772772,53.422841556772326,50.28916384272063,34.45286635390443,35.566838487557476,32.93933818400121,29.68164415931166,33.63034344160047,28.460498941515414,23.853720883753127,23.323807579381203,22.293496809607955,19.748417658131498,17.916472867168917,15.033296378372908,11.661903789690601,10.44030650891055,16.15549442140351,4.123105625617661,7.14142842854285
Sheffield Utd_20_21,61.35144660071187,56.142675390472796,51.778373863998475,36.29049462324811,38.27531841800928,36.069377593742864,33.18132004607411,29.478805945967352,26.981475126464083,30.740852297878796,25.25866188063018,23.0,22.759613353482084,19.1049731745428,19.8997487421324,18.49324200890693,16.583123951777,11.180339887498949,14.730919862656235,11.357816691600547
