Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,West Ham_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Everton_21_22,Southampton_21_22,Leeds United_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Swansea City_16_17,45.0,46.3033476111609,40.13726448077895,24.839484696748443,22.869193252058544,24.0,21.18962010041709,26.870057685088806,23.173260452512935,15.905973720586866,14.696938456699069,15.7797338380595,15.297058540778355,10.677078252031311,12.727922061357855,7.0710678118654755,3.0,10.816653826391969,2.8284271247461903,12.529964086141668
Hull City_16_17,47.391982444291145,49.68903299521938,42.731721238442994,25.37715508089904,23.790754506740637,26.019223662515376,23.366642891095847,25.079872407968907,22.045407685048602,17.378147196982766,19.1049731745428,17.549928774784245,16.0312195418814,12.12435565298214,11.357816691600547,6.4031242374328485,8.12403840463596,9.273618495495704,4.58257569495584,6.6332495807108
Manchester City_17_18,14.560219778561036,10.04987562112089,17.72004514666935,36.6333181680284,36.90528417449187,33.421549934136806,35.52463933666322,46.42197755374064,44.81071300481616,42.02380277890139,41.19465984809196,42.35563716909474,44.395945760846224,46.74398357008097,50.44799302251776,52.48809388804284,52.64978632435273,54.735728733616035,57.905094767213704,63.13477647065839
Manchester Utd_17_18,4.69041575982343,11.357816691600547,2.449489742783178,19.235384061671343,19.949937343260004,16.76305461424021,19.8997487421324,27.94637722496424,26.49528259898354,25.45584412271571,28.089143810376278,25.729360660537214,27.367864366808018,30.675723300355934,33.27160951922825,36.40054944640259,37.76241517699841,37.76241517699841,42.67317658670374,46.411205543489174
Chelsea_17_18,11.916375287812984,17.74823934929885,8.48528137423857,11.916375287812984,12.806248474865697,10.344080432788601,13.638181696985855,21.095023109728988,19.44222209522358,18.81488772222678,23.043437243605826,19.339079605813716,20.615528128088304,24.1039415863879,26.324893162176366,29.68164415931166,31.71750305430741,31.144823004794873,36.373066958946424,39.42080668885405
Tottenham_17_18,15.0,20.149441679609886,11.0,10.04987562112089,10.816653826391969,7.874007874011811,11.789826122551595,18.384776310850235,16.401219466856727,15.84297951775486,21.02379604162864,16.0312195418814,17.378147196982766,21.213203435596427,23.15167380558045,26.795522013948524,28.792360097775937,27.65863337187866,33.37663853655727,36.40054944640259
Liverpool_17_18,16.0312195418814,18.05547008526779,11.180339887498949,12.041594578792296,11.357816691600547,6.782329983125268,9.1104335791443,22.93468988235943,19.924858845171276,15.066519173319364,16.30950643030009,15.394804318340652,17.4928556845359,19.849433241279208,23.57965224510319,25.65151067676132,26.324893162176366,27.80287754891569,31.400636936215164,36.235341863986875
Burnley_17_18,26.1725046566048,33.25657829663178,23.769728648009426,10.04987562112089,12.36931687685298,15.297058540778355,17.291616465790582,7.874007874011811,9.433981132056603,17.291616465790582,26.795522013948524,18.138357147217054,17.029386365926403,21.400934559032695,19.79898987322333,25.019992006393608,29.816103031751148,25.0,32.71085446759225,31.448370387032774
Arsenal_17_18,18.49324200890693,21.748563170931547,13.92838827718412,8.0,7.3484692283495345,3.0,6.164414002968976,19.0,15.937377450509228,11.74734012447073,15.264337522473747,12.328828005937952,14.035668847618199,16.822603841260722,20.024984394500787,22.561028345356956,24.041630560342615,24.61706725018234,28.861739379323623,32.863353450309965
Leicester City_17_18,24.289915602982237,27.147743920996454,19.6468827043885,7.0710678118654755,5.0990195135927845,3.0,2.8284271247461903,16.76305461424021,12.884098726725126,6.0,11.180339887498949,6.782329983125268,8.54400374531753,11.0,14.52583904633395,16.76305461424021,18.384776310850235,19.026297590440446,23.08679276123039,27.16615541441225
Watford_17_18,30.93541659651604,32.61901286060018,26.13426869074396,12.68857754044952,10.344080432788601,10.198039027185569,7.280109889280518,19.949937343260004,15.652475842498529,5.0,5.656854249492381,5.744562646538029,7.3484692283495345,5.830951894845301,11.575836902790225,11.224972160321824,11.532562594670797,15.0,16.492422502470642,22.20360331117452
Everton_17_18,33.49626844888845,36.180105030251084,28.948229652260256,12.083045973594572,10.099504938362077,12.206555615733702,9.38083151964686,17.11724276862369,13.038404810405298,4.47213595499958,9.848857801796104,6.164414002968976,5.385164807134504,3.0,7.681145747868608,7.810249675906654,10.862780491200215,12.24744871391589,14.730919862656235,18.384776310850235
Southampton_17_18,35.41186241925155,39.30648801406709,31.080540535840107,13.341664064126334,12.569805089976535,15.0,14.2828568570857,11.532562594670797,7.874007874011811,7.483314773547883,16.881943016134134,7.3484692283495345,4.58257569495584,7.280109889280518,3.3166247903554,9.219544457292887,13.92838827718412,8.12403840463596,16.15549442140351,16.30950643030009
Huddersfield_17_18,41.38840417314975,45.12205669071391,37.134889255254286,18.027756377319946,17.05872210923198,20.493901531919196,18.466185312619388,16.186414056238647,13.601470508735444,12.36931687685298,18.867962264113206,13.152946437965905,10.488088481701515,9.055385138137417,5.0990195135927845,6.164414002968976,12.68857754044952,8.306623862918075,12.806248474865697,10.246950765959598
Brighton_17_18,38.05259518088089,42.24926034855522,33.85262175962151,15.556349186104045,15.033296378372908,17.916472867168917,17.146428199482248,11.445523142259598,8.717797887081348,10.488088481701515,19.519221295943137,10.488088481701515,7.681145747868608,9.433981132056603,3.605551275463989,9.539392014169456,14.966629547095765,7.483314773547883,16.15549442140351,14.352700094407323
Bournemouth_17_18,37.027017163147235,41.400483088968905,32.87856444554719,15.652475842498529,15.394804318340652,17.72004514666935,17.69180601295413,10.198039027185569,7.681145747868608,11.180339887498949,20.73644135332772,10.63014581273465,8.246211251235321,11.224972160321824,6.164414002968976,12.165525060596439,16.822603841260722,8.660254037844387,18.275666882497067,16.76305461424021
Stoke City_17_18,42.36744032862972,44.11349000022555,37.64306044943742,21.470910553583888,19.519221295943137,21.213203435596427,18.138357147217054,24.166091947189145,20.46948949045872,13.152946437965905,12.884098726725126,13.601470508735444,12.806248474865697,7.874007874011811,10.488088481701515,4.47213595499958,4.358898943540674,10.723805294763608,6.164414002968976,12.68857754044952
Newcastle Utd_17_18,39.25557285278104,42.638011210655684,34.77067730142742,17.233687939614086,16.15549442140351,18.384776310850235,17.05872210923198,15.297058540778355,12.041594578792296,9.9498743710662,17.146428199482248,9.643650760992955,7.3484692283495345,7.0710678118654755,2.0,6.164414002968976,11.0,4.123105625617661,12.24744871391589,12.36931687685298
