Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,Manchester Utd_21_22,Everton_21_22,Brighton_21_22,Brentford_21_22,Tottenham_21_22,West Ham_21_22,Aston Villa_21_22,Arsenal_21_22,Wolves_21_22,Leicester City_21_22,Crystal Palace_21_22,Watford_21_22,Leeds United_21_22,Southampton_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Manchester City_16_17,5.385164807134504,3.3166247903554,6.928203230275509,5.744562646538029,6.48074069840786,10.954451150103322,10.04987562112089,13.74772708486752,8.602325267042627,11.489125293076057,15.556349186104045,15.84297951775486,14.352700094407323,15.394804318340652,15.84297951775486,17.72004514666935,19.339079605813716,20.248456731316587,20.149441679609886,25.019992006393608
Tottenham_16_17,3.1622776601683795,6.164414002968976,3.605551275463989,4.69041575982343,5.916079783099616,5.385164807134504,6.164414002968976,10.488088481701515,9.433981132056603,9.433981132056603,12.12435565298214,11.045361017187261,13.076696830622021,13.416407864998739,13.19090595827292,16.34013463836819,16.34013463836819,17.578395831246947,19.519221295943137,22.912878474779202
Arsenal_16_17,4.123105625617661,1.7320508075688772,4.898979485566356,3.0,3.7416573867739413,8.48528137423857,7.280109889280518,11.180339887498949,6.164414002968976,8.717797887081348,12.884098726725126,13.076696830622021,11.74734012447073,12.68857754044952,13.076696830622021,15.165750888103101,16.55294535724685,17.4928556845359,17.72004514666935,22.40535650240808
Liverpool_16_17,7.615773105863909,4.242640687119285,8.306623862918075,6.0,5.744562646538029,11.357816691600547,9.797958971132712,12.649110640673518,6.4031242374328485,10.04987562112089,14.317821063276353,15.297058540778355,12.206555615733702,13.490737563232042,14.212670403551895,15.394804318340652,17.69180601295413,18.411952639521967,17.46424919657298,22.737634001804146
Everton_16_17,4.898979485566356,6.164414002968976,3.605551275463989,3.1622776601683795,3.605551275463989,3.0,2.449489742783178,7.3484692283495345,6.557438524302,5.744562646538029,8.774964387392123,7.874007874011811,9.433981132056603,9.695359714832659,9.486832980505138,12.68857754044952,12.68857754044952,13.892443989449804,15.84297951775486,19.261360284258224
Manchester Utd_16_17,6.164414002968976,4.898979485566356,5.196152422706632,2.449489742783178,1.0,5.916079783099616,3.7416573867739413,7.3484692283495345,3.0,4.358898943540674,8.774964387392123,9.16515138991168,7.54983443527075,8.366600265340756,8.717797887081348,11.0,12.206555615733702,13.152946437965905,13.74772708486752,18.138357147217054
Chelsea_16_17,7.3484692283495345,6.164414002968976,6.4031242374328485,3.7416573867739413,1.7320508075688772,5.744562646538029,3.7416573867739413,6.164414002968976,3.0,3.605551275463989,7.681145747868608,8.602325267042627,6.557438524302,7.483314773547883,7.874007874011811,9.9498743710662,11.445523142259598,12.36931687685298,12.84523257866513,17.11724276862369
Crystal Palace_16_17,8.12403840463596,7.483314773547883,6.557438524302,4.69041575982343,3.605551275463989,5.196152422706632,2.449489742783178,5.477225575051661,3.605551275463989,1.7320508075688772,6.4031242374328485,6.6332495807108,5.385164807134504,5.830951894845301,6.0,8.774964387392123,9.433981132056603,10.44030650891055,11.704699910719626,15.652475842498529
Southampton_16_17,11.045361017187261,11.661903789690601,9.1104335791443,8.602325267042627,8.06225774829855,5.196152422706632,4.242640687119285,5.0990195135927845,8.306623862918075,4.358898943540674,4.58257569495584,2.0,6.4031242374328485,5.477225575051661,4.47213595499958,8.54400374531753,6.708203932499369,8.06225774829855,11.704699910719626,13.74772708486752
West Brom_16_17,10.677078252031311,10.862780491200215,8.774964387392123,7.874007874011811,7.14142842854285,5.385164807134504,3.7416573867739413,4.69041575982343,7.0,3.0,4.358898943540674,3.1622776601683795,5.196152422706632,4.47213595499958,3.7416573867739413,7.681145747868608,6.557438524302,7.810249675906654,10.816653826391969,13.45362404707371
Watford_16_17,13.152946437965905,11.090536506409418,11.832159566199232,9.433981132056603,7.874007874011811,10.770329614269007,8.306623862918075,7.810249675906654,4.69041575982343,4.898979485566356,7.874007874011811,9.9498743710662,3.1622776601683795,4.58257569495584,5.916079783099616,5.477225575051661,8.602325267042627,8.831760866327848,7.0710678118654755,12.569805089976535
Leicester City_16_17,13.30413469565007,12.449899597988733,11.661903789690601,9.848857801796104,8.366600265340756,8.48528137423857,6.708203932499369,4.58257569495584,6.782329983125268,3.4641016151377544,3.7416573867739413,5.916079783099616,1.4142135623730951,1.0,1.7320508075688772,3.7416573867739413,5.0990195135927845,5.830951894845301,7.0710678118654755,10.488088481701515
Bournemouth_16_17,14.45683229480096,13.96424004376894,12.806248474865697,11.180339887498949,9.695359714832659,8.717797887081348,7.54983443527075,4.123105625617661,8.602325267042627,4.898979485566356,2.449489742783178,5.196152422706632,3.1622776601683795,2.23606797749979,1.7320508075688772,3.7416573867739413,4.242640687119285,5.0990195135927845,7.3484692283495345,9.486832980505138
Burnley_16_17,14.730919862656235,14.730919862656235,12.884098726725126,11.789826122551595,10.677078252031311,8.602325267042627,7.681145747868608,5.196152422706632,9.899494936611665,5.830951894845301,3.1622776601683795,3.605551275463989,5.0990195135927845,3.605551275463989,2.23606797749979,5.477225575051661,3.1622776601683795,4.47213595499958,8.602325267042627,9.695359714832659
Hull City_16_17,16.30950643030009,15.0996688705415,14.798648586948742,12.727922061357855,11.0,11.445523142259598,9.899494936611665,6.48074069840786,9.0,6.557438524302,5.385164807134504,8.48528137423857,3.0,3.1622776601683795,4.0,1.0,5.385164807134504,5.385164807134504,4.58257569495584,8.06225774829855
Middlesbrough_16_17,14.594519519326424,14.035668847618199,12.727922061357855,11.357816691600547,10.198039027185569,9.486832980505138,7.810249675906654,6.082762530298219,8.602325267042627,5.0990195135927845,4.47213595499958,5.385164807134504,3.4641016151377544,1.7320508075688772,1.0,4.0,2.8284271247461903,3.7416573867739413,6.782329983125268,9.273618495495704
Swansea City_16_17,17.4928556845359,16.673332000533065,15.652475842498529,14.142135623730951,12.84523257866513,12.36931687685298,10.770329614269007,8.246211251235321,10.816653826391969,7.810249675906654,6.4031242374328485,7.874007874011811,5.0,3.7416573867739413,3.7416573867739413,3.0,2.23606797749979,1.7320508075688772,4.58257569495584,6.4031242374328485
West Ham_16_17,19.72308292331602,17.97220075561143,18.2208671582886,16.0312195418814,14.352700094407323,15.620499351813308,13.74772708486752,10.816653826391969,11.575836902790225,10.198039027185569,9.695359714832659,12.449899597988733,6.48074069840786,6.708203932499369,7.681145747868608,3.7416573867739413,7.615773105863909,6.782329983125268,1.4142135623730951,6.782329983125268
Stoke City_16_17,20.92844953645635,19.697715603592208,19.261360284258224,17.378147196982766,15.7797338380595,15.84297951775486,14.352700094407323,10.862780491200215,13.45362404707371,11.090536506409418,9.219544457292887,11.661903789690601,7.54983443527075,7.0710678118654755,7.483314773547883,4.123105625617661,6.082762530298219,5.0,3.0,3.605551275463989
Sunderland_16_17,19.4164878389476,18.411952639521967,17.549928774784245,16.0312195418814,14.7648230602334,14.560219778561036,12.84523257866513,10.44030650891055,12.409673645990857,9.797958971132712,8.602325267042627,9.9498743710662,6.782329983125268,5.744562646538029,5.916079783099616,4.242640687119285,3.7416573867739413,2.449489742783178,3.7416573867739413,5.0990195135927845
Manchester City_17_18,7.681145747868608,7.54983443527075,9.486832980505138,10.246950765959598,11.916375287812984,15.165750888103101,14.45683229480096,19.209372712298546,13.856406460551018,16.55294535724685,20.83266665599966,20.12461179749811,19.748417658131498,20.518284528683193,20.808652046684813,23.194827009486403,24.041630560342615,25.019992006393608,25.45584412271571,30.331501776206203
Manchester Utd_17_18,6.782329983125268,6.928203230275509,8.660254037844387,9.486832980505138,11.180339887498949,14.247806848775006,13.638181696985855,18.384776310850235,13.30413469565007,15.84297951775486,20.024984394500787,19.28730152198591,19.1049731745428,19.849433241279208,20.09975124224178,22.561028345356956,23.345235059857504,24.351591323771842,24.919871588754223,29.68164415931166
Tottenham_17_18,3.0,3.3166247903554,2.0,1.0,3.1622776601683795,6.0,4.58257569495584,9.643650760992955,5.830951894845301,6.928203230275509,11.045361017187261,10.344080432788601,10.488088481701515,11.0,11.090536506409418,13.92838827718412,14.352700094407323,15.427248620541512,16.673332000533065,20.83266665599966
Chelsea_17_18,5.196152422706632,5.385164807134504,3.7416573867739413,2.23606797749979,2.449489742783178,4.242640687119285,2.23606797749979,7.280109889280518,4.898979485566356,4.69041575982343,8.602325267042627,8.06225774829855,8.366600265340756,8.774964387392123,8.774964387392123,11.74734012447073,12.083045973594572,13.19090595827292,14.696938456699069,18.547236990991408
