Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,West Ham_21_22,Manchester Utd_21_22,Arsenal_21_22,Wolves_21_22,Brighton_21_22,Tottenham_21_22,Everton_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Southampton_21_22,Aston Villa_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Tottenham_19_20,20.322401432901575,17.832554500127006,12.68857754044952,9.797958971132712,5.830951894845301,6.708203932499369,8.12403840463596,7.54983443527075,7.681145747868608,2.23606797749979,3.0,5.0,3.1622776601683795,7.681145747868608,4.898979485566356,5.385164807134504,6.6332495807108,7.874007874011811,12.36931687685298,19.209372712298546
Wolves_19_20,20.92844953645635,19.519221295943137,12.727922061357855,10.816653826391969,8.06225774829855,5.0990195135927845,5.385164807134504,4.898979485566356,5.830951894845301,4.69041575982343,4.898979485566356,1.4142135623730951,1.0,4.242640687119285,6.4031242374328485,5.477225575051661,5.385164807134504,6.557438524302,12.96148139681572,18.547236990991408
Burnley_19_20,21.37755832643195,19.339079605813716,13.45362404707371,10.770329614269007,7.0710678118654755,5.744562646538029,7.0710678118654755,6.4031242374328485,5.916079783099616,3.0,3.0,3.605551275463989,1.4142135623730951,5.916079783099616,4.47213595499958,4.123105625617661,4.898979485566356,6.48074069840786,11.704699910719626,17.916472867168917
Brighton_19_20,22.045407685048602,20.615528128088304,13.856406460551018,11.704699910719626,8.660254037844387,5.0990195135927845,5.744562646538029,5.0990195135927845,4.69041575982343,4.898979485566356,4.69041575982343,2.0,1.0,3.7416573867739413,5.744562646538029,4.47213595499958,4.123105625617661,5.744562646538029,12.083045973594572,17.378147196982766
Aston Villa_19_20,22.045407685048602,19.519221295943137,14.352700094407323,11.445523142259598,7.280109889280518,7.3484692283495345,8.774964387392123,8.12403840463596,7.211102550927978,3.1622776601683795,3.1622776601683795,5.0990195135927845,3.0,7.211102550927978,3.3166247903554,3.7416573867739413,5.196152422706632,6.4031242374328485,10.677078252031311,17.4928556845359
Everton_19_20,25.495097567963924,23.853720883753127,17.320508075688775,15.0,11.445523142259598,7.874007874011811,8.54400374531753,7.874007874011811,5.0990195135927845,7.211102550927978,6.48074069840786,4.898979485566356,4.123105625617661,4.242640687119285,5.0,2.8284271247461903,1.0,3.0,9.273618495495704,13.92838827718412
Newcastle Utd_19_20,28.284271247461902,27.331300737432898,19.949937343260004,18.24828759089466,15.264337522473747,10.198039027185569,9.9498743710662,9.486832980505138,6.782329983125268,11.224972160321824,10.488088481701515,7.3484692283495345,7.681145747868608,4.69041575982343,9.0,6.782329983125268,4.58257569495584,4.58257569495584,10.677078252031311,12.569805089976535
Southampton_19_20,32.58834147360065,29.748949561287034,25.019992006393608,21.470910553583888,16.76305461424021,15.297058540778355,17.11724276862369,16.24807680927192,11.40175425099138,12.884098726725126,11.661903789690601,13.92838827718412,12.36931687685298,13.341664064126334,8.06225774829855,7.874007874011811,8.306623862918075,9.1104335791443,4.898979485566356,8.48528137423857
Norwich City_19_20,31.464265445104548,28.372521918222215,23.958297101421877,20.46948949045872,15.652475842498529,14.89966442575134,16.64331697709324,15.811388300841896,11.489125293076057,11.74734012447073,10.677078252031311,13.038404810405298,11.357816691600547,12.806248474865697,6.557438524302,6.782329983125268,7.681145747868608,8.06225774829855,3.1622776601683795,9.486832980505138
Watford_19_20,34.132096331752024,32.155870381627054,25.98076211353316,23.452078799117146,19.390719429665317,16.0312195418814,16.673332000533065,16.0312195418814,11.874342087037917,15.066519173319364,14.035668847618199,13.379088160259652,12.727922061357855,11.532562594670797,10.488088481701515,9.1104335791443,8.12403840463596,7.3484692283495345,6.4031242374328485,5.385164807134504
Tottenham_20_21,8.774964387392123,8.12403840463596,3.3166247903554,2.449489742783178,7.483314773547883,10.63014581273465,11.224972160321824,11.357816691600547,15.132745950421556,11.090536506409418,12.206555615733702,13.076696830622021,13.038404810405298,15.905973720586866,16.431676725154983,16.822603841260722,17.4928556845359,19.131126469708992,24.186773244895647,30.675723300355934
Liverpool_20_21,15.0996688705415,11.445523142259598,11.224972160321824,6.4031242374328485,5.385164807134504,11.489125293076057,13.96424004376894,13.490737563232042,14.352700094407323,9.273618495495704,9.899494936611665,14.352700094407323,13.076696830622021,17.146428199482248,13.74772708486752,14.89966442575134,16.278820596099706,18.466185312619388,21.118712081942874,28.035691537752374
Chelsea_20_21,10.04987562112089,7.874007874011811,4.58257569495584,2.449489742783178,6.164414002968976,10.63014581273465,11.40175425099138,11.445523142259598,14.866068747318506,9.848857801796104,11.090536506409418,12.36931687685298,12.083045973594572,15.394804318340652,15.033296378372908,15.652475842498529,16.55294535724685,18.0,22.693611435820433,29.58039891549808
Manchester Utd_20_21,16.76305461424021,13.784048752090222,11.090536506409418,6.164414002968976,2.8284271247461903,8.306623862918075,11.045361017187261,10.44030650891055,10.816653826391969,5.916079783099616,6.4031242374328485,11.090536506409418,9.695359714832659,13.74772708486752,10.488088481701515,11.445523142259598,12.727922061357855,15.033296378372908,18.027756377319946,24.677925358506133
Aston Villa_20_21,13.19090595827292,10.246950765959598,7.3484692283495345,3.0,3.0,9.055385138137417,10.63014581273465,10.392304845413264,12.727922061357855,7.0710678118654755,8.246211251235321,10.862780491200215,10.04987562112089,13.92838827718412,12.206555615733702,13.038404810405298,14.177446878757825,15.84297951775486,19.8997487421324,26.90724809414742
Manchester City_20_21,13.92838827718412,13.0,6.164414002968976,3.605551275463989,4.58257569495584,5.477225575051661,6.4031242374328485,6.324555320336759,9.899494936611665,6.48074069840786,7.483314773547883,7.874007874011811,7.810249675906654,10.677078252031311,11.704699910719626,11.74734012447073,12.206555615733702,13.96424004376894,19.390719429665317,25.45584412271571
Leicester City_20_21,14.798648586948742,12.328828005937952,8.306623862918075,3.7416573867739413,1.4142135623730951,7.14142842854285,9.16515138991168,8.774964387392123,10.63014581273465,5.385164807134504,6.4031242374328485,9.433981132056603,8.48528137423857,12.36931687685298,10.677078252031311,11.357816691600547,12.409673645990857,14.352700094407323,18.466185312619388,25.15949125081825
