Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,West Ham_21_22,Tottenham_21_22,Manchester Utd_21_22,Arsenal_21_22,Wolves_21_22,Brighton_21_22,Aston Villa_21_22,Leicester City_21_22,Everton_21_22,Brentford_21_22,Crystal Palace_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Newcastle Utd_17_18,29.88310559496787,36.89173349139343,30.56141357987225,18.681541692269406,12.083045973594572,14.352700094407323,8.94427190999916,11.0,7.810249675906654,8.306623862918075,11.045361017187261,6.557438524302,5.477225575051661,5.196152422706632,1.4142135623730951,1.4142135623730951,9.433981132056603,4.123105625617661,9.899494936611665,11.916375287812984
Huddersfield_17_18,34.899856733230294,42.21374183841087,35.90264614203248,23.53720459187964,15.84297951775486,18.466185312619388,12.68857754044952,14.628738838327793,12.24744871391589,12.806248474865697,14.594519519326424,10.488088481701515,11.357816691600547,11.224972160321824,7.280109889280518,7.14142842854285,11.575836902790225,8.12403840463596,10.246950765959598,7.14142842854285
West Brom_17_18,32.0624390837628,39.319206502675,32.7566787083184,21.354156504062622,14.45683229480096,17.291616465790582,11.704699910719626,11.313708498984761,8.831760866327848,11.224972160321824,13.892443989449804,9.486832980505138,8.06225774829855,7.615773105863909,4.358898943540674,3.605551275463989,11.313708498984761,2.8284271247461903,10.723805294763608,11.180339887498949
Crystal Palace_17_18,38.17066936798463,45.17742799230607,38.91015291668744,26.92582403567252,19.79898987322333,22.045407685048602,16.673332000533065,16.76305461424021,14.730919862656235,15.84297951775486,17.60681686165901,13.601470508735444,13.638181696985855,13.152946437965905,9.695359714832659,9.38083151964686,13.0,7.280109889280518,10.295630140987,6.0
West Ham_17_18,38.92300091205713,44.01136216933077,39.26830783214372,26.13426869074396,21.213203435596427,20.09975124224178,17.146428199482248,21.97726097583591,18.894443627691185,14.45683229480096,14.352700094407323,12.206555615733702,14.352700094407323,13.892443989449804,11.832159566199232,12.569805089976535,8.18535277187245,11.090536506409418,4.47213595499958,5.0990195135927845
Swansea City_17_18,36.51027252705737,44.23799272118933,37.22902093797257,26.92582403567252,19.748417658131498,23.452078799117146,17.663521732655695,13.601470508735444,12.68857754044952,17.46424919657298,20.149441679609886,15.84297951775486,13.92838827718412,13.379088160259652,10.677078252031311,9.695359714832659,16.76305461424021,7.0,15.033296378372908,13.038404810405298
Manchester City_18_19,14.45683229480096,8.660254037844387,12.96148139681572,25.079872407968907,33.13608305156178,31.272991542223778,35.749125863438955,39.05124837953327,38.50973902793941,36.72873534441391,36.98648401781386,39.102429592034305,38.05259518088089,38.691084244306204,41.83300132670378,42.21374183841087,43.508619835614184,45.35416188179427,47.686476070265456,53.907327887774215
Liverpool_18_19,5.385164807134504,16.0312195418814,8.366600265340756,17.804493814764857,21.95449840010015,23.958297101421877,25.612496949731394,26.40075756488817,26.77685567799177,28.372521918222215,29.832867780352597,30.380915061926625,28.809720581775867,29.58039891549808,31.78049716414141,31.78049716414141,36.124783736376884,35.566838487557476,39.824615503479755,44.15880433163923
Tottenham_18_19,8.306623862918075,16.522711641858304,9.899494936611665,6.708203932499369,12.569805089976535,12.409673645990857,15.362291495737216,20.223748416156685,19.1049731745428,17.578395831246947,18.49324200890693,19.672315572906,19.026297590440446,19.87460691435179,22.22611077089287,22.58317958127243,25.15949125081825,26.551836094703507,29.086079144497972,33.97057550292606
Chelsea_18_19,5.744562646538029,13.379088160259652,6.0,7.810249675906654,15.165750888103101,14.352700094407323,17.72004514666935,21.470910553583888,20.46948949045872,19.1049731745428,20.09975124224178,21.37755832643195,20.09975124224178,20.808652046684813,23.706539182259394,24.041630560342615,26.476404589747453,27.440845468024488,30.430248109405877,35.9722114972099
Arsenal_18_19,11.874342087037917,13.152946437965905,11.224972160321824,7.280109889280518,16.792855623746664,12.083045973594572,18.0,25.15949125081825,23.173260452512935,18.138357147217054,17.72004514666935,20.46948949045872,20.54263858417414,21.236760581595302,24.289915602982237,25.019992006393608,24.515301344262525,28.30194339616981,28.809720581775867,35.185224171518364
Everton_18_19,18.138357147217054,25.98076211353316,18.973665961010276,8.306623862918075,4.69041575982343,8.12403840463596,5.830951894845301,10.04987562112089,7.681145747868608,8.06225774829855,10.954451150103322,9.643650760992955,7.483314773547883,8.306623862918075,10.488088481701515,10.677078252031311,15.652475842498529,14.45683229480096,18.81488772222678,23.108440016582687
Bournemouth_18_19,19.026297590440446,24.124676163629637,19.209372712298546,5.830951894845301,8.18535277187245,2.23606797749979,7.0,15.937377450509228,12.884098726725126,6.0,6.708203932499369,8.366600265340756,8.54400374531753,9.273618495495704,12.206555615733702,13.076696830622021,13.19090595827292,16.30950643030009,17.233687939614086,23.2163735324878
Manchester Utd_18_19,21.540659228538015,26.267851073127396,21.840329667841555,8.246211251235321,9.0,1.7320508075688772,6.708203932499369,17.08800749063506,13.784048752090222,5.0990195135927845,4.58257569495584,7.0710678118654755,8.774964387392123,9.486832980505138,11.789826122551595,12.84523257866513,11.489125293076057,16.1245154965971,15.588457268119896,21.470910553583888
Leicester City_18_19,19.261360284258224,26.627053911388696,19.949937343260004,8.660254037844387,5.0990195135927845,7.483314773547883,5.0990195135927845,10.344080432788601,7.54983443527075,6.708203932499369,9.695359714832659,8.306623862918075,6.164414002968976,7.0,9.38083151964686,9.695359714832659,14.247806848775006,13.379088160259652,17.435595774162696,21.95449840010015
Brighton_18_19,22.561028345356956,29.58039891549808,23.323807579381203,11.0,5.477225575051661,7.3484692283495345,2.449489742783178,10.63014581273465,7.14142842854285,4.123105625617661,7.483314773547883,5.0,4.0,5.0,6.48074069840786,7.0710678118654755,11.357816691600547,11.180339887498949,14.352700094407323,18.49324200890693
Watford_18_19,23.769728648009426,30.870698080866262,24.535688292770594,12.36931687685298,6.324555320336759,8.602325267042627,3.1622776601683795,10.04987562112089,6.4031242374328485,4.358898943540674,7.874007874011811,4.58257569495584,3.1622776601683795,4.123105625617661,5.0990195135927845,5.656854249492381,10.816653826391969,9.848857801796104,13.490737563232042,17.320508075688775
