Team,Chelsea_21_22,Manchester City_21_22,West Ham_21_22,Liverpool_21_22,Arsenal_21_22,Manchester Utd_21_22,Brighton_21_22,Wolves_21_22,Tottenham_21_22,Crystal Palace_21_22,Everton_21_22,Leicester City_21_22,Southampton_21_22,Brentford_21_22,Leeds United_21_22,Aston Villa_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Fulham_18_19,36.359317925395686,31.20897306865447,26.90724809414742,31.827660925679098,22.02271554554524,18.76166303929372,20.83266665599966,20.248456731316587,17.146428199482248,18.466185312619388,17.146428199482248,15.684387141358123,19.261360284258224,16.673332000533065,12.529964086141668,10.723805294763608,11.224972160321824,12.36931687685298,5.0990195135927845,6.708203932499369
Liverpool_19_20,7.3484692283495345,9.055385138137417,9.16515138991168,11.0,16.76305461424021,17.204650534085253,19.339079605813716,20.73644135332772,23.021728866442675,19.519221295943137,19.6468827043885,20.445048300260872,22.869193252058544,23.021728866442675,26.019223662515376,26.13426869074396,26.645825188948457,28.089143810376278,32.71085446759225,36.945906403822335
Manchester City_19_20,9.273618495495704,12.806248474865697,11.575836902790225,4.358898943540674,21.79449471770337,18.384776310850235,23.49468024894146,24.779023386727733,27.23967694375247,21.840329667841555,21.447610589527216,22.090722034374522,26.476404589747453,25.019992006393608,28.089143810376278,26.92582403567252,28.106938645110393,29.444863728670914,32.863353450309965,38.691084244306204
Leicester City_19_20,5.0,5.385164807134504,6.4031242374328485,5.0990195135927845,15.165750888103101,13.45362404707371,16.64331697709324,17.916472867168917,20.904544960366874,15.620499351813308,15.7797338380595,16.881943016134134,19.6468827043885,18.788294228055936,22.360679774997898,21.95449840010015,22.693611435820433,23.706539182259394,28.372521918222215,33.645207682521445
Chelsea_19_20,13.490737563232042,11.40175425099138,4.47213595499958,8.54400374531753,13.0,8.48528137423857,15.165750888103101,16.431676725154983,17.4928556845359,13.152946437965905,12.083045973594572,12.083045973594572,18.193405398660254,16.55294535724685,18.466185312619388,17.291616465790582,18.49324200890693,20.518284528683193,23.280893453645632,28.372521918222215
Arsenal_19_20,17.97220075561143,12.36931687685298,9.433981132056603,16.30950643030009,4.69041575982343,3.605551275463989,5.0,5.916079783099616,7.14142842854285,2.449489742783178,2.23606797749979,3.605551275463989,7.3484692283495345,5.916079783099616,8.366600265340756,8.831760866327848,9.0,10.488088481701515,15.524174696260024,19.6468827043885
Sheffield Utd_19_20,18.466185312619388,12.36931687685298,13.96424004376894,20.149441679609886,6.48074069840786,11.445523142259598,4.123105625617661,4.123105625617661,8.54400374531753,6.782329983125268,9.0,10.816653826391969,4.898979485566356,7.280109889280518,11.224972160321824,13.564659966250536,12.529964086141668,12.083045973594572,19.4164878389476,22.22611077089287
Bournemouth_19_20,18.708286933869708,12.727922061357855,11.40175425099138,18.138357147217054,4.123105625617661,6.48074069840786,2.449489742783178,3.1622776601683795,5.830951894845301,1.7320508075688772,3.7416573867739413,5.477225575051661,4.58257569495584,4.242640687119285,7.681145747868608,9.219544457292887,8.717797887081348,9.433981132056603,15.684387141358123,19.261360284258224
Brighton_19_20,19.748417658131498,13.856406460551018,12.083045973594572,18.627936010197157,5.196152422706632,6.164414002968976,3.4641016151377544,3.7416573867739413,5.477225575051661,1.0,2.8284271247461903,4.47213595499958,4.58257569495584,3.1622776601683795,6.4031242374328485,7.810249675906654,7.3484692283495345,8.18535277187245,14.2828568570857,18.027756377319946
Crystal Palace_19_20,22.58317958127243,16.492422502470642,15.297058540778355,22.338307903688676,5.916079783099616,9.695359714832659,3.4641016151377544,2.449489742783178,2.449489742783178,5.0,6.324555320336759,7.211102550927978,2.23606797749979,4.242640687119285,5.744562646538029,8.774964387392123,7.3484692283495345,7.681145747868608,14.2828568570857,16.401219466856727
Manchester Utd_19_20,20.346989949375804,14.352700094407323,14.2828568570857,20.12461179749811,7.280109889280518,9.38083151964686,4.242640687119285,3.7416573867739413,7.0710678118654755,4.123105625617661,6.164414002968976,7.874007874011811,3.3166247903554,3.1622776601683795,7.54983443527075,9.539392014169456,8.602325267042627,8.06225774829855,15.297058540778355,18.788294228055936
Tottenham_19_20,20.322401432901575,15.0,12.041594578792296,17.378147196982766,8.602325267042627,4.58257569495584,7.54983443527075,7.810249675906654,8.54400374531753,3.4641016151377544,2.23606797749979,3.0,8.12403840463596,4.58257569495584,6.6332495807108,5.830951894845301,6.557438524302,7.874007874011811,12.36931687685298,17.549928774784245
Wolves_19_20,20.92844953645635,15.0996688705415,13.490737563232042,19.467922333931785,7.14142842854285,7.0710678118654755,4.898979485566356,4.69041575982343,6.164414002968976,2.23606797749979,3.4641016151377544,4.898979485566356,4.58257569495584,1.4142135623730951,5.385164807134504,6.708203932499369,6.164414002968976,6.557438524302,12.96148139681572,17.0
West Ham_19_20,22.516660498395403,16.881943016134134,14.035668847618199,20.149441679609886,8.12403840463596,6.4031242374328485,6.708203932499369,6.557438524302,5.916079783099616,3.7416573867739413,3.0,3.0,6.48074069840786,3.3166247903554,3.7416573867739413,4.242640687119285,4.123105625617661,5.830951894845301,10.816653826391969,15.033296378372908
Burnley_19_20,23.68543856465402,18.138357147217054,15.066519173319364,20.92844953645635,9.486832980505138,7.14142842854285,8.06225774829855,7.810249675906654,6.708203932499369,5.0990195135927845,4.123105625617661,3.605551275463989,7.483314773547883,4.123105625617661,3.1622776601683795,2.8284271247461903,3.0,5.0990195135927845,9.433981132056603,13.92838827718412
Newcastle Utd_19_20,26.248809496813376,20.273134932713294,18.24828759089466,24.899799195977465,9.797958971132712,11.180339887498949,7.681145747868608,6.708203932499369,4.123105625617661,7.3484692283495345,7.681145747868608,7.681145747868608,5.477225575051661,5.0,2.449489742783178,6.164414002968976,4.123105625617661,4.47213595499958,10.344080432788601,12.083045973594572
Aston Villa_19_20,23.280893453645632,18.0,14.7648230602334,19.87460691435179,10.723805294763608,6.782329983125268,9.38083151964686,9.273618495495704,8.831760866327848,5.744562646538029,4.47213595499958,4.0,9.0,5.0990195135927845,5.0,3.0,4.242640687119285,5.916079783099616,9.38083151964686,14.866068747318506
