Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,Manchester Utd_21_22,West Ham_21_22,Everton_21_22,Brentford_21_22,Wolves_21_22,Leicester City_21_22,Arsenal_21_22,Aston Villa_21_22,Crystal Palace_21_22,Southampton_21_22,Watford_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Bournemouth_18_19,9.486832980505138,8.717797887081348,9.055385138137417,10.677078252031311,7.0710678118654755,2.8284271247461903,3.0,4.69041575982343,8.774964387392123,9.797958971132712,6.164414002968976,10.295630140987,7.211102550927978,10.04987562112089,13.601470508735444,13.076696830622021,13.784048752090222,17.05872210923198,15.937377450509228,20.199009876724155
Wolves_18_19,8.602325267042627,13.341664064126334,7.874007874011811,1.4142135623730951,6.0,8.12403840463596,7.280109889280518,5.0990195135927845,3.3166247903554,3.7416573867739413,9.797958971132712,7.483314773547883,8.366600265340756,9.9498743710662,9.433981132056603,12.206555615733702,12.884098726725126,14.45683229480096,17.72004514666935,17.832554500127006
Manchester Utd_18_19,12.884098726725126,13.038404810405298,12.083045973594572,10.488088481701515,4.898979485566356,5.0990195135927845,4.58257569495584,5.0990195135927845,7.681145747868608,7.874007874011811,2.0,6.6332495807108,3.7416573867739413,5.916079783099616,10.04987562112089,8.54400374531753,9.273618495495704,12.84523257866513,11.575836902790225,15.684387141358123
Watford_18_19,11.916375287812984,13.490737563232042,11.045361017187261,7.874007874011811,2.8284271247461903,5.477225575051661,4.58257569495584,3.7416573867739413,5.196152422706632,5.0990195135927845,3.4641016151377544,4.47213595499958,3.1622776601683795,5.196152422706632,8.06225774829855,7.810249675906654,8.602325267042627,11.704699910719626,12.24744871391589,14.7648230602334
Leicester City_18_19,11.575836902790225,11.661903789690601,10.488088481701515,9.695359714832659,5.830951894845301,3.4641016151377544,3.0,3.7416573867739413,6.4031242374328485,7.211102550927978,2.449489742783178,7.0710678118654755,2.8284271247461903,5.744562646538029,9.643650760992955,9.1104335791443,9.695359714832659,12.767145334803704,12.083045973594572,16.1245154965971
Everton_18_19,11.789826122551595,12.36931687685298,10.723805294763608,9.1104335791443,5.0,4.123105625617661,3.4641016151377544,3.605551275463989,5.830951894845301,6.4031242374328485,2.23606797749979,6.082762530298219,2.23606797749979,5.0990195135927845,8.831760866327848,8.366600265340756,9.0,12.083045973594572,11.789826122551595,15.394804318340652
Burnley_18_19,15.427248620541512,16.73320053068151,14.071247279470288,10.099504938362077,7.0710678118654755,8.717797887081348,8.06225774829855,7.3484692283495345,6.4031242374328485,6.0,4.69041575982343,4.242640687119285,2.8284271247461903,1.0,4.58257569495584,4.358898943540674,4.69041575982343,7.14142842854285,8.602325267042627,10.770329614269007
Brighton_18_19,16.431676725154983,17.832554500127006,15.165750888103101,10.677078252031311,7.0710678118654755,9.695359714832659,9.0,8.246211251235321,7.280109889280518,6.48074069840786,5.0990195135927845,3.7416573867739413,3.7416573867739413,1.0,4.358898943540674,3.0,3.4641016151377544,6.4031242374328485,7.874007874011811,9.695359714832659
Crystal Palace_18_19,17.349351572897472,20.46948949045872,16.0312195418814,9.433981132056603,9.433981132056603,13.076696830622021,12.24744871391589,10.63014581273465,7.3484692283495345,5.916079783099616,10.246950765959598,5.385164807134504,8.18535277187245,6.48074069840786,1.4142135623730951,6.324555320336759,6.4031242374328485,5.656854249492381,11.874342087037917,9.1104335791443
West Ham_18_19,17.549928774784245,19.131126469708992,16.24807680927192,11.313708498984761,8.12403840463596,11.045361017187261,10.344080432788601,9.486832980505138,8.06225774829855,7.0710678118654755,6.48074069840786,4.242640687119285,5.0990195135927845,2.23606797749979,3.605551275463989,2.23606797749979,2.449489742783178,5.0,7.483314773547883,8.366600265340756
Southampton_18_19,20.42057785666214,22.11334438749598,19.1049731745428,13.601470508735444,10.63014581273465,14.035668847618199,13.341664064126334,12.449899597988733,10.677078252031311,9.433981132056603,9.219544457292887,6.4031242374328485,8.06225774829855,5.0990195135927845,4.47213595499958,2.449489742783178,1.7320508075688772,2.449489742783178,6.708203932499369,5.385164807134504
Fulham_18_19,23.853720883753127,23.727621035409346,22.737634001804146,18.894443627691185,13.45362404707371,15.84297951775486,15.427248620541512,15.524174696260024,15.684387141358123,14.798648586948742,10.04987562112089,11.0,10.723805294763608,8.602325267042627,11.575836902790225,6.6332495807108,6.4031242374328485,9.16515138991168,3.0,9.1104335791443
Huddersfield_18_19,24.413111231467404,25.88435821108957,23.15167380558045,17.435595774162696,13.92838827718412,17.72004514666935,17.05872210923198,16.30950643030009,14.730919862656235,13.341664064126334,12.409673645990857,9.899494936611665,11.74734012447073,8.774964387392123,8.306623862918075,5.385164807134504,4.69041575982343,4.123105625617661,6.324555320336759,2.449489742783178
Newcastle Utd_18_19,22.11334438749598,23.68543856465402,20.615528128088304,15.394804318340652,13.379088160259652,15.905973720586866,15.297058540778355,14.45683229480096,12.328828005937952,11.357816691600547,11.445523142259598,9.1104335791443,10.04987562112089,7.211102550927978,5.830951894845301,5.477225575051661,4.58257569495584,1.4142135623730951,7.280109889280518,5.0
Cardiff City_18_19,25.079872407968907,26.476404589747453,23.769728648009426,18.138357147217054,14.798648586948742,18.35755975068582,17.72004514666935,17.0,15.362291495737216,14.035668847618199,13.076696830622021,10.723805294763608,12.36931687685298,9.38083151964686,8.831760866327848,6.164414002968976,5.385164807134504,4.242640687119285,6.4031242374328485,2.23606797749979
Liverpool_19_20,7.0710678118654755,6.324555320336759,8.602325267042627,15.033296378372908,15.427248620541512,11.489125293076057,11.874342087037917,12.569805089976535,15.652475842498529,17.08800749063506,16.792855623746664,19.339079605813716,17.204650534085253,20.12461179749811,22.38302928559939,23.2163735324878,23.958297101421877,26.739483914241877,26.645825188948457,30.133038346638727
Manchester City_19_20,12.884098726725126,6.164414002968976,12.569805089976535,19.44222209522358,18.275666882497067,11.224972160321824,12.206555615733702,14.142135623730951,17.578395831246947,19.44222209522358,15.684387141358123,20.83266665599966,16.431676725154983,19.209372712298546,22.869193252058544,22.737634001804146,23.15167380558045,25.865034312755125,23.62202362203543,29.49576240750525
