Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,Arsenal_21_22,Manchester Utd_21_22,West Ham_21_22,Wolves_21_22,Leicester City_21_22,Brighton_21_22,Aston Villa_21_22,Crystal Palace_21_22,Brentford_21_22,Southampton_21_22,Everton_21_22,Leeds United_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Everton_19_20,40.01249804748511,39.74921382870358,31.796226191169293,16.911534525287763,15.937377450509228,15.905973720586866,14.352700094407323,17.60681686165901,13.152946437965905,12.449899597988733,5.0990195135927845,4.58257569495584,4.242640687119285,1.7320508075688772,4.242640687119285,7.874007874011811,9.433981132056603,8.306623862918075,15.132745950421556,18.027756377319946
West Ham_19_20,40.52159917870962,40.11234224026316,32.341923257592455,17.46424919657298,16.34013463836819,16.1245154965971,14.730919862656235,18.466185312619388,12.884098726725126,13.341664064126334,5.385164807134504,5.0990195135927845,5.196152422706632,2.449489742783178,3.605551275463989,7.0,8.717797887081348,8.602325267042627,14.352700094407323,17.4928556845359
Southampton_19_20,44.598206241955516,43.05810028322197,36.72873534441391,22.759613353482084,20.688160865577203,19.261360284258224,18.708286933869708,25.337718918639855,12.84523257866513,20.322401432901575,10.295630140987,10.63014581273465,12.165525060596439,9.433981132056603,5.477225575051661,3.7416573867739413,5.196152422706632,12.68857754044952,9.433981132056603,15.394804318340652
Aston Villa_19_20,42.62628297189423,40.93897898091744,34.56877203488721,22.22611077089287,19.949937343260004,18.466185312619388,16.911534525287763,24.124676163629637,12.206555615733702,18.841443681416774,8.602325267042627,7.810249675906654,9.899494936611665,8.660254037844387,4.242640687119285,6.782329983125268,4.123105625617661,10.44030650891055,11.180339887498949,17.804493814764857
Norwich City_19_20,49.3254498205541,47.81213235152768,41.24318125460256,27.313000567495326,25.69046515733026,24.55605831561735,23.366642891095847,27.09243436828813,18.138357147217054,22.561028345356956,14.352700094407323,13.74772708486752,14.560219778561036,12.041594578792296,9.486832980505138,4.242640687119285,3.3166247903554,10.44030650891055,4.58257569495584,11.357816691600547
Watford_19_20,51.40038910358559,51.487862647424,43.12771730569565,27.0,27.147743920996454,27.53179979587241,26.095976701399778,22.293496809607955,23.874672772626646,19.390719429665317,16.881943016134134,16.06237840420901,14.594519519326424,12.0,13.892443989449804,9.0,11.74734012447073,7.0710678118654755,11.575836902790225,7.874007874011811
Manchester City_20_21,14.866068747318506,19.339079605813716,8.06225774829855,11.74734012447073,12.328828005937952,14.798648586948742,14.89966442575134,22.22611077089287,23.853720883753127,20.42057785666214,23.021728866442675,23.853720883753127,23.83275057562597,26.324893162176366,28.035691537752374,34.38022687534217,35.14256678161116,33.12099032335839,41.677331968349414,44.598206241955516
Manchester Utd_20_21,19.339079605813716,18.788294228055936,13.038404810405298,12.36931687685298,8.660254037844387,7.483314773547883,9.848857801796104,26.1725046566048,15.297058540778355,22.22611077089287,18.466185312619388,19.949937343260004,21.42428528562855,23.021728866442675,22.561028345356956,29.0,29.393876913398138,30.95157508108432,35.6931365951495,40.3732584763727
Leicester City_20_21,18.601075237738275,19.0,11.224972160321824,10.246950765959598,7.0,7.0710678118654755,8.18535277187245,23.430749027719962,15.748015748023622,19.6468827043885,17.291616465790582,18.49324200890693,19.621416870348583,21.6794833886788,21.840329667841555,28.478061731796284,28.809720581775867,29.223278392404914,35.35533905932738,39.67366884975475
Liverpool_20_21,17.11724276862369,15.937377450509228,10.04987562112089,14.071247279470288,10.392304845413264,9.1104335791443,9.695359714832659,26.570660511172846,16.15549442140351,22.561028345356956,19.026297590440446,20.024984394500787,21.633307652783937,23.853720883753127,23.280893453645632,30.166206257996713,29.8496231131986,31.0,36.565010597564445,41.72529209005013
Tottenham_20_21,17.4928556845359,18.894443627691185,9.273618495495704,10.44030650891055,8.54400374531753,9.695359714832659,9.1104335791443,21.748563170931547,18.0,18.384776310850235,17.97220075561143,18.708286933869708,19.4164878389476,22.045407685048602,22.825424421026653,29.58039891549808,29.698484809834994,28.809720581775867,36.46916505762094,40.47221268969612
Everton_20_21,22.693611435820433,23.53720459187964,15.0,6.324555320336759,2.449489742783178,4.58257569495584,5.477225575051661,19.595917942265423,13.74772708486752,15.524174696260024,13.490737563232042,14.798648586948742,15.556349186104045,17.46424919657298,18.2208671582886,24.61706725018234,25.39685019840059,25.199206336708304,31.796226191169293,35.482389998420345
Aston Villa_20_21,22.135943621178654,21.656407827707714,14.071247279470288,10.816653826391969,7.0,6.164414002968976,4.358898943540674,21.563858652847824,12.806248474865697,17.029386365926403,13.379088160259652,14.071247279470288,15.524174696260024,18.05547008526779,17.916472867168917,24.879710609249457,24.535688292770594,24.779023386727733,31.400636936215164,36.193922141707716
Chelsea_20_21,22.135943621178654,21.656407827707714,14.071247279470288,10.816653826391969,7.0,6.164414002968976,4.358898943540674,21.563858652847824,12.806248474865697,17.029386365926403,13.379088160259652,14.071247279470288,15.524174696260024,18.05547008526779,17.916472867168917,24.879710609249457,24.535688292770594,24.779023386727733,31.400636936215164,36.193922141707716
Southampton_20_21,26.324893162176366,27.49545416973504,18.193405398660254,5.0990195135927845,3.7416573867739413,6.708203932499369,5.0990195135927845,15.297058540778355,13.601470508735444,10.723805294763608,10.099504938362077,11.0,11.045361017187261,13.379088160259652,15.165750888103101,21.400934559032695,22.293496809607955,20.615528128088304,28.722813232690143,31.76476034853718
West Ham_20_21,27.018512172212592,28.372521918222215,18.920887928424502,4.58257569495584,4.123105625617661,7.3484692283495345,5.916079783099616,14.45683229480096,14.0,9.899494936611665,9.9498743710662,10.862780491200215,10.63014581273465,12.884098726725126,15.0,21.047565179849187,22.135943621178654,20.149441679609886,28.460498941515414,31.20897306865447
Arsenal_20_21,32.802438933713454,34.713109915419565,24.61706725018234,9.539392014169456,11.357816691600547,14.071247279470288,11.874342087037917,8.660254037844387,17.832554500127006,3.1622776601683795,10.04987562112089,9.797958971132712,7.280109889280518,9.899494936611665,14.247806848775006,18.894443627691185,20.346989949375804,14.966629547095765,26.153393661244042,27.202941017470888
