Team,Chelsea_21_22,Liverpool_21_22,Manchester City_21_22,West Ham_21_22,Brighton_21_22,Tottenham_21_22,Everton_21_22,Manchester Utd_21_22,Leicester City_21_22,Arsenal_21_22,Wolves_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Crystal Palace_21_22,Southampton_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Crystal Palace_16_17,17.97220075561143,19.0,14.45683229480096,7.483314773547883,5.830951894845301,5.0990195135927845,4.69041575982343,5.830951894845301,5.196152422706632,3.7416573867739413,4.69041575982343,3.3166247903554,3.3166247903554,5.0990195135927845,3.0,5.0,6.928203230275509,9.1104335791443,10.677078252031311,17.378147196982766
Leicester City_16_17,20.223748416156685,20.904544960366874,16.822603841260722,9.273618495495704,7.483314773547883,4.898979485566356,5.0990195135927845,5.830951894845301,5.0,3.7416573867739413,6.6332495807108,6.082762530298219,2.23606797749979,2.449489742783178,2.23606797749979,5.196152422706632,5.0990195135927845,8.06225774829855,8.602325267042627,15.033296378372908
West Brom_16_17,19.026297590440446,20.639767440550294,15.362291495737216,9.219544457292887,5.196152422706632,5.916079783099616,7.54983443527075,8.774964387392123,8.12403840463596,5.0,3.3166247903554,2.449489742783178,5.830951894845301,7.280109889280518,4.242640687119285,3.4641016151377544,7.0,8.366600265340756,11.704699910719626,17.233687939614086
Burnley_16_17,21.656407827707714,23.043437243605826,18.027756377319946,11.045361017187261,6.48074069840786,5.0990195135927845,8.12403840463596,9.16515138991168,8.306623862918075,4.47213595499958,5.0990195135927845,5.385164807134504,5.385164807134504,5.656854249492381,3.3166247903554,2.23606797749979,4.242640687119285,6.4031242374328485,9.695359714832659,14.142135623730951
West Ham_16_17,22.561028345356956,23.043437243605826,19.209372712298546,11.575836902790225,9.486832980505138,6.48074069840786,7.0710678118654755,7.483314773547883,6.708203932499369,5.656854249492381,8.602325267042627,8.306623862918075,3.605551275463989,2.0,3.3166247903554,5.744562646538029,3.7416573867739413,7.0,6.782329983125268,12.806248474865697
Stoke City_16_17,23.108440016582687,23.83275057562597,19.6468827043885,12.206555615733702,9.219544457292887,6.708203932499369,8.06225774829855,8.660254037844387,7.874007874011811,5.916079783099616,8.06225774829855,7.874007874011811,4.242640687119285,3.3166247903554,2.8284271247461903,4.242640687119285,2.23606797749979,5.477225575051661,6.708203932499369,12.12435565298214
Middlesbrough_16_17,23.345235059857504,24.919871588754223,19.672315572906,13.490737563232042,8.48528137423857,8.48528137423857,11.045361017187261,12.083045973594572,11.357816691600547,7.874007874011811,6.6332495807108,6.708203932499369,7.810249675906654,8.366600265340756,5.385164807134504,1.7320508075688772,5.0990195135927845,5.0,10.295630140987,13.92838827718412
Hull City_16_17,28.478061731796284,28.513154858766505,25.238858928247925,17.549928774784245,15.297058540778355,12.083045973594572,12.727922061357855,12.727922061357855,12.12435565298214,11.575836902790225,14.352700094407323,14.247806848775006,9.1104335791443,7.0710678118654755,8.774964387392123,10.04987562112089,6.0,7.681145747868608,4.69041575982343,7.874007874011811
Swansea City_16_17,25.65151067676132,26.419689627245813,22.135943621178654,15.264337522473747,11.704699910719626,10.246950765959598,11.445523142259598,12.041594578792296,11.40175425099138,9.433981132056603,10.04987562112089,9.695359714832659,7.0710678118654755,6.708203932499369,5.0990195135927845,4.242640687119285,2.23606797749979,1.4142135623730951,5.916079783099616,10.44030650891055
Sunderland_16_17,29.29163703175362,30.033314835362415,25.768197453450252,19.0,15.066519173319364,13.674794331177344,15.132745950421556,15.652475842498529,15.033296378372908,13.0,13.379088160259652,13.19090595827292,10.677078252031311,10.04987562112089,8.831760866327848,7.483314773547883,5.385164807134504,2.449489742783178,6.708203932499369,8.06225774829855
Manchester City_17_18,9.539392014169456,6.708203932499369,13.0,18.867962264113206,25.573423705088842,26.645825188948457,22.58317958127243,22.315913604421397,23.043437243605826,26.19160170741759,26.419689627245813,25.199206336708304,26.589471600616662,28.178005607210743,28.231188426986208,30.479501308256342,32.31098884280702,34.45286635390443,33.734255586866,42.30839160261236
Manchester Utd_17_18,2.449489742783178,5.477225575051661,2.0,9.0,14.798648586948742,16.583123951777,13.601470508735444,13.892443989449804,14.352700094407323,16.15549442140351,15.588457268119896,14.491376746189438,17.378147196982766,19.209372712298546,18.49324200890693,20.09975124224178,22.561028345356956,24.535688292770594,25.15949125081825,32.93933818400121
Tottenham_17_18,5.385164807134504,8.06225774829855,2.23606797749979,5.830951894845301,11.575836902790225,13.19090595827292,10.770329614269007,11.224972160321824,11.532562594670797,12.884098726725126,12.569805089976535,11.704699910719626,14.730919862656235,16.431676725154983,15.7797338380595,17.349351572897472,19.748417658131498,21.93171219946131,22.715633383201094,30.033314835362415
Chelsea_17_18,11.0,11.874342087037917,7.810249675906654,1.4142135623730951,8.12403840463596,8.602325267042627,4.898979485566356,5.477225575051661,5.744562646538029,7.874007874011811,8.602325267042627,7.280109889280518,8.774964387392123,10.488088481701515,10.04987562112089,12.206555615733702,14.071247279470288,16.401219466856727,16.73320053068151,24.289915602982237
Arsenal_17_18,12.36931687685298,12.68857754044952,9.433981132056603,2.449489742783178,8.602325267042627,8.12403840463596,3.4641016151377544,3.7416573867739413,4.123105625617661,7.3484692283495345,9.055385138137417,7.810249675906654,7.810249675906654,9.273618495495704,9.433981132056603,12.041594578792296,13.341664064126334,15.905973720586866,15.620499351813308,23.280893453645632
Watford_17_18,17.578395831246947,17.349351572897472,14.798648586948742,7.3484692283495345,10.0,7.211102550927978,3.1622776601683795,2.449489742783178,2.23606797749979,6.48074069840786,10.198039027185569,9.433981132056603,5.744562646538029,5.830951894845301,7.810249675906654,11.090536506409418,10.677078252031311,13.74772708486752,12.083045973594572,19.339079605813716
Newcastle Utd_17_18,16.06237840420901,18.49324200890693,12.328828005937952,7.0,1.7320508075688772,5.196152422706632,7.810249675906654,9.219544457292887,8.602325267042627,5.0,1.7320508075688772,2.449489742783178,8.602325267042627,10.04987562112089,7.874007874011811,7.483314773547883,10.816653826391969,12.569805089976535,15.652475842498529,20.808652046684813
