Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Arsenal_21_22,Manchester Utd_21_22,Tottenham_21_22,West Ham_21_22,Wolves_21_22,Brighton_21_22,Southampton_21_22,Aston Villa_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Leeds United_21_22,Everton_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22,Watford_21_22
Aston Villa_19_20,52.92447448959697,49.26459174701441,38.06573262134856,27.80287754891569,22.847319317591726,21.494185260204677,23.194827009486403,31.906112267087632,24.041630560342615,10.0,9.643650760992955,9.486832980505138,9.9498743710662,6.782329983125268,3.0,4.123105625617661,4.123105625617661,17.11724276862369,15.937377450509228,9.273618495495704
Bournemouth_19_20,55.47972602672079,53.38539126015655,39.698866482558415,28.982753492378876,25.98076211353316,22.516660498395403,27.477263328068172,25.514701644346147,19.05255888325765,12.041594578792296,13.038404810405298,19.672315572906,13.038404810405298,7.0,12.569805089976535,9.16515138991168,9.486832980505138,7.0710678118654755,12.041594578792296,9.1104335791443
Norwich City_19_20,59.87486951969081,56.57738063926254,44.57577817604534,33.98529093593286,29.597297173897484,27.27636339397171,30.331501776206203,34.46737587922817,27.27636339397171,15.427248620541512,15.652475842498529,17.320508075688775,15.652475842498529,9.695359714832659,7.280109889280518,8.660254037844387,4.58257569495584,16.401219466856727,9.055385138137417,2.8284271247461903
Manchester City_20_21,9.848857801796104,15.0,9.848857801796104,19.1049731745428,23.790754506740637,26.645825188948457,23.874672772626646,29.832867780352597,30.364452901377952,37.389838191679836,37.21558813185679,39.97499218261337,37.69615364994153,43.31281565541543,47.80167361086848,44.28317965096906,48.63126566315131,44.034077712607996,57.82732917920384,53.04714883949938
Manchester Utd_20_21,20.8806130178211,16.673332000533065,12.409673645990857,13.92838827718412,13.45362404707371,19.0,11.357816691600547,31.89043743820395,27.730849247724095,26.92582403567252,26.153393661244042,25.238858928247925,26.720778431774775,32.817678162843876,34.9857113690718,32.71085446759225,36.71511950137164,37.54996671103717,47.59201613716318,41.773197148410844
Leicester City_20_21,23.93741840717165,23.259406699226016,9.9498743710662,3.3166247903554,7.483314773547883,10.770329614269007,8.717797887081348,20.591260281974,17.320508075688775,21.118712081942874,21.0,24.166091947189145,21.748563170931547,27.16615541441225,31.38470965295043,28.053520278211074,32.264531609803356,29.478805945967352,41.737273509418415,36.932370625238775
Liverpool_20_21,25.199206336708304,21.840329667841555,11.874342087037917,8.774964387392123,7.3484692283495345,13.19090595827292,4.69041575982343,26.115129714401192,21.118712081942874,20.445048300260872,19.672315572906,20.346989949375804,20.12461179749811,26.343879744638983,29.444863728670914,26.476404589747453,30.773365106858236,30.479501308256342,41.44876355212541,35.52463933666322
Chelsea_20_21,26.70205984563738,25.553864678361276,11.180339887498949,4.123105625617661,7.0710678118654755,9.899494936611665,7.874007874011811,18.49324200890693,14.352700094407323,18.601075237738275,18.35755975068582,22.494443758403985,18.788294228055936,24.413111231467404,29.34280150224242,25.39685019840059,29.88310559496787,25.98076211353316,39.293765408777,34.08812109811862
West Ham_20_21,31.0,30.01666203960727,16.401219466856727,4.123105625617661,4.242640687119285,4.242640687119285,7.874007874011811,17.146428199482248,11.916375287812984,14.491376746189438,14.730919862656235,19.44222209522358,15.7797338380595,20.493901531919196,25.079872407968907,21.656407827707714,25.709920264364882,23.043437243605826,34.75629439396553,30.364452901377952
Everton_20_21,34.07345007480164,31.89043743820395,19.87460691435179,8.660254037844387,3.4641016151377544,4.898979485566356,6.324555320336759,21.2602916254693,14.696938456699069,11.224972160321824,11.180339887498949,14.2828568570857,12.529964086141668,17.378147196982766,20.71231517720798,17.97220075561143,21.840329667841555,22.38302928559939,31.78049716414141,26.981475126464083
Aston Villa_20_21,30.14962686336267,28.337254630609507,14.45683229480096,6.082762530298219,5.830951894845301,8.366600265340756,6.48074069840786,18.384776310850235,12.727922061357855,15.0996688705415,14.730919862656235,19.235384061671343,15.066519173319364,20.83266665599966,25.865034312755125,21.748563170931547,26.324893162176366,22.825424421026653,35.91656999213594,30.430248109405877
Tottenham_20_21,30.380915061926625,28.930952282978865,14.594519519326424,6.082762530298219,6.782329983125268,8.366600265340756,7.874007874011811,17.029386365926403,11.575836902790225,15.297058540778355,15.066519173319364,20.149441679609886,15.394804318340652,20.92844953645635,26.28687885618983,22.02271554554524,26.589471600616662,22.293496809607955,35.86084215408221,30.56141357987225
Leeds United_20_21,40.422765862815474,35.91656999213594,27.49545416973504,19.28730152198591,13.379088160259652,15.84297951775486,12.12435565298214,31.796226191169293,24.228082879171435,13.152946437965905,11.916375287812984,5.916079783099616,12.727922061357855,17.11724276862369,16.30950643030009,15.748015748023622,18.708286933869708,25.96150997149434,30.28200785945344,24.06241883103193
Arsenal_20_21,39.25557285278104,38.79432948254165,23.558437978779494,14.52583904633395,15.0996688705415,12.0,17.204650534085253,10.392304845413264,2.8284271247461903,13.490737563232042,14.177446878757825,22.715633383201094,14.317821063276353,17.029386365926403,24.351591323771842,19.261360284258224,23.345235059857504,13.892443989449804,29.899832775452108,25.92296279363144
Southampton_20_21,45.09988913511872,42.23742416388575,30.364452901377952,19.339079605813716,14.594519519326424,12.84523257866513,15.7797338380595,25.079872407968907,17.233687939614086,3.3166247903554,3.7416573867739413,8.306623862918075,6.0,7.280109889280518,9.695359714832659,7.3484692283495345,10.677078252031311,16.186414056238647,21.18962010041709,16.15549442140351
Crystal Palace_20_21,46.82947789587238,44.41846462902562,32.046840717924134,20.46948949045872,16.24807680927192,13.416407864998739,18.0,24.166091947189145,16.61324772583615,3.7416573867739413,5.385164807134504,10.954451150103322,7.54983443527075,6.164414002968976,9.219544457292887,7.14142842854285,9.643650760992955,14.730919862656235,19.026297590440446,15.0996688705415
Wolves_20_21,47.042533945356304,45.70557952810576,31.416556144810016,20.46948949045872,18.439088914585774,14.422205101855956,20.591260281974,17.320508075688775,10.198039027185569,7.874007874011811,9.433981132056603,18.439088914585774,10.04987562112089,8.602325267042627,16.0312195418814,11.445523142259598,14.45683229480096,7.54983443527075,20.149441679609886,16.97056274847714
