Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Brighton_21_22,Manchester City_21_22,Everton_21_22,Tottenham_21_22,West Ham_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Leicester City_21_22,Arsenal_21_22,Crystal Palace_21_22,Southampton_21_22,Wolves_21_22,Leeds United_21_22,Newcastle Utd_21_22,Burnley_21_22,Norwich City_21_22
Manchester Utd_17_18,4.123105625617661,4.123105625617661,3.605551275463989,9.273618495495704,5.916079783099616,8.366600265340756,14.177446878757825,8.660254037844387,12.083045973594572,11.180339887498949,13.601470508735444,14.352700094407323,17.146428199482248,14.866068747318506,15.524174696260024,17.46424919657298,17.916472867168917,18.49324200890693,19.026297590440446,22.561028345356956
Chelsea_17_18,6.4031242374328485,6.4031242374328485,5.916079783099616,2.449489742783178,5.0,2.8284271247461903,5.196152422706632,4.123105625617661,4.69041575982343,3.605551275463989,5.385164807134504,5.830951894845301,8.246211251235321,6.557438524302,7.280109889280518,9.219544457292887,10.344080432788601,11.489125293076057,11.045361017187261,14.730919862656235
Newcastle Utd_17_18,7.810249675906654,7.810249675906654,8.06225774829855,3.1622776601683795,5.916079783099616,5.0990195135927845,3.605551275463989,5.916079783099616,2.449489742783178,4.123105625617661,5.0,5.0990195135927845,7.0710678118654755,5.744562646538029,5.744562646538029,7.280109889280518,10.04987562112089,11.40175425099138,9.899494936611665,14.035668847618199
Tottenham_17_18,7.3484692283495345,7.3484692283495345,7.874007874011811,4.123105625617661,4.898979485566356,5.385164807134504,5.0990195135927845,5.656854249492381,2.23606797749979,4.242640687119285,5.477225575051661,5.744562646538029,8.06225774829855,6.164414002968976,5.830951894845301,7.3484692283495345,10.488088481701515,11.704699910719626,10.04987562112089,14.491376746189438
Huddersfield_17_18,8.831760866327848,8.831760866327848,9.486832980505138,4.58257569495584,6.6332495807108,6.708203932499369,3.7416573867739413,7.211102550927978,1.0,5.0990195135927845,5.477225575051661,5.385164807134504,7.0,5.830951894845301,5.0990195135927845,6.164414002968976,10.295630140987,11.704699910719626,9.433981132056603,13.92838827718412
Burnley_17_18,8.774964387392123,8.774964387392123,8.660254037844387,4.242640687119285,6.708203932499369,4.898979485566356,3.3166247903554,5.385164807134504,3.1622776601683795,3.0,3.605551275463989,3.7416573867739413,6.0,4.358898943540674,4.58257569495584,6.4031242374328485,8.660254037844387,10.0,8.602325267042627,12.68857754044952
Liverpool_17_18,9.899494936611665,9.899494936611665,8.12403840463596,6.708203932499369,8.48528137423857,3.0,6.782329983125268,2.8284271247461903,8.06225774829855,2.449489742783178,3.7416573867739413,4.58257569495584,7.280109889280518,5.0990195135927845,7.0710678118654755,9.486832980505138,7.0710678118654755,7.810249675906654,9.219544457292887,11.74734012447073
Southampton_17_18,9.899494936611665,9.899494936611665,10.295630140987,5.0,7.874007874011811,7.0,2.449489742783178,7.615773105863909,2.23606797749979,5.0990195135927845,4.898979485566356,4.58257569495584,5.744562646538029,5.0990195135927845,4.47213595499958,5.477225575051661,9.486832980505138,11.0,8.660254037844387,12.96148139681572
West Brom_17_18,9.899494936611665,9.899494936611665,10.295630140987,5.0,7.874007874011811,7.0,2.449489742783178,7.615773105863909,2.23606797749979,5.0990195135927845,4.898979485566356,4.58257569495584,5.744562646538029,5.0990195135927845,4.47213595499958,5.477225575051661,9.486832980505138,11.0,8.660254037844387,12.96148139681572
Watford_17_18,10.677078252031311,10.677078252031311,9.273618495495704,6.4031242374328485,9.16515138991168,4.123105625617661,5.0990195135927845,4.47213595499958,7.280109889280518,2.449489742783178,2.449489742783178,3.0,5.385164807134504,3.7416573867739413,5.830951894845301,8.12403840463596,6.164414002968976,7.280109889280518,8.06225774829855,10.677078252031311
Arsenal_17_18,10.488088481701515,10.488088481701515,9.38083151964686,6.4031242374328485,8.602325267042627,4.358898943540674,4.898979485566356,4.242640687119285,6.4031242374328485,1.4142135623730951,1.4142135623730951,2.23606797749979,5.196152422706632,2.8284271247461903,4.69041575982343,7.0710678118654755,6.0,7.14142842854285,7.280109889280518,10.488088481701515
Stoke City_17_18,11.74734012447073,11.74734012447073,11.489125293076057,7.54983443527075,9.273618495495704,7.14142842854285,4.47213595499958,6.782329983125268,5.0,3.7416573867739413,2.449489742783178,2.23606797749979,4.358898943540674,2.0,1.4142135623730951,3.7416573867739413,6.324555320336759,7.681145747868608,5.385164807134504,9.899494936611665
Swansea City_17_18,13.416407864998739,13.416407864998739,13.638181696985855,8.660254037844387,11.045361017187261,9.643650760992955,4.242640687119285,9.695359714832659,5.196152422706632,6.6332495807108,5.0990195135927845,4.358898943540674,4.123105625617661,4.242640687119285,2.449489742783178,2.0,7.874007874011811,9.433981132056603,5.744562646538029,10.295630140987
Leicester City_17_18,13.038404810405298,13.038404810405298,11.916375287812984,9.433981132056603,10.770329614269007,7.0,7.0710678118654755,6.0,8.306623862918075,3.7416573867739413,2.449489742783178,3.0,5.385164807134504,2.449489742783178,4.242640687119285,6.48074069840786,3.7416573867739413,4.58257569495584,5.0,8.12403840463596
Brighton_17_18,13.45362404707371,13.45362404707371,13.076696830622021,9.055385138137417,11.0,8.48528137423857,5.196152422706632,8.06225774829855,6.48074069840786,5.0,3.0,2.449489742783178,3.4641016151377544,1.7320508075688772,1.0,3.0,5.196152422706632,6.6332495807108,3.7416573867739413,8.306623862918075
West Ham_17_18,15.033296378372908,15.033296378372908,14.071247279470288,10.44030650891055,12.884098726725126,9.0,6.48074069840786,8.602325267042627,9.0,5.830951894845301,3.4641016151377544,3.0,3.0,2.449489742783178,4.0,5.477225575051661,2.449489742783178,4.123105625617661,3.3166247903554,6.0
Everton_17_18,16.186414056238647,16.186414056238647,15.427248620541512,11.180339887498949,14.071247279470288,10.44030650891055,6.48074069840786,10.295630140987,9.433981132056603,7.3484692283495345,4.898979485566356,4.123105625617661,2.23606797749979,3.7416573867739413,4.47213595499958,5.0990195135927845,3.7416573867739413,5.385164807134504,3.3166247903554,5.656854249492381
Bournemouth_17_18,15.652475842498529,15.652475842498529,15.0,11.045361017187261,13.30413469565007,10.099504938362077,6.708203932499369,9.643650760992955,8.831760866327848,6.708203932499369,4.358898943540674,3.7416573867739413,3.1622776601683795,3.0,3.3166247903554,4.123105625617661,3.605551275463989,5.0990195135927845,2.0,5.916079783099616
