Team,Tottenham_21_22,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,West Ham_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Leicester City_21_22,Brentford_21_22,Aston Villa_21_22,Watford_21_22,Southampton_21_22,Crystal Palace_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Wolves_21_22,Arsenal_21_22,Norwich City_21_22
Manchester City_16_17,6.708203932499369,4.123105625617661,4.123105625617661,3.0,3.0,2.8284271247461903,3.7416573867739413,5.830951894845301,6.164414002968976,7.483314773547883,6.48074069840786,8.717797887081348,9.1104335791443,10.099504938362077,9.9498743710662,10.816653826391969,10.677078252031311,12.727922061357855,14.071247279470288,13.92838827718412
Chelsea_16_17,4.47213595499958,2.449489742783178,2.449489742783178,2.0,4.69041575982343,2.23606797749979,4.358898943540674,4.358898943540674,5.196152422706632,5.744562646538029,5.744562646538029,7.810249675906654,8.602325267042627,9.1104335791443,9.695359714832659,9.899494936611665,10.44030650891055,11.445523142259598,13.379088160259652,13.45362404707371
Manchester Utd_16_17,3.1622776601683795,2.0,2.0,2.449489742783178,6.0,3.0,5.0,4.123105625617661,5.385164807134504,5.0,5.916079783099616,7.810249675906654,8.831760866327848,9.0,10.099504938362077,9.797958971132712,10.816653826391969,11.0,13.45362404707371,13.674794331177344
Everton_16_17,3.0,2.23606797749979,2.23606797749979,3.0,6.708203932499369,3.1622776601683795,6.164414002968976,1.4142135623730951,3.1622776601683795,2.449489742783178,3.7416573867739413,5.0990195135927845,6.4031242374328485,6.164414002968976,7.810249675906654,7.0,8.48528137423857,8.12403840463596,10.677078252031311,11.045361017187261
Hull City_16_17,3.7416573867739413,2.449489742783178,2.449489742783178,3.1622776601683795,6.782329983125268,3.3166247903554,6.082762530298219,1.0,3.0,1.7320508075688772,3.0,4.358898943540674,5.656854249492381,5.385164807134504,7.211102550927978,6.164414002968976,7.810249675906654,7.280109889280518,10.04987562112089,10.44030650891055
Middlesbrough_16_17,4.47213595499958,3.7416573867739413,3.7416573867739413,4.47213595499958,7.874007874011811,4.58257569495584,7.14142842854285,1.7320508075688772,3.3166247903554,1.0,3.0,3.605551275463989,5.0990195135927845,4.358898943540674,6.782329983125268,5.0990195135927845,7.280109889280518,5.916079783099616,9.1104335791443,9.643650760992955
Tottenham_16_17,4.47213595499958,3.7416573867739413,3.7416573867739413,4.47213595499958,7.874007874011811,4.58257569495584,7.14142842854285,1.7320508075688772,3.3166247903554,1.0,3.0,3.605551275463989,5.0990195135927845,4.358898943540674,6.782329983125268,5.0990195135927845,7.280109889280518,5.916079783099616,9.1104335791443,9.643650760992955
Arsenal_16_17,7.681145747868608,5.0,5.0,4.358898943540674,5.0,3.7416573867739413,6.0,3.4641016151377544,2.8284271247461903,5.0990195135927845,1.4142135623730951,3.1622776601683795,3.0,4.47213595499958,4.123105625617661,5.0,4.69041575982343,7.483314773547883,8.246211251235321,8.12403840463596
Leicester City_16_17,5.830951894845301,4.69041575982343,4.69041575982343,5.0990195135927845,7.874007874011811,5.0,7.54983443527075,2.23606797749979,3.0,2.23606797749979,2.23606797749979,2.23606797749979,3.7416573867739413,3.0,5.477225575051661,3.7416573867739413,5.916079783099616,5.0,7.810249675906654,8.306623862918075
West Brom_16_17,5.477225575051661,5.0990195135927845,5.0990195135927845,5.830951894845301,9.055385138137417,5.916079783099616,8.306623862918075,3.0,4.123105625617661,1.7320508075688772,3.605551275463989,3.3166247903554,4.898979485566356,3.605551275463989,6.6332495807108,4.242640687119285,7.0,4.58257569495584,8.306623862918075,9.0
Liverpool_16_17,8.06225774829855,5.916079783099616,5.916079783099616,5.385164807134504,5.916079783099616,4.69041575982343,7.3484692283495345,3.7416573867739413,2.449489742783178,5.477225575051661,2.0,2.449489742783178,2.23606797749979,3.7416573867739413,3.0,4.358898943540674,3.7416573867739413,7.0710678118654755,7.0710678118654755,6.928203230275509
