Team,Chelsea_21_22,Liverpool_21_22,Manchester Utd_21_22,Everton_21_22,Manchester City_21_22,Brighton_21_22,Tottenham_21_22,West Ham_21_22,Leicester City_21_22,Brentford_21_22,Crystal Palace_21_22,Aston Villa_21_22,Wolves_21_22,Southampton_21_22,Watford_21_22,Arsenal_21_22,Leeds United_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Manchester City_16_17,4.123105625617661,4.123105625617661,2.23606797749979,2.23606797749979,4.242640687119285,6.782329983125268,8.602325267042627,4.242640687119285,9.433981132056603,10.816653826391969,9.273618495495704,10.44030650891055,12.767145334803704,11.575836902790225,12.409673645990857,14.352700094407323,14.071247279470288,14.177446878757825,14.866068747318506,17.11724276862369
Chelsea_16_17,3.0,3.0,2.23606797749979,1.0,3.7416573867739413,4.242640687119285,6.164414002968976,2.449489742783178,6.708203932499369,8.06225774829855,6.48074069840786,7.810249675906654,9.9498743710662,8.831760866327848,9.695359714832659,11.74734012447073,11.74734012447073,11.532562594670797,12.68857754044952,14.594519519326424
Everton_16_17,2.23606797749979,2.23606797749979,4.123105625617661,3.605551275463989,4.242640687119285,2.449489742783178,4.242640687119285,4.69041575982343,6.4031242374328485,6.4031242374328485,6.164414002968976,8.06225774829855,8.660254037844387,8.602325267042627,9.486832980505138,11.575836902790225,12.409673645990857,11.532562594670797,13.601470508735444,14.730919862656235
Manchester Utd_16_17,3.0,3.0,4.123105625617661,3.3166247903554,4.47213595499958,2.0,4.0,3.7416573867739413,5.196152422706632,5.744562646538029,4.898979485566356,6.708203932499369,7.810249675906654,7.3484692283495345,8.246211251235321,10.392304845413264,11.045361017187261,10.246950765959598,12.206555615733702,13.45362404707371
Tottenham_16_17,3.0,3.0,4.58257569495584,4.123105625617661,4.242640687119285,2.449489742783178,4.242640687119285,4.242640687119285,5.385164807134504,5.0,4.69041575982343,6.708203932499369,7.14142842854285,7.0710678118654755,8.12403840463596,10.488088481701515,11.224972160321824,10.04987562112089,12.36931687685298,13.45362404707371
Arsenal_16_17,5.916079783099616,5.916079783099616,5.196152422706632,4.123105625617661,6.164414002968976,4.69041575982343,6.164414002968976,2.449489742783178,4.123105625617661,6.708203932499369,3.7416573867739413,4.358898943540674,7.810249675906654,5.656854249492381,6.48074069840786,8.602325267042627,8.12403840463596,8.06225774829855,9.0,11.090536506409418
Hull City_16_17,5.385164807134504,5.385164807134504,6.708203932499369,5.916079783099616,6.6332495807108,2.0,2.8284271247461903,5.477225575051661,3.3166247903554,3.0,2.8284271247461903,5.0,5.0,5.0990195135927845,6.0,8.246211251235321,9.486832980505138,8.06225774829855,10.816653826391969,11.357816691600547
Liverpool_16_17,6.708203932499369,6.708203932499369,5.385164807134504,4.358898943540674,6.6332495807108,6.0,7.483314773547883,2.449489742783178,5.196152422706632,8.06225774829855,4.898979485566356,5.0,9.0,6.48074069840786,7.211102550927978,9.16515138991168,8.12403840463596,8.54400374531753,8.774964387392123,11.357816691600547
Middlesbrough_16_17,7.681145747868608,7.681145747868608,8.660254037844387,7.810249675906654,8.602325267042627,4.242640687119285,4.242640687119285,6.782329983125268,2.23606797749979,2.23606797749979,1.4142135623730951,3.3166247903554,3.0,2.8284271247461903,3.7416573867739413,6.164414002968976,7.615773105863909,5.744562646538029,9.0,9.1104335791443
Crystal Palace_16_17,9.0,9.0,10.04987562112089,9.219544457292887,9.899494936611665,5.477225575051661,5.0990195135927845,8.12403840463596,3.0,2.23606797749979,2.449489742783178,3.605551275463989,1.7320508075688772,2.449489742783178,3.1622776601683795,5.477225575051661,7.3484692283495345,5.0,8.774964387392123,8.306623862918075
Watford_16_17,9.433981132056603,9.433981132056603,8.774964387392123,7.810249675906654,9.486832980505138,7.3484692283495345,8.12403840463596,5.830951894845301,4.123105625617661,7.280109889280518,3.7416573867739413,2.23606797749979,7.14142842854285,3.7416573867739413,4.242640687119285,6.164414002968976,4.69041575982343,5.0,5.385164807134504,7.810249675906654
West Brom_16_17,9.433981132056603,9.433981132056603,10.816653826391969,10.04987562112089,10.488088481701515,5.830951894845301,5.0990195135927845,9.16515138991168,4.123105625617661,1.7320508075688772,3.7416573867739413,5.0,1.0,3.7416573867739413,4.242640687119285,6.164414002968976,8.48528137423857,5.916079783099616,9.9498743710662,9.0
Bournemouth_16_17,9.38083151964686,9.38083151964686,10.198039027185569,9.273618495495704,10.246950765959598,5.744562646538029,5.385164807134504,8.06225774829855,2.449489742783178,3.1622776601683795,2.23606797749979,2.8284271247461903,2.449489742783178,1.7320508075688772,2.23606797749979,4.58257569495584,6.4031242374328485,4.242640687119285,7.874007874011811,7.483314773547883
Burnley_16_17,9.38083151964686,9.38083151964686,10.198039027185569,9.273618495495704,10.246950765959598,5.744562646538029,5.385164807134504,8.06225774829855,2.449489742783178,3.1622776601683795,2.23606797749979,2.8284271247461903,2.449489742783178,1.7320508075688772,2.23606797749979,4.58257569495584,6.4031242374328485,4.242640687119285,7.874007874011811,7.483314773547883
Swansea City_16_17,9.273618495495704,9.273618495495704,9.695359714832659,8.717797887081348,9.9498743710662,5.916079783099616,5.916079783099616,7.280109889280518,2.0,4.242640687119285,1.7320508075688772,1.4142135623730951,3.7416573867739413,1.0,1.7320508075688772,4.358898943540674,5.385164807134504,3.7416573867739413,6.782329983125268,7.0710678118654755
Leicester City_16_17,9.848857801796104,9.848857801796104,10.04987562112089,9.0,10.488088481701515,6.48074069840786,6.48074069840786,7.483314773547883,2.23606797749979,5.196152422706632,2.449489742783178,1.0,4.58257569495584,1.4142135623730951,1.4142135623730951,3.7416573867739413,4.47213595499958,3.3166247903554,5.916079783099616,6.4031242374328485
West Ham_16_17,11.357816691600547,11.357816691600547,11.0,9.9498743710662,11.661903789690601,8.48528137423857,8.717797887081348,8.12403840463596,4.358898943540674,7.54983443527075,4.47213595499958,2.23606797749979,6.708203932499369,3.1622776601683795,2.8284271247461903,4.0,2.449489742783178,3.0,3.605551275463989,5.385164807134504
Southampton_16_17,11.180339887498949,11.180339887498949,11.704699910719626,10.816653826391969,11.74734012447073,7.874007874011811,7.615773105863909,9.273618495495704,4.123105625617661,5.0,3.7416573867739413,3.0,3.3166247903554,1.4142135623730951,1.4142135623730951,3.7416573867739413,5.0990195135927845,2.23606797749979,6.4031242374328485,5.744562646538029
Sunderland_16_17,12.884098726725126,12.884098726725126,13.038404810405298,12.083045973594572,13.30413469565007,9.643650760992955,9.433981132056603,10.344080432788601,5.477225575051661,7.211102550927978,5.385164807134504,3.7416573867739413,5.477225575051661,3.0,2.23606797749979,3.0,3.3166247903554,0.0,4.47213595499958,3.7416573867739413
Stoke City_16_17,14.52583904633395,14.52583904633395,14.52583904633395,13.45362404707371,15.033296378372908,11.045361017187261,10.677078252031311,11.74734012447073,6.708203932499369,9.0,7.0710678118654755,5.196152422706632,7.280109889280518,4.898979485566356,3.7416573867739413,2.449489742783178,2.449489742783178,2.23606797749979,3.605551275463989,1.7320508075688772
Manchester Utd_17_18,3.1622776601683795,3.1622776601683795,1.4142135623730951,2.8284271247461903,1.7320508075688772,7.14142842854285,9.1104335791443,4.123105625617661,9.797958971132712,10.295630140987,9.1104335791443,10.488088481701515,12.24744871391589,11.357816691600547,12.449899597988733,14.798648586948742,14.45683229480096,14.071247279470288,15.165750888103101,17.378147196982766
Manchester City_17_18,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,1.7320508075688772,5.196152422706632,7.14142842854285,3.605551275463989,8.246211251235321,8.602325267042627,7.681145747868608,9.273618495495704,10.677078252031311,10.04987562112089,11.090536506409418,13.379088160259652,13.45362404707371,12.884098726725126,14.352700094407323,16.186414056238647
Chelsea_17_18,4.242640687119285,4.242640687119285,3.7416573867739413,2.449489742783178,5.0,3.605551275463989,5.385164807134504,2.23606797749979,5.0990195135927845,7.0710678118654755,5.0,6.164414002968976,8.717797887081348,7.280109889280518,8.06225774829855,10.04987562112089,10.04987562112089,9.899494936611665,11.045361017187261,12.884098726725126
Watford_17_18,3.4641016151377544,3.4641016151377544,4.47213595499958,3.7416573867739413,4.58257569495584,2.23606797749979,4.123105625617661,3.605551275463989,4.69041575982343,5.0990195135927845,4.123105625617661,6.0,7.0710678118654755,6.557438524302,7.54983443527075,9.848857801796104,10.44030650891055,9.486832980505138,11.575836902790225,12.806248474865697
