Team,Manchester City_21_22,Liverpool_21_22,Chelsea_21_22,Tottenham_21_22,West Ham_21_22,Manchester Utd_21_22,Arsenal_21_22,Leicester City_21_22,Wolves_21_22,Brentford_21_22,Brighton_21_22,Crystal Palace_21_22,Aston Villa_21_22,Everton_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Newcastle Utd_21_22,Norwich City_21_22
Everton_18_19,19.8997487421324,26.49528259898354,20.808652046684813,5.385164807134504,6.4031242374328485,6.557438524302,4.123105625617661,9.16515138991168,12.449899597988733,5.385164807134504,10.04987562112089,5.916079783099616,8.06225774829855,11.224972160321824,11.661903789690601,13.038404810405298,16.401219466856727,16.06237840420901,21.37755832643195,24.289915602982237
Bournemouth_18_19,24.041630560342615,28.142494558940577,23.727621035409346,10.04987562112089,9.1104335791443,4.58257569495584,6.4031242374328485,2.449489742783178,17.804493814764857,6.4031242374328485,14.52583904633395,6.4031242374328485,5.744562646538029,7.3484692283495345,10.677078252031311,13.19090595827292,11.874342087037917,15.748015748023622,17.233687939614086,22.22611077089287
Leicester City_18_19,22.825424421026653,29.410882339705484,23.790754506740637,7.0710678118654755,9.273618495495704,8.12403840463596,4.47213595499958,9.219544457292887,10.862780491200215,2.8284271247461903,7.874007874011811,3.7416573867739413,5.830951894845301,9.0,8.774964387392123,10.04987562112089,14.212670403551895,13.152946437965905,18.867962264113206,21.37755832643195
Wolves_18_19,24.73863375370596,32.526911934581186,26.476404589747453,8.06225774829855,12.529964086141668,11.445523142259598,6.4031242374328485,12.806248474865697,7.14142842854285,5.385164807134504,4.123105625617661,6.557438524302,7.810249675906654,10.295630140987,8.48528137423857,8.366600265340756,15.524174696260024,12.24744871391589,19.209372712298546,19.849433241279208
West Ham_18_19,25.39685019840059,30.14962686336267,25.41653005427767,10.198039027185569,10.488088481701515,6.782329983125268,6.164414002968976,4.58257569495584,15.556349186104045,3.7416573867739413,12.083045973594572,3.7416573867739413,2.8284271247461903,5.196152422706632,7.810249675906654,10.344080432788601,10.198039027185569,12.84523257866513,15.427248620541512,19.87460691435179
Brighton_18_19,25.573423705088842,32.12475680841802,26.589471600616662,8.774964387392123,11.789826122551595,9.433981132056603,5.385164807134504,9.486832980505138,10.63014581273465,2.23606797749979,7.14142842854285,3.605551275463989,4.123105625617661,6.782329983125268,6.164414002968976,7.3484692283495345,12.206555615733702,10.954451150103322,16.401219466856727,18.49324200890693
Watford_18_19,25.573423705088842,31.654383582688826,26.324893162176366,9.0,11.357816691600547,8.54400374531753,5.196152422706632,8.12403840463596,12.041594578792296,1.7320508075688772,8.54400374531753,3.0,3.0,5.830951894845301,6.164414002968976,7.874007874011811,11.357816691600547,11.224972160321824,15.84297951775486,18.601075237738275
Cardiff City_18_19,36.61966684720111,41.86884283091664,37.067505985701274,19.544820285692065,22.045407685048602,18.05547008526779,15.620499351813308,14.730919862656235,17.72004514666935,11.661903789690601,14.352700094407323,11.74734012447073,9.273618495495704,6.708203932499369,5.744562646538029,6.4031242374328485,6.164414002968976,6.708203932499369,6.0,8.306623862918075
Newcastle Utd_18_19,34.55430508634199,41.23105625617661,35.70714214271425,18.138357147217054,21.42428528562855,19.209372712298546,15.264337522473747,17.378147196982766,11.357816691600547,10.63014581273465,8.660254037844387,10.816653826391969,10.44030650891055,10.488088481701515,5.830951894845301,3.7416573867739413,12.041594578792296,3.4641016151377544,13.0,11.575836902790225
Crystal Palace_18_19,35.66510900025401,42.07136793592526,36.6742416417845,19.209372712298546,22.293496809607955,19.87460691435179,16.15549442140351,17.663521732655695,12.767145334803704,11.357816691600547,10.04987562112089,11.445523142259598,10.816653826391969,10.488088481701515,6.0,4.242640687119285,11.357816691600547,2.449489742783178,11.874342087037917,10.488088481701515
Burnley_18_19,39.102429592034305,43.87482193696061,39.319206502675,22.22611077089287,24.372115213907882,20.248456731316587,18.2208671582886,16.401219466856727,20.346989949375804,14.142135623730951,17.029386365926403,14.071247279470288,11.575836902790225,8.774964387392123,8.306623862918075,9.0,6.164414002968976,8.06225774829855,3.4641016151377544,7.280109889280518
Huddersfield_18_19,40.45985664828782,46.67976006793523,41.42463035441596,23.366642891095847,26.68332812825267,23.53720459187964,20.049937655763422,20.808652046684813,17.146428199482248,15.684387141358123,14.696938456699069,15.811388300841896,14.352700094407323,12.84523257866513,9.433981132056603,7.810249675906654,12.083045973594572,5.916079783099616,9.899494936611665,5.385164807134504
Southampton_18_19,41.012193308819754,46.17358552246078,41.41255848169731,24.186773244895647,26.589471600616662,23.0,20.42057785666214,19.339079605813716,20.024984394500787,15.7797338380595,17.05872210923198,15.652475842498529,13.74772708486752,11.575836902790225,9.486832980505138,9.273618495495704,9.0,6.6332495807108,5.744562646538029,5.477225575051661
Fulham_18_19,45.727453460694704,49.08156476723211,45.32107677449864,29.427877939124322,30.757112998459398,26.076809620810597,25.25866188063018,21.42428528562855,28.91366458960192,21.6794833886788,25.573423705088842,21.447610589527216,18.708286933869708,15.524174696260024,16.583123951777,17.578395831246947,11.045361017187261,16.15549442140351,6.164414002968976,11.357816691600547
Liverpool_19_20,11.74734012447073,10.488088481701515,10.63014581273465,25.98076211353316,22.20360331117452,25.632011235952593,28.722813232690143,30.23243291566195,37.53664875824692,33.18132004607411,36.89173349139343,33.421549934136806,34.79942528261063,37.14835124201342,39.370039370059054,40.93897898091744,41.701318923986086,44.15880433163923,47.16990566028302,51.419840528729765
Leicester City_19_20,6.082762530298219,6.4031242374328485,2.449489742783178,22.045407685048602,17.378147196982766,22.045407685048602,24.73863375370596,26.248809496813376,32.155870381627054,28.142494558940577,31.591137997862628,28.178005607210743,30.166206257996713,32.93933818400121,34.539832078341085,36.124783736376884,37.282703764614496,38.742741255621034,42.941821107167776,47.21228653645151
Manchester City_19_20,16.0312195418814,8.660254037844387,10.770329614269007,23.194827009486403,16.492422502470642,19.339079605813716,23.958297101421877,21.283796653792763,34.20526275297414,26.115129714401192,32.37282811247729,25.729360660537214,27.09243436828813,29.206163733020468,31.953090617340916,34.36568055487916,32.155870381627054,36.15245496505044,37.92097045171708,44.14748010928823
