Team,Liverpool_21_22,Manchester City_21_22,Chelsea_21_22,Manchester Utd_21_22,Everton_21_22,Brighton_21_22,West Ham_21_22,Aston Villa_21_22,Brentford_21_22,Arsenal_21_22,Tottenham_21_22,Watford_21_22,Leicester City_21_22,Wolves_21_22,Crystal Palace_21_22,Southampton_21_22,Newcastle Utd_21_22,Leeds United_21_22,Burnley_21_22,Norwich City_21_22
Watford_16_17,11.090536506409418,11.832159566199232,11.0,9.0,7.483314773547883,8.717797887081348,5.830951894845301,5.0990195135927845,6.6332495807108,5.477225575051661,6.6332495807108,3.605551275463989,3.1622776601683795,9.273618495495704,4.58257569495584,7.810249675906654,5.830951894845301,6.4031242374328485,7.0710678118654755,11.74734012447073
Burnley_16_17,12.84523257866513,11.575836902790225,11.0,10.44030650891055,9.273618495495704,7.3484692283495345,8.94427190999916,5.0990195135927845,4.69041575982343,2.8284271247461903,2.449489742783178,2.23606797749979,2.8284271247461903,3.7416573867739413,1.7320508075688772,3.3166247903554,7.483314773547883,7.280109889280518,5.830951894845301,11.045361017187261
Leicester City_16_17,12.12435565298214,12.328828005937952,11.532562594670797,9.848857801796104,8.246211251235321,8.48528137423857,7.0710678118654755,5.0990195135927845,6.324555320336759,3.7416573867739413,4.898979485566356,2.23606797749979,1.4142135623730951,7.874007874011811,3.0,6.4031242374328485,5.0990195135927845,5.385164807134504,5.830951894845301,10.488088481701515
Bournemouth_16_17,13.96424004376894,12.806248474865697,12.206555615733702,11.532562594670797,10.198039027185569,8.246211251235321,9.899494936611665,6.164414002968976,6.0,2.449489742783178,2.0,3.0,3.1622776601683795,4.242640687119285,2.23606797749979,3.605551275463989,7.0710678118654755,6.708203932499369,5.477225575051661,10.099504938362077
Hull City_16_17,13.30413469565007,13.490737563232042,12.68857754044952,11.0,9.273618495495704,9.273618495495704,8.246211251235321,6.164414002968976,7.3484692283495345,3.4641016151377544,4.69041575982343,3.0,2.0,8.12403840463596,3.3166247903554,6.557438524302,4.47213595499958,4.58257569495584,5.477225575051661,9.486832980505138
Middlesbrough_16_17,13.674794331177344,12.806248474865697,12.206555615733702,11.357816691600547,10.198039027185569,9.16515138991168,9.273618495495704,6.164414002968976,6.0,4.242640687119285,4.47213595499958,2.23606797749979,2.449489742783178,5.0990195135927845,1.0,3.0,5.477225575051661,5.385164807134504,3.7416573867739413,9.486832980505138
Swansea City_16_17,15.362291495737216,14.52583904633395,13.92838827718412,13.038404810405298,11.789826122551595,10.723805294763608,10.816653826391969,7.810249675906654,7.681145747868608,5.0,5.196152422706632,3.7416573867739413,3.605551275463989,5.744562646538029,2.449489742783178,3.1622776601683795,4.58257569495584,4.242640687119285,2.23606797749979,7.810249675906654
West Ham_16_17,18.138357147217054,18.708286933869708,17.916472867168917,16.0312195418814,14.352700094407323,14.89966442575134,12.806248474865697,11.575836902790225,12.569805089976535,8.717797887081348,9.695359714832659,8.06225774829855,7.211102550927978,12.083045973594572,7.681145747868608,9.539392014169456,2.0,2.23606797749979,5.477225575051661,5.830951894845301
Stoke City_16_17,19.6468827043885,19.519221295943137,18.81488772222678,17.378147196982766,15.7797338380595,15.394804318340652,14.52583904633395,12.36931687685298,12.84523257866513,8.660254037844387,9.219544457292887,8.366600265340756,7.681145747868608,10.816653826391969,7.483314773547883,8.246211251235321,3.3166247903554,2.449489742783178,4.123105625617661,3.0
Sunderland_16_17,18.24828759089466,17.72004514666935,17.11724276862369,16.0312195418814,14.7648230602334,14.212670403551895,13.416407864998739,11.045361017187261,11.045361017187261,8.246211251235321,8.602325267042627,7.0,6.6332495807108,8.831760866327848,5.916079783099616,5.916079783099616,3.4641016151377544,3.0,1.4142135623730951,5.0990195135927845
Manchester City_17_18,6.6332495807108,9.539392014169456,9.486832980505138,9.055385138137417,10.723805294763608,13.674794331177344,11.180339887498949,14.317821063276353,15.066519173319364,19.209372712298546,19.672315572906,18.05547008526779,18.466185312619388,20.808652046684813,19.339079605813716,21.400934559032695,22.561028345356956,23.194827009486403,23.08679276123039,28.513154858766505
Manchester Utd_17_18,3.4641016151377544,5.916079783099616,5.830951894845301,5.830951894845301,7.681145747868608,9.9498743710662,8.774964387392123,11.180339887498949,11.789826122551595,16.0312195418814,16.34013463836819,15.165750888103101,15.652475842498529,17.46424919657298,16.431676725154983,18.384776310850235,20.322401432901575,20.83266665599966,20.518284528683193,26.019223662515376
Chelsea_17_18,3.3166247903554,4.0,3.0,1.0,2.0,4.0,3.7416573867739413,4.69041575982343,5.656854249492381,9.486832980505138,9.797958971132712,8.774964387392123,9.273618495495704,11.40175425099138,10.04987562112089,12.206555615733702,14.352700094407323,14.730919862656235,14.352700094407323,19.748417658131498
Tottenham_17_18,5.916079783099616,4.898979485566356,4.123105625617661,3.605551275463989,3.4641016151377544,2.8284271247461903,4.242640687119285,2.449489742783178,2.8284271247461903,7.3484692283495345,7.483314773547883,6.4031242374328485,7.0710678118654755,8.602325267042627,7.54983443527075,9.433981132056603,12.409673645990857,12.68857754044952,11.916375287812984,17.4928556845359
Liverpool_17_18,8.18535277187245,10.198039027185569,9.219544457292887,6.4031242374328485,4.47213595499958,7.483314773547883,3.1622776601683795,5.0990195135927845,7.483314773547883,7.3484692283495345,8.48528137423857,6.708203932499369,6.48074069840786,11.916375287812984,8.06225774829855,11.357816691600547,9.899494936611665,10.44030650891055,11.40175425099138,15.684387141358123
Watford_17_18,9.0,9.695359714832659,8.774964387392123,6.708203932499369,4.69041575982343,5.477225575051661,4.47213595499958,3.1622776601683795,5.477225575051661,4.47213595499958,5.477225575051661,4.58257569495584,4.47213595499958,9.273618495495704,5.916079783099616,9.1104335791443,9.16515138991168,9.433981132056603,9.899494936611665,14.352700094407323
Arsenal_17_18,8.246211251235321,8.18535277187245,7.3484692283495345,5.830951894845301,4.358898943540674,4.358898943540674,4.123105625617661,1.0,3.3166247903554,4.58257569495584,5.196152422706632,3.7416573867739413,4.123105625617661,7.810249675906654,5.0990195135927845,7.874007874011811,9.433981132056603,9.695359714832659,9.433981132056603,14.594519519326424
Huddersfield_17_18,11.224972160321824,8.306623862918075,8.12403840463596,9.16515138991168,9.0,5.385164807134504,9.643650760992955,5.744562646538029,3.605551275463989,7.0,6.082762530298219,6.6332495807108,7.54983443527075,4.123105625617661,6.782329983125268,6.48074069840786,12.68857754044952,12.569805089976535,10.63014581273465,16.09347693943108
