Team,Chelsea_21_22,Manchester City_21_22,Liverpool_21_22,Tottenham_21_22,West Ham_21_22,Arsenal_21_22,Manchester Utd_21_22,Wolves_21_22,Brighton_21_22,Leicester City_21_22,Crystal Palace_21_22,Brentford_21_22,Aston Villa_21_22,Everton_21_22,Leeds United_21_22,Southampton_21_22,Watford_21_22,Burnley_21_22,Norwich City_21_22,Newcastle Utd_21_22
Manchester Utd_20_21,18.275666882497067,15.84297951775486,17.4928556845359,15.362291495737216,8.366600265340756,13.92838827718412,8.54400374531753,21.93171219946131,20.42057785666214,11.489125293076057,15.84297951775486,17.4928556845359,15.556349186104045,17.72004514666935,21.02379604162864,21.02379604162864,18.05547008526779,23.430749027719962,28.24889378365107,25.39685019840059
Aston Villa_20_21,11.74734012447073,8.54400374531753,15.937377450509228,12.409673645990857,4.69041575982343,12.884098726725126,11.874342087037917,16.881943016134134,16.583123951777,14.352700094407323,14.730919862656235,15.684387141358123,16.186414056238647,18.49324200890693,19.544820285692065,19.544820285692065,19.849433241279208,22.38302928559939,29.189039038652847,27.586228448267445
Manchester City_20_21,15.132745950421556,10.770329614269007,22.561028345356956,7.14142842854285,6.708203932499369,9.433981132056603,13.341664064126334,10.295630140987,11.045361017187261,14.798648586948742,12.96148139681572,12.84523257866513,15.0,16.76305461424021,15.7797338380595,15.7797338380595,19.209372712298546,19.6468827043885,26.095976701399778,26.645825188948457
Everton_20_21,16.792855623746664,13.152946437965905,19.949937343260004,9.273618495495704,2.8284271247461903,8.602325267042627,7.14142842854285,15.588457268119896,14.45683229480096,9.695359714832659,11.704699910719626,12.806248474865697,12.328828005937952,14.491376746189438,16.30950643030009,16.30950643030009,15.937377450509228,19.519221295943137,25.019992006393608,23.727621035409346
Chelsea_20_21,12.0,9.219544457292887,15.362291495737216,13.341664064126334,5.0990195135927845,13.564659966250536,11.874342087037917,17.578395831246947,17.11724276862369,14.352700094407323,14.730919862656235,15.811388300841896,16.186414056238647,18.547236990991408,19.79898987322333,19.79898987322333,19.697715603592208,22.338307903688676,29.359836511806396,27.367864366808018
Tottenham_20_21,13.856406460551018,10.04987562112089,19.078784028338912,9.486832980505138,3.1622776601683795,10.198039027185569,10.816653826391969,13.74772708486752,13.45362404707371,12.884098726725126,12.36931687685298,13.038404810405298,14.071247279470288,16.24807680927192,16.73320053068151,16.73320053068151,18.0,19.87460691435179,26.645825188948457,25.709920264364882
Southampton_20_21,17.72004514666935,14.177446878757825,20.54263858417414,9.273618495495704,2.0,8.12403840463596,5.916079783099616,15.066519173319364,13.601470508735444,8.366600265340756,10.04987562112089,11.313708498984761,10.770329614269007,13.038404810405298,15.033296378372908,15.033296378372908,14.352700094407323,17.916472867168917,23.790754506740637,22.15851980616034
West Ham_20_21,21.37755832643195,17.4928556845359,25.15949125081825,6.708203932499369,5.385164807134504,4.58257569495584,5.830951894845301,11.40175425099138,9.16515138991168,6.4031242374328485,5.477225575051661,6.4031242374328485,6.708203932499369,8.774964387392123,10.04987562112089,10.04987562112089,10.816653826391969,13.19090595827292,19.261360284258224,18.49324200890693
Wolves_20_21,26.43860813280457,22.135943621178654,31.796226191169293,5.744562646538029,11.874342087037917,4.358898943540674,11.224972160321824,7.3484692283495345,4.242640687119285,10.04987562112089,6.48074069840786,5.0,7.54983443527075,7.681145747868608,5.196152422706632,5.196152422706632,11.090536506409418,10.198039027185569,14.730919862656235,17.146428199482248
Crystal Palace_20_21,27.964262908219126,24.186773244895647,30.23243291566195,11.045361017187261,11.661903789690601,7.3484692283495345,5.916079783099616,15.066519173319364,11.704699910719626,3.1622776601683795,5.385164807134504,6.6332495807108,2.8284271247461903,3.7416573867739413,8.366600265340756,8.366600265340756,5.0990195135927845,10.246950765959598,13.92838827718412,12.449899597988733
Newcastle Utd_20_21,28.372521918222215,24.413111231467404,31.448370387032774,9.9498743710662,12.206555615733702,6.4031242374328485,7.615773105863909,13.341664064126334,9.899494936611665,5.196152422706632,4.898979485566356,5.385164807134504,3.0,3.0,6.4031242374328485,6.4031242374328485,5.744562646538029,9.055385138137417,12.68857754044952,12.569805089976535
Leeds United_20_21,30.215889859476256,27.09243436828813,29.68164415931166,17.233687939614086,14.798648586948742,13.601470508735444,7.211102550927978,22.0,18.708286933869708,5.744562646538029,11.224972160321824,13.076696830622021,8.660254037844387,9.433981132056603,15.0,15.0,7.54983443527075,15.165750888103101,17.578395831246947,12.806248474865697
Arsenal_20_21,30.757112998459398,26.70205984563738,35.86084215408221,11.74734012447073,16.431676725154983,10.488088481701515,15.132745950421556,9.219544457292887,5.916079783099616,13.19090595827292,7.54983443527075,5.477225575051661,8.831760866327848,7.874007874011811,2.449489742783178,2.449489742783178,10.677078252031311,5.385164807134504,11.489125293076057,14.45683229480096
Burnley_20_21,34.942810419312295,30.757112998459398,40.162171256046406,14.730919862656235,20.46948949045872,13.45362404707371,18.33030277982336,12.0,9.273618495495704,16.0312195418814,11.40175425099138,9.539392014169456,11.789826122551595,10.04987562112089,5.385164807134504,5.385164807134504,12.529964086141668,6.782329983125268,8.54400374531753,14.142135623730951
Brighton_20_21,31.400636936215164,27.65863337187866,34.49637662132068,13.92838827718412,15.811388300841896,11.224972160321824,12.206555615733702,14.035668847618199,10.344080432788601,9.695359714832659,5.385164807134504,5.0990195135927845,5.0990195135927845,3.7416573867739413,4.69041575982343,4.69041575982343,5.0990195135927845,3.0,10.198039027185569,9.433981132056603
Fulham_20_21,34.899856733230294,31.064449134018133,38.23610858861032,16.431676725154983,19.390719429665317,13.92838827718412,15.588457268119896,15.588457268119896,12.041594578792296,12.884098726725126,9.0,8.246211251235321,8.48528137423857,6.48074069840786,5.830951894845301,5.830951894845301,7.3484692283495345,2.23606797749979,7.0710678118654755,8.18535277187245
West Brom_20_21,41.641325627314025,37.77565353504821,44.204072210600685,22.44994432064365,25.65151067676132,19.6468827043885,20.42057785666214,22.11334438749598,18.681541692269406,17.435595774162696,15.588457268119896,15.165750888103101,14.071247279470288,11.74734012447073,12.409673645990857,12.409673645990857,11.224972160321824,9.433981132056603,3.7416573867739413,6.082762530298219
