,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Sheffield Utd_20_21,38,7,2,29,23,20,63,-43,20,20
1,Huddersfield_18_19,38,3,7,28,16,22,76,-54,20,20
2,Norwich City_19_20,38,5,6,27,21,26,75,-49,20,20
3,Middlesbrough_16_17,38,5,13,20,28,27,53,-26,19,19
4,Fulham_20_21,38,5,13,20,28,27,53,-26,18,18
5,Swansea City_17_18,38,8,9,21,33,28,56,-28,18,18
6,Huddersfield_17_18,38,9,10,19,37,28,58,-30,16,16
7,Sunderland_16_17,38,6,6,26,24,29,69,-40,20,20
8,West Brom_17_18,38,6,13,19,31,31,56,-25,20,20
9,Crystal Palace_19_20,38,11,10,17,43,31,50,-19,14,14
