,Team,MP,W,D,L,Pts,GF,GA,GD,rank,EndRank
0,Huddersfield_18_19,24,2,5,17,11,13,41,-28,20,20
1,Sheffield Utd_20_21,24,3,2,19,11,15,40,-25,20,20
2,Swansea City_17_18,24,5,5,14,20,15,35,-20,20,18
3,Brighton_17_18,24,5,8,11,23,17,33,-16,16,15
4,Burnley_20_21,24,7,6,11,27,18,30,-12,15,17
5,West Brom_20_21,24,2,7,15,13,19,55,-36,19,19
6,West Brom_17_18,24,3,11,10,20,19,31,-12,19,20
7,Middlesbrough_16_17,24,4,9,11,21,19,27,-8,15,19
8,Huddersfield_17_18,24,6,6,12,24,19,41,-22,14,16
9,Burnley_17_18,24,9,7,8,34,19,21,-2,8,7
